Date,Open,High,Low,Close,Adjusted_close
2026-03-20,10.78,10.78,10.78,10.78,10.78
2026-03-23,10.78,10.78,10.78,10.78,10.78
2026-03-24,10.77,10.77,10.77,10.77,10.77
2026-03-25,10.81,10.81,10.81,10.81,10.81
2026-03-26,10.78,10.78,10.78,10.78,10.78
2026-03-27,10.75,10.75,10.75,10.75,10.75
2026-03-30,10.76,10.76,10.76,10.76,10.76
2026-03-31,10.78,10.78,10.78,10.78,10.78
2026-04-01,10.81,10.81,10.81,10.81,10.81
2026-04-02,10.81,10.81,10.81,10.81,10.81
2026-04-07,10.81,10.81,10.81,10.81,10.81
2026-04-08,10.88,10.88,10.88,10.88,10.88
2026-04-09,10.88,10.88,10.88,10.88,10.88
2026-04-10,10.88,10.88,10.88,10.88,10.88
2026-04-13,10.89,10.89,10.89,10.89,10.89
2026-04-14,10.91,10.91,10.91,10.91,10.91
2026-04-15,10.92,10.92,10.92,10.92,10.92
2026-04-16,10.93,10.93,10.93,10.93,10.93
2026-04-17,10.94,10.94,10.94,10.94,10.94
2026-04-20,10.96,10.96,10.96,10.96,10.96
2026-04-21,10.95,10.95,10.95,10.95,10.95
2026-04-22,10.94,10.94,10.94,10.94,10.94
2026-04-23,10.93,10.93,10.93,10.93,10.93
2026-04-24,10.92,10.92,10.92,10.92,10.92
2026-04-27,10.93,10.93,10.93,10.93,10.93
2026-04-28,10.92,10.92,10.92,10.92,10.92
2026-04-29,10.9,10.9,10.9,10.9,10.9
2026-04-30,10.89,10.89,10.89,10.89,10.89
2026-05-04,10.91,10.91,10.91,10.91,10.91
2026-05-05,10.91,10.91,10.91,10.91,10.91
2026-05-06,10.92,10.92,10.92,10.92,10.92
2026-05-07,10.96,10.96,10.96,10.96,10.96
2026-05-08,10.96,10.96,10.96,10.96,10.96
2026-05-11,10.97,10.97,10.97,10.97,10.97
2026-05-12,10.94,10.94,10.94,10.94,10.94
2026-05-13,10.94,10.94,10.94,10.94,10.94
2026-05-15,10.93,10.93,10.93,10.93,10.93
2026-05-18,10.93,10.93,10.93,10.93,10.93
2026-05-19,10.9,10.9,10.9,10.9,10.9
2026-05-20,10.9,10.9,10.9,10.9,10.9
2026-05-21,10.92,10.92,10.92,10.92,10.92
2026-05-22,10.95,10.95,10.95,10.95,10.95
2026-05-26,10.98,10.98,10.98,10.98,10.98
2026-05-27,10.99,10.99,10.99,10.99,10.99
2026-05-28,10.99,10.99,10.99,10.99,10.99
2026-05-29,11,11,11,11,11
2026-06-01,11,11,11,11,11
2026-06-02,11.01,11.01,11.01,11.01,11.01
2026-06-03,11,11,11,11,11
2026-06-04,11,11,11,11,11
2026-06-05,10.98,10.98,10.98,10.98,10.98
2026-06-08,10.97,10.97,10.97,10.97,10.97
2026-06-09,10.98,10.98,10.98,10.98,10.98
2026-06-10,10.97,10.97,10.97,10.97,10.97
2026-06-11,10.98,10.98,10.98,10.98,10.98
2026-06-12,11,11,11,11,11
2026-06-15,11.05,11.05,11.05,11.05,11.05
2026-06-16,11.04,11.04,11.04,11.04,11.04
2026-06-17,11.06,11.06,11.06,11.06,11.06
2026-06-18,11.04,11.04,11.04,11.04,11.04
2026-06-19,11.04,11.04,11.04,11.04,11.04
2026-06-22,10.91,10.91,10.91,10.91,10.91
2026-06-24,10.92,10.92,10.92,10.92,10.92
2026-06-25,10.93,10.93,10.93,10.93,10.93
2026-06-26,10.93,10.93,10.93,10.93,10.93
2026-06-29,10.93,10.93,10.93,10.93,10.93
2026-06-30,10.94,10.94,10.94,10.94,10.94
2026-07-01,10.92,10.92,10.92,10.92,10.92
2026-07-02,10.92,10.92,10.92,10.92,10.92
2026-07-03,10.92,10.92,10.92,10.92,10.92
2026-07-06,10.93,10.93,10.93,10.93,10.93
2026-07-07,10.92,10.92,10.92,10.92,10.92
2026-07-08,10.89,10.89,10.89,10.89,10.89
2026-07-09,10.9,10.9,10.9,10.9,10.9
2026-07-10,10.91,10.91,10.91,10.91,10.91
2026-07-13,10.9,10.9,10.9,10.9,10.9
2026-07-14,10.89,10.89,10.89,10.89,10.89
2026-07-15,10.9,10.9,10.9,10.9,10.9
2026-07-16,10.89,10.89,10.89,10.89,10.89
2026-07-17,10.88,10.88,10.88,10.88,10.88
2026-07-20,10.88,10.88,10.88,10.88,10.88
2026-07-21,10.87,10.87,10.87,10.87,10.87
2026-07-22,10.86,10.86,10.86,10.86,10.86
2026-07-23,10.84,10.84,10.84,10.84,10.84
2026-07-24,10.82,10.82,10.82,10.82,10.82
2026-07-27,10.85,10.85,10.85,10.85,10.85
2026-07-28,10.84,10.84,10.84,10.84,10.84
2026-07-29,10.84,10.84,10.84,10.84,10.84
2026-07-30,10.85,10.85,10.85,10.85,10.85
2026-07-31,10.84,10.84,10.84,10.84,10.84
2026-08-03,10.86,10.86,10.86,10.86,10.86
2026-08-04,10.89,10.89,10.89,10.89,10.89
2026-08-05,10.9,10.9,10.9,10.9,10.9
2026-08-06,10.9,10.9,10.9,10.9,10.9
2026-08-07,10.9,10.9,10.9,10.9,10.9
2026-08-10,10.9,10.9,10.9,10.9,10.9
2026-08-11,10.89,10.89,10.89,10.89,10.89
2026-08-12,10.91,10.91,10.91,10.91,10.91
2026-08-13,10.92,10.92,10.92,10.92,10.92
2026-08-14,10.92,10.92,10.92,10.92,10.92
