Date,Open,High,Low,Close,Adjusted_close
2026-06-02,38.03,38.03,38.03,38.03,38.03
2026-06-03,37.83,37.83,37.83,37.83,37.83
2026-06-04,38.06,38.06,38.06,38.06,38.06
2026-06-05,37.05,37.05,37.05,37.05,37.05
2026-06-08,37.17,37.17,37.17,37.17,37.17
2026-06-09,37.3,37.3,37.3,37.3,37.3
2026-06-10,36.56,36.56,36.56,36.56,36.56
2026-06-11,37.32,37.32,37.32,37.32,37.32
2026-06-12,37.45,37.45,37.45,37.45,37.45
2026-06-15,37.99,37.99,37.99,37.99,37.99
2026-06-16,37.81,37.81,37.81,37.81,37.81
2026-06-17,37.72,37.72,37.72,37.72,37.72
2026-06-18,37.95,37.95,37.95,37.95,37.95
2026-06-22,37.86,37.86,37.86,37.86,37.86
2026-06-23,37.4,37.4,37.4,37.4,37.4
2026-06-24,37.53,37.53,37.53,37.53,37.53
2026-06-25,37.73,37.73,37.73,37.73,37.73
2026-06-26,37.71,37.71,37.71,37.71,37.71
2026-06-29,38.27,38.27,38.27,38.27,38.27
2026-06-30,38.61,38.61,38.61,38.61,38.61
2026-07-01,38.55,38.55,38.55,38.55,38.55
2026-07-02,38.58,38.58,38.58,38.58,38.58
2026-07-06,38.8,38.8,38.8,38.8,38.8
2026-07-07,38.49,38.49,38.49,38.49,38.49
2026-07-08,38.32,38.32,38.32,38.32,38.32
2026-07-09,38.55,38.55,38.55,38.55,38.55
2026-07-10,38.39,38.39,38.39,38.39,38.39
2026-07-13,38,38,38,38,38
2026-07-14,38.05,38.05,38.05,38.05,38.05
2026-07-15,38.21,38.21,38.21,38.21,38.21
2026-07-16,37.77,37.77,37.77,37.77,37.77
2026-07-17,37.26,37.26,37.26,37.26,37.26
2026-07-20,37.2,37.2,37.2,37.2,37.2
2026-07-21,37.56,37.56,37.56,37.56,37.56
2026-07-22,37.29,37.29,37.29,37.29,37.29
2026-07-23,37.21,37.21,37.21,37.21,37.21
2026-07-24,37.04,37.04,37.04,37.04,37.04
2026-07-27,37.32,37.32,37.32,37.32,37.32
2026-07-28,37.08,37.08,37.08,37.08,37.08
2026-07-29,36.74,36.74,36.74,36.74,36.74
2026-07-30,36.81,36.81,36.81,36.81,36.81
2026-07-31,37.37,37.37,37.37,37.37,37.37
2026-08-04,38.23,38.23,38.23,38.23,38.23
2026-08-05,38.58,38.58,38.58,38.58,38.58
2026-08-06,38.67,38.67,38.67,38.67,38.67
2026-08-07,38.89,38.89,38.89,38.89,38.89
2026-08-10,39.16,39.16,39.16,39.16,39.16
2026-08-11,39.22,39.22,39.22,39.22,39.22
2026-08-12,39.16,39.16,39.16,39.16,39.16
2026-08-13,39.16,39.16,39.16,39.16,39.16
