Date,Open,High,Low,Close,Adjusted_close
2025-11-03,2.5417,2.5417,2.5417,2.5417,2.5417
2025-11-04,2.5203,2.5203,2.5203,2.5203,2.5203
2025-11-05,2.5237,2.5237,2.5237,2.5237,2.5237
2025-11-06,2.4954,2.4954,2.4954,2.4954,2.4954
2025-11-07,2.5031,2.5031,2.5031,2.5031,2.5031
2025-11-10,2.5336,2.5336,2.5336,2.5336,2.5336
2025-11-11,2.5427,2.5427,2.5427,2.5427,2.5427
2025-11-12,2.5579,2.5579,2.5579,2.5579,2.5579
2025-11-13,2.5177,2.5177,2.5177,2.5177,2.5177
2025-11-14,2.5055,2.5055,2.5055,2.5055,2.5055
2025-11-17,2.4767,2.4767,2.4767,2.4767,2.4767
2025-11-18,2.466,2.466,2.466,2.466,2.466
2025-11-19,2.4719,2.4719,2.4719,2.4719,2.4719
2025-11-20,2.4342,2.4342,2.4342,2.4342,2.4342
2025-11-21,2.4759,2.4759,2.4759,2.4759,2.4759
2025-11-24,2.5066,2.5066,2.5066,2.5066,2.5066
2025-11-25,2.5336,2.5336,2.5336,2.5336,2.5336
2025-11-26,2.5494,2.5494,2.5494,2.5494,2.5494
2025-11-27,2.5494,2.5494,2.5494,2.5494,2.5494
2025-11-28,2.5649,2.5649,2.5649,2.5649,2.5649
2025-12-01,2.5506,2.5506,2.5506,2.5506,2.5506
2025-12-02,2.5402,2.5402,2.5402,2.5402,2.5402
2025-12-03,2.563,2.563,2.563,2.563,2.563
2025-12-04,2.5557,2.5557,2.5557,2.5557,2.5557
2025-12-05,2.5624,2.5624,2.5624,2.5624,2.5624
2025-12-08,2.5534,2.5534,2.5534,2.5534,2.5534
2025-12-09,2.5569,2.5569,2.5569,2.5569,2.5569
2025-12-10,2.5794,2.5794,2.5794,2.5794,2.5794
2025-12-11,2.5957,2.5957,2.5957,2.5957,2.5957
2025-12-12,2.5587,2.5587,2.5587,2.5587,2.5587
2025-12-15,2.5558,2.5558,2.5558,2.5558,2.5558
2025-12-16,2.5332,2.5332,2.5332,2.5332,2.5332
2025-12-17,2.5123,2.5123,2.5123,2.5123,2.5123
2025-12-18,2.5247,2.5247,2.5247,2.5247,2.5247
2025-12-19,2.5507,2.5507,2.5507,2.5507,2.5507
2025-12-22,2.5694,2.5694,2.5694,2.5694,2.5694
2025-12-23,2.5767,2.5767,2.5767,2.5767,2.5767
2025-12-24,2.5789,2.5789,2.5789,2.5789,2.5789
2025-12-30,2.5635,2.5635,2.5635,2.5635,2.5635
2025-12-31,2.5407,2.5407,2.5407,2.5407,2.5407
2026-01-02,2.5572,2.5572,2.5572,2.5572,2.5572
2026-01-05,2.6022,2.6022,2.6022,2.6022,2.6022
2026-01-06,2.6359,2.6359,2.6359,2.6359,2.6359
2026-01-07,2.6266,2.6266,2.6266,2.6266,2.6266
2026-01-08,2.6236,2.6236,2.6236,2.6236,2.6236
2026-01-09,2.6528,2.6528,2.6528,2.6528,2.6528
2026-01-12,2.663,2.663,2.663,2.663,2.663
2026-01-13,2.6606,2.6606,2.6606,2.6606,2.6606
2026-01-14,2.6607,2.6607,2.6607,2.6607,2.6607
2026-01-15,2.6708,2.6708,2.6708,2.6708,2.6708
2026-01-16,2.6678,2.6678,2.6678,2.6678,2.6678
2026-01-19,2.6676,2.6676,2.6676,2.6676,2.6676
2026-01-20,2.6374,2.6374,2.6374,2.6374,2.6374
2026-01-21,2.6853,2.6853,2.6853,2.6853,2.6853
2026-01-22,2.7059,2.7059,2.7059,2.7059,2.7059
2026-01-23,2.7044,2.7044,2.7044,2.7044,2.7044
2026-01-26,2.7086,2.7086,2.7086,2.7086,2.7086
2026-01-27,2.7205,2.7205,2.7205,2.7205,2.7205
2026-01-28,2.7126,2.7126,2.7126,2.7126,2.7126
2026-01-29,2.6854,2.6854,2.6854,2.6854,2.6854
2026-01-30,2.6348,2.6348,2.6348,2.6348,2.6348
2026-02-03,2.6029,2.6029,2.6029,2.6029,2.6029
2026-02-04,2.5553,2.5553,2.5553,2.5553,2.5553
2026-02-05,2.5136,2.5136,2.5136,2.5136,2.5136
2026-02-06,2.5707,2.5707,2.5707,2.5707,2.5707
2026-02-09,2.607,2.607,2.607,2.607,2.607
2026-02-10,2.5958,2.5958,2.5958,2.5958,2.5958
2026-02-11,2.5822,2.5822,2.5822,2.5822,2.5822
2026-02-12,2.5362,2.5362,2.5362,2.5362,2.5362
2026-02-13,2.5688,2.5688,2.5688,2.5688,2.5688
2026-02-16,2.5686,2.5686,2.5686,2.5686,2.5686
2026-02-17,2.5625,2.5625,2.5625,2.5625,2.5625
2026-02-18,2.5785,2.5785,2.5785,2.5785,2.5785
2026-02-19,2.5616,2.5616,2.5616,2.5616,2.5616
2026-02-20,2.5744,2.5744,2.5744,2.5744,2.5744
2026-02-23,2.5395,2.5395,2.5395,2.5395,2.5395
2026-02-24,2.5672,2.5672,2.5672,2.5672,2.5672
2026-02-25,2.5831,2.5831,2.5831,2.5831,2.5831
2026-02-26,2.5978,2.5978,2.5978,2.5978,2.5978
2026-02-27,2.6,2.6,2.6,2.6,2.6
2026-03-02,2.5892,2.5892,2.5892,2.5892,2.5892
2026-03-03,2.5538,2.5538,2.5538,2.5538,2.5538
2026-03-04,2.5806,2.5806,2.5806,2.5806,2.5806
2026-03-05,2.5516,2.5516,2.5516,2.5516,2.5516
2026-03-06,2.512,2.512,2.512,2.512,2.512
2026-03-09,2.5415,2.5415,2.5415,2.5415,2.5415
2026-03-10,2.5228,2.5228,2.5228,2.5228,2.5228
2026-03-11,2.5225,2.5225,2.5225,2.5225,2.5225
2026-03-12,2.4807,2.4807,2.4807,2.4807,2.4807
2026-03-13,2.4607,2.4607,2.4607,2.4607,2.4607
2026-03-16,2.4834,2.4834,2.4834,2.4834,2.4834
2026-03-18,2.4602,2.4602,2.4602,2.4602,2.4602
2026-03-19,2.4534,2.4534,2.4534,2.4534,2.4534
2026-03-20,2.4206,2.4206,2.4206,2.4206,2.4206
2026-03-23,2.4413,2.4413,2.4413,2.4413,2.4413
2026-03-24,2.4264,2.4264,2.4264,2.4264,2.4264
2026-03-25,2.4529,2.4529,2.4529,2.4529,2.4529
2026-03-26,2.4121,2.4121,2.4121,2.4121,2.4121
2026-03-27,2.3717,2.3717,2.3717,2.3717,2.3717
2026-03-30,2.3483,2.3483,2.3483,2.3483,2.3483
2026-03-31,2.4195,2.4195,2.4195,2.4195,2.4195
2026-04-01,2.4445,2.4445,2.4445,2.4445,2.4445
2026-04-02,2.4545,2.4545,2.4545,2.4545,2.4545
2026-04-07,2.4637,2.4637,2.4637,2.4637,2.4637
2026-04-08,2.5201,2.5201,2.5201,2.5201,2.5201
2026-04-09,2.5079,2.5079,2.5079,2.5079,2.5079
2026-04-10,2.4887,2.4887,2.4887,2.4887,2.4887
2026-04-13,2.5295,2.5295,2.5295,2.5295,2.5295
2026-04-14,2.5612,2.5612,2.5612,2.5612,2.5612
2026-04-15,2.58,2.58,2.58,2.58,2.58
2026-04-16,2.6082,2.6082,2.6082,2.6082,2.6082
2026-04-17,2.6434,2.6434,2.6434,2.6434,2.6434
2026-04-20,2.6394,2.6394,2.6394,2.6394,2.6394
2026-04-21,2.6297,2.6297,2.6297,2.6297,2.6297
2026-04-22,2.6586,2.6586,2.6586,2.6586,2.6586
2026-04-23,2.6218,2.6218,2.6218,2.6218,2.6218
2026-04-24,2.6638,2.6638,2.6638,2.6638,2.6638
2026-04-27,2.652,2.652,2.652,2.652,2.652
2026-04-28,2.6219,2.6219,2.6219,2.6219,2.6219
2026-04-29,2.622,2.622,2.622,2.622,2.622
2026-04-30,2.6674,2.6674,2.6674,2.6674,2.6674
2026-05-01,2.6791,2.6791,2.6791,2.6791,2.6791
2026-05-05,2.7157,2.7157,2.7157,2.7157,2.7157
2026-05-06,2.768,2.768,2.768,2.768,2.768
2026-05-07,2.756,2.756,2.756,2.756,2.756
2026-05-08,2.8019,2.8019,2.8019,2.8019,2.8019
2026-05-11,2.8049,2.8049,2.8049,2.8049,2.8049
2026-05-12,2.792,2.792,2.792,2.792,2.792
2026-05-13,2.8177,2.8177,2.8177,2.8177,2.8177
2026-05-14,2.8345,2.8345,2.8345,2.8345,2.8345
2026-05-15,2.7771,2.7771,2.7771,2.7771,2.7771
2026-05-18,2.7822,2.7822,2.7822,2.7822,2.7822
2026-05-19,2.758,2.758,2.758,2.758,2.758
2026-05-20,2.8094,2.8094,2.8094,2.8094,2.8094
2026-05-21,2.8133,2.8133,2.8133,2.8133,2.8133
2026-05-22,2.8536,2.8536,2.8536,2.8536,2.8536
2026-05-26,2.8953,2.8953,2.8953,2.8953,2.8953
2026-05-27,2.8622,2.8622,2.8622,2.8622,2.8622
2026-05-28,2.9247,2.9247,2.9247,2.9247,2.9247
2026-05-29,2.9561,2.9561,2.9561,2.9561,2.9561
2026-06-02,2.9505,2.9505,2.9505,2.9505,2.9505
2026-06-03,2.924,2.924,2.924,2.924,2.924
2026-06-04,2.9426,2.9426,2.9426,2.9426,2.9426
2026-06-05,2.8311,2.8311,2.8311,2.8311,2.8311
2026-06-08,2.8294,2.8294,2.8294,2.8294,2.8294
2026-06-09,2.8281,2.8281,2.8281,2.8281,2.8281
2026-06-10,2.7844,2.7844,2.7844,2.7844,2.7844
2026-06-11,2.8374,2.8374,2.8374,2.8374,2.8374
2026-06-12,2.852,2.852,2.852,2.852,2.852
2026-06-15,2.8951,2.8951,2.8951,2.8951,2.8951
2026-06-16,2.8711,2.8711,2.8711,2.8711,2.8711
2026-06-17,2.8319,2.8319,2.8319,2.8319,2.8319
2026-06-18,2.8362,2.8362,2.8362,2.8362,2.8362
2026-06-19,2.8351,2.8351,2.8351,2.8351,2.8351
2026-06-22,2.8351,2.8351,2.8351,2.8351,2.8351
2026-06-23,2.7969,2.7969,2.7969,2.7969,2.7969
2026-06-24,2.7967,2.7967,2.7967,2.7967,2.7967
2026-06-25,2.8104,2.8104,2.8104,2.8104,2.8104
2026-06-26,2.8114,2.8114,2.8114,2.8114,2.8114
2026-06-29,2.8483,2.8483,2.8483,2.8483,2.8483
2026-06-30,2.8965,2.8965,2.8965,2.8965,2.8965
2026-07-01,2.9026,2.9026,2.9026,2.9026,2.9026
2026-07-02,2.8954,2.8954,2.8954,2.8954,2.8954
2026-07-03,2.8952,2.8952,2.8952,2.8952,2.8952
2026-07-06,2.9215,2.9215,2.9215,2.9215,2.9215
2026-07-07,2.8849,2.8849,2.8849,2.8849,2.8849
2026-07-08,2.8581,2.8581,2.8581,2.8581,2.8581
2026-07-09,2.8962,2.8962,2.8962,2.8962,2.8962
2026-07-10,2.8746,2.8746,2.8746,2.8746,2.8746
2026-07-13,2.8561,2.8561,2.8561,2.8561,2.8561
2026-07-14,2.8769,2.8769,2.8769,2.8769,2.8769
2026-07-15,2.884,2.884,2.884,2.884,2.884
2026-07-16,2.8629,2.8629,2.8629,2.8629,2.8629
2026-07-17,2.8459,2.8459,2.8459,2.8459,2.8459
2026-07-20,2.8294,2.8294,2.8294,2.8294,2.8294
2026-07-21,2.8527,2.8527,2.8527,2.8527,2.8527
2026-07-22,2.8531,2.8531,2.8531,2.8531,2.8531
2026-07-23,2.8255,2.8255,2.8255,2.8255,2.8255
2026-07-24,2.8203,2.8203,2.8203,2.8203,2.8203
2026-07-27,2.8315,2.8315,2.8315,2.8315,2.8315
2026-07-28,2.8597,2.8597,2.8597,2.8597,2.8597
2026-07-29,2.8439,2.8439,2.8439,2.8439,2.8439
2026-07-30,2.8967,2.8967,2.8967,2.8967,2.8967
2026-07-31,2.9245,2.9245,2.9245,2.9245,2.9245
2026-08-04,3.0054,3.0054,3.0054,3.0054,3.0054
2026-08-05,3.0052,3.0052,3.0052,3.0052,3.0052
2026-08-06,3.0213,3.0213,3.0213,3.0213,3.0213
2026-08-07,3.0605,3.0605,3.0605,3.0605,3.0605
2026-08-10,3.0926,3.0926,3.0926,3.0926,3.0926
2026-08-11,3.0926,3.0926,3.0926,3.0926,3.0926
2026-08-12,3.0939,3.0939,3.0939,3.0939,3.0939
2026-08-13,3.0875,3.0875,3.0875,3.0875,3.0875
