full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit,ticker,fund_group,source,condition,horizon,original_pass,strict_pass,frozen_pass
0.2551900938357707,296,0.5743243243243243,0.3044662639150371,72,0.5833333333333334,SLPIX,pair_scan,pair_scan_original19,EEM_down_GDX_up,1,True,True,True
0.2850275120302731,279,0.5698924731182796,0.29997971856735184,72,0.5694444444444444,SLPSX,pair_scan,pair_scan_original19,EEM_down_GDX_up,1,True,True,True
0.5765528242876783,385,0.5818181818181818,0.7182330719440732,72,0.6111111111111112,SMPIX,pair_scan,pair_scan_original19,EEM_down_GDX_up,1,True,True,True
0.5824263702614191,386,0.5751295336787565,0.7158658692850839,72,0.6111111111111112,SMPSX,pair_scan,pair_scan_original19,EEM_down_GDX_up,1,True,True,True
0.4088560798440533,419,0.6229116945107399,0.40368164213806224,72,0.6111111111111112,TEPIX,pair_scan,pair_scan_original19,EEM_down_GDX_up,1,True,True,True
0.3811564354425734,406,0.6157635467980296,0.4005477875200629,72,0.6111111111111112,TEPSX,pair_scan,pair_scan_original19,EEM_down_GDX_up,1,True,True,True
0.49048694407947935,368,0.5706521739130435,0.5854067247737716,72,0.5694444444444444,UAPIX,pair_scan,pair_scan_original19,EEM_down_GDX_up,1,True,True,True
0.4816956512385538,368,0.5652173913043478,0.5799096087137805,72,0.5555555555555556,UAPSX,pair_scan,pair_scan_original19,EEM_down_GDX_up,1,True,True,True
0.3738752110836167,453,0.5960264900662252,0.3992128194068184,72,0.625,UDPIX,pair_scan,pair_scan_original19,EEM_down_GDX_up,1,True,True,True
0.37574235427218694,447,0.5950782997762863,0.3945163876111884,72,0.625,UDPSX,pair_scan,pair_scan_original19,EEM_down_GDX_up,1,True,True,True
0.30747552129541206,257,0.5642023346303502,0.5441996873518159,72,0.6388888888888888,UJPSX,pair_scan,pair_scan_original19,EEM_down_GDX_up,1,True,True,True
0.3815601558497433,482,0.5912863070539419,0.5315443976847747,72,0.6388888888888888,ULPIX,pair_scan,pair_scan_original19,EEM_down_GDX_up,1,True,True,True
0.3790960042882802,482,0.5912863070539419,0.5274962002809329,72,0.6388888888888888,ULPSX,pair_scan,pair_scan_original19,EEM_down_GDX_up,1,True,True,True
0.498642170744366,381,0.5564304461942258,0.6471930464082101,72,0.5833333333333334,UMPIX,pair_scan,pair_scan_original19,EEM_down_GDX_up,1,True,True,True
0.4763591226348533,365,0.5534246575342465,0.6404220583541215,72,0.5833333333333334,UMPSX,pair_scan,pair_scan_original19,EEM_down_GDX_up,1,True,True,True
0.35394318193355,744,0.5833333333333334,0.6248094454967874,72,0.6527777777777778,UOPIX,pair_scan,pair_scan_original19,EEM_down_GDX_up,1,True,True,True
0.3517854391194504,747,0.5863453815261044,0.6210929879381588,72,0.6527777777777778,UOPSX,pair_scan,pair_scan_original19,EEM_down_GDX_up,1,True,True,True
0.399457272490638,279,0.5770609318996416,0.451359700405895,72,0.6111111111111112,BKPIX,pair_scan,pair_scan_original19,EEM_down_GDX_up,2,True,True,True
0.43113023319580934,246,0.5813008130081301,0.4469342995892518,72,0.6111111111111112,BKPSX,pair_scan,pair_scan_original19,EEM_down_GDX_up,2,True,True,True
0.2989785461313648,677,0.6115214180206795,0.6409582092957739,72,0.6666666666666666,SMPIX,pair_scan,pair_scan_original19,EEM_down_GDX_up,2,True,True,True
0.30060684745568267,677,0.6115214180206795,0.6393981586527945,72,0.6666666666666666,SMPSX,pair_scan,pair_scan_original19,EEM_down_GDX_up,2,True,True,True
