ticker,strategy_no,source,condition,horizon,full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit,density_full,density_frozen
IDPSX,1,triple_scan,GDX_up_down_down_SPY_XLK,1,0.40390536652547915,404,0.6188118811881188,0.8373507481224446,63,0.7301587301587301,120,30
IDPSX,2,condition_expansion,ext_vix_close_ge25,10,0.20190991393319024,768,0.63671875,0.5466816172657607,34,0.8529411764705882,120,30
IDPSX,3,condition_expansion,combo_GDX_up__ext_sect_rotation_down,1,0.23166357418316316,883,0.5571913929784824,0.5260047859265611,81,0.6049382716049383,120,30
INPIX,1,triple_scan,GLD_up_down_down_XLF_XLK,1,0.4879897632391866,342,0.6345029239766082,0.6735655736854793,54,0.5925925925925926,200,40
INPIX,2,triple_scan,EEM_down_down_down_XLE_XLV,2,0.20208826100185667,1173,0.5763000852514919,0.3472265758869393,46,0.6086956521739131,200,40
INPIX,3,triple_scan,LQD_up_up_up_XLK_XLV,2,0.2000632841520872,917,0.5997818974918212,0.29632039050138514,84,0.6428571428571429,200,40
INPSX,1,condition_expansion,combo_IWM_down__ext_usd_gold_ratio_le-1,1,0.6211082197446602,206,0.6116504854368932,0.6999440047244079,46,0.5652173913043478,200,40
INPSX,2,triple_scan,EEM_down_down_down_XLE_XLU,2,0.20146828156905977,1072,0.5727611940298507,0.40764493014599085,42,0.6190476190476191,200,40
INPSX,3,triple_scan,LQD_up_up_up_XLK_XLV,2,0.20045539883426997,871,0.6016073478760046,0.29300847070162095,84,0.6428571428571429,200,40
LGPIX,1,condition_expansion,combo_XLV_down__ext_usd_gold_ratio_le-1,1,0.43304150421272863,191,0.6596858638743456,0.44739605827701506,48,0.625,120,30
LGPSX,1,condition_expansion,combo_XLV_down__ext_usd_gold_ratio_le-1,1,0.42871399658942483,191,0.6596858638743456,0.4415697976069033,48,0.625,120,30
LVPIX,1,condition_expansion,combo_XLV_down__ext_usd_gold_ratio_le-1,1,0.45123116620288906,184,0.6413043478260869,0.4070751967785502,48,0.6875,120,30
LVPSX,1,condition_expansion,combo_XLV_down__ext_usd_gold_ratio_le-1,1,0.44528940522029814,168,0.6428571428571429,0.40172266784321037,48,0.6875,120,30
MDPIX,1,triple_scan,GDX_up_down_down_SPY_XLF,1,0.2931349460820169,393,0.5928753180661578,0.5774339628416361,60,0.6833333333333333,200,40
MDPIX,2,condition_expansion,combo_ext_vix_close_up__self_3down,1,0.22523329286998592,349,0.5959885386819485,0.512802372970112,40,0.6,200,40
MDPIX,3,triple_scan,FXY_up_up_down_GDX_QQQ,1,0.22640066696503824,434,0.6013824884792627,0.5030771747752111,41,0.6341463414634146,200,40
MDPSX,1,triple_scan,GDX_up_down_down_IWM_XLF,1,0.2805766926817632,387,0.5891472868217055,0.5764150046266961,57,0.6666666666666666,120,30
MGPIX,1,triple_scan,GDX_up_down_down_XLF_XLK,1,0.27589538516662093,400,0.64,0.7139340254663638,49,0.7551020408163265,120,30
MGPSX,1,triple_scan,GDX_up_down_down_XLF_XLK,1,0.2712729139570114,400,0.635,0.7078731296997836,49,0.7551020408163265,120,30
MLPIX,1,triple_scan,GDX_up_down_down_SPY_XLF,1,0.42021209828572176,216,0.6018518518518519,0.5588510809221118,60,0.65,200,40
MLPIX,2,pair_scan,GDX_up_QQQ_down,1,0.2066220199565461,576,0.5763888888888888,0.38366086004113137,80,0.625,200,40
MLPIX,3,triple_scan,GDX_up_up_down_GLD_IWM,1,0.22807732493925506,424,0.589622641509434,0.37202881902575713,68,0.5588235294117647,200,40
MLPSX,1,triple_scan,GDX_up_down_down_SPY_XLF,1,0.4170282475380811,219,0.6027397260273972,0.5552566473939436,60,0.65,160,35
MLPSX,2,pair_scan,GDX_up_QQQ_down,1,0.20561462630281266,515,0.5689320388349515,0.3793799355194428,80,0.625,160,35
MLPSX,3,triple_scan,GDX_up_down_down_QQQ_XLV,1,0.22759142852459158,465,0.5655913978494623,0.8423704178468844,39,0.717948717948718,160,35
OEPIX,1,condition_expansion,combo_XLU_big_down__ext_vix_close_up,3,0.3306704684505921,519,0.5549132947976878,0.5990308090013562,50,0.66,200,40
OEPIX,2,condition_expansion,combo_XLV_down__ext_sect_rotation_down,3,0.22766637454324593,803,0.5579078455790785,0.5668395803756897,68,0.6764705882352942,200,40
OEPIX,3,pair_scan,XLE_up_XLU_down,2,0.2394642432320892,781,0.5556978233034571,0.23875291705347365,84,0.5833333333333334,200,40
OEPSX,1,condition_expansion,combo_XLU_big_down__ext_vix_20dvol_up,3,0.3241303404757116,532,0.5507518796992481,0.5953515640764988,50,0.66,200,40
OEPSX,2,condition_expansion,combo_XLV_down__ext_sect_rotation_down,3,0.21632487166377248,809,0.5587144622991347,0.5627913362069905,68,0.6764705882352942,200,40
OEPSX,3,pair_scan,XLE_up_XLU_down,2,0.23482871493443025,780,0.5551282051282052,0.23512273576189668,84,0.5714285714285714,200,40
OTPIX,1,condition_expansion,combo_XLF_big_down__self_down,1,0.252456414304231,749,0.5794392523364486,0.20164534407689966,33,0.5757575757575758,120,30
OTPSX,1,condition_expansion,combo_IWM_down__ext_usd_gold_ratio_le-1,1,0.33768677693687293,300,0.61,0.4287793440004389,46,0.6086956521739131,120,30
PHPIX,1,triple_scan,FXY_up_up_down_GDX_QQQ,1,0.35046072137690665,468,0.5811965811965812,0.7123919504602448,41,0.6097560975609756,200,40
PHPIX,2,condition_expansion,combo_QQQ_down__ext_usd_gold_ratio_down,2,0.20466323761889987,953,0.5960125918153201,0.2994845138165488,86,0.5697674418604651,200,40
PHPIX,3,triple_scan,JNK_down_up_down_TIP_XLF,1,0.20876162376942406,683,0.5578330893118595,0.21634879854242248,49,0.6122448979591837,200,40
PHPSX,1,triple_scan,FXY_up_up_down_GDX_QQQ,1,0.34354189868400403,462,0.5800865800865801,0.7102204140851796,41,0.6097560975609756,200,40
PHPSX,2,triple_scan,JNK_down_up_down_TIP_XLF,1,0.20569021211230198,683,0.5563689604685212,0.2177926811079149,49,0.6122448979591837,200,40
PHPSX,3,condition_expansion,combo_JNK_up__ext_sect_rotation_le-0_5,2,0.2491328599307462,372,0.5860215053763441,0.5469494695923558,47,0.5957446808510638,200,40
PMPIX,1,condition_expansion,combo_ext_sect_rotation_up__self_big_down,1,0.5729399031604261,521,0.5527831094049904,0.3892610369323368,42,0.6190476190476191,200,40
PMPIX,2,pair_scan,LQD_up_UUP_up,2,0.20537182357081699,921,0.5548317046688382,0.7458055543793429,76,0.6447368421052632,200,40
PMPIX,3,triple_scan,GLD_down_up_down_QQQ_TLT,2,0.22005151054170594,736,0.5529891304347826,0.4997574716134352,47,0.6382978723404256,200,40
PMPSX,1,condition_expansion,combo_ext_sect_rotation_up__self_big_down,1,0.5827151396860079,525,0.5542857142857143,0.38540613692417336,42,0.6190476190476191,200,40
PMPSX,2,pair_scan,QQQ_up_SLV_down,2,0.20601220657533392,1051,0.5528068506184586,0.20870998062155058,75,0.6,200,40
PMPSX,3,condition_expansion,combo_QQQ_down__ext_usd_gold_ratio_up,10,0.201014810607806,990,0.5737373737373738,0.5135599218000344,83,0.6746987951807228,200,40
REPIX,1,condition_expansion,combo_XLF_big_down__ext_tnx_yield_ge1,1,0.4895611858251699,696,0.5689655172413793,0.39377136784710365,44,0.7272727272727273,200,40
REPIX,2,pair_scan,GLD_up_XLV_down,2,0.2020101339649809,1195,0.5606694560669456,0.25139910030407087,98,0.5612244897959183,200,40
REPIX,3,condition_expansion,combo_XLF_down__ext_tnx_chgbp_down,1,0.2036187654904826,1290,0.5658914728682171,0.2813124750186826,76,0.618421052631579,200,40
REPSX,1,condition_expansion,combo_XLF_big_down__ext_tnx_yield_ge1,1,0.49033578288370294,696,0.5704022988505747,0.38938811234976467,44,0.7272727272727273,200,40
REPSX,2,pair_scan,GLD_up_XLV_down,2,0.20297752264051017,1195,0.5615062761506276,0.2475095971889337,98,0.5612244897959183,200,40
REPSX,3,condition_expansion,combo_HYG_up__self_down,1,0.2588644618346434,701,0.5606276747503567,0.26201339353432207,63,0.6349206349206349,200,40
