ticker,n_strategies,constraints_met,base_full_avg,base_full_trades,base_full_hit,base_frozen_avg,base_frozen_trades,base_frozen_hit,sel_full_avg,sel_full_trades,sel_full_hit,sel_frozen_avg,sel_frozen_trades,sel_frozen_hit,density_full_req,density_frozen_req
MGPSX,1,True,0.12076768098733488,2182,0.5641613198900092,0.1709327649193991,311,0.5627009646302251,0.2712729139570114,400,0.635,0.7078731296997836,49,0.7551020408163265,120,30
MLPIX,3,True,0.11912488698240731,1652,0.5357142857142857,0.07997792874991434,254,0.5,0.20051238189126422,764,0.5654450261780105,0.3297504314470263,103,0.5825242718446602,200,40
MLPSX,3,True,0.12307848143646066,1487,0.5305985205110961,0.04753934614615572,213,0.4835680751173709,0.20172450169449282,716,0.5614525139664804,0.3711546029373212,89,0.6179775280898876,160,35
OEPIX,3,True,0.12063016780808128,4133,0.5381079119283814,0.20985856782440054,391,0.5575447570332481,0.23948691995766436,1660,0.5572289156626506,0.4684336840683643,162,0.6419753086419753,200,40
OEPSX,3,True,0.09125756906556805,4055,0.5373612823674476,0.1483449743365658,391,0.5601023017902813,0.23715940956016432,1669,0.5566207309766327,0.4645826293057804,162,0.6358024691358025,200,40
OTPIX,1,True,0.10105111337395228,3744,0.5555555555555556,0.12542674883429425,372,0.5725806451612904,0.252456414304231,749,0.5794392523364486,0.20164534407689966,33,0.5757575757575758,120,30
OTPSX,1,True,0.09840375567388712,3020,0.5599337748344371,0.1293557144021804,370,0.572972972972973,0.33768677693687293,300,0.61,0.4287793440004389,46,0.6086956521739131,120,30
PHPIX,3,True,0.12512594631544743,3736,0.541220556745182,0.3182692242448361,386,0.5777202072538861,0.2377564995595419,1356,0.5700589970501475,0.34366815951166696,116,0.5775862068965517,200,40
PHPSX,3,True,0.1299092329808349,3524,0.5442678774120318,0.2919214882798431,386,0.5751295336787565,0.22041860327712307,1294,0.5610510046367851,0.39949217640855583,120,0.5916666666666667,200,40
PMPIX,3,True,0.19919420121133913,4596,0.5230635335073978,0.49680531235706143,391,0.6112531969309463,0.28800094074363347,1850,0.5486486486486486,0.6376366397430425,141,0.6453900709219859,200,40
PMPSX,3,True,0.20822863324363636,4643,0.5250915356450571,0.4580914184599301,391,0.6086956521739131,0.2892041647188427,2124,0.5569679849340866,0.4530980515979153,162,0.654320987654321,200,40
REPIX,3,True,0.12668836513732648,4656,0.5358676975945017,0.07058343384501779,386,0.5518134715025906,0.24310111300324946,2162,0.5494912118408881,0.27845690693154407,158,0.6075949367088608,200,40
REPSX,3,True,0.14171778768531815,4529,0.5374254802384633,0.07340036170759676,379,0.5593667546174143,0.25343402431149775,2069,0.5534074432092798,0.28341308210710464,165,0.6363636363636364,200,40
RRPIX,1,True,0.2924330411360788,209,0.5645933014354066,0.23577310294234333,33,0.5757575757575758,0.2924330411360788,209,0.5645933014354066,0.23577310294234333,33,0.5757575757575758,120,30
