full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit,ticker,fund_group,source,condition,horizon,dual_pass
0.3636263701715437,146,0.6301369863013698,0.8535784094394995,17,0.7647058823529411,OTPIX,long,sparse,FXY_big_up,1,True
0.35940963967946327,146,0.6301369863013698,0.8543038521330365,17,0.7647058823529411,OTPSX,inverse,sparse,FXY_big_up,1,True
0.39529029178487196,96,0.6041666666666666,0.5624614629306097,66,0.6363636363636364,PHPIX,long,sparse,XLV_up_SPY_down,2,True
0.3951005472196719,54,0.5740740740740741,0.6696910787882421,35,0.6571428571428571,PHPSX,inverse,optimization_scan,OIH_lt-2,3,True
0.6375868845628665,106,0.5754716981132075,1.4033737403989155,29,0.6551724137931034,PMPIX,long,sparse,GLD_bin_lt-2,1,True
0.5528646462174654,106,0.5660377358490566,1.399287660431038,29,0.6551724137931034,PMPSX,inverse,sparse,GLD_bin_lt-2,1,True
0.3473742696174209,372,0.5913978494623656,0.3169534188591004,28,0.6428571428571429,REPIX,long,optimization_scan,PST_big_down,1,True
0.3496504594396563,372,0.5940860215053764,0.31568731292513574,28,0.6428571428571429,REPSX,inverse,optimization_scan,PST_big_down,1,True
0.21584297059622723,58,0.6206896551724138,0.4395844499504924,28,0.7857142857142857,SGPSX,inverse,optimization_scan,XLB_big_down,3,True
0.5176494618401448,140,0.5785714285714286,0.5978366520833583,111,0.5855855855855856,SMPIX,long,optimization_scan,BIL_up,1,True
0.702335387748411,100,0.58,0.9030136894539013,71,0.5915492957746479,SMPSX,inverse,optimization_scan,BIL_up,1,True
1.1799002117073651,863,0.7508690614136733,0.5525462109700733,78,0.6538461538461539,SRPIX,long,sparse,ext_vix_chg_le-5,1,True
1.167755210663142,863,0.746234067207416,0.5222465172164538,78,0.6538461538461539,SRPSX,inverse,gap_extra,ext_vix_chg_le-5,1,True
0.49646539985682525,146,0.6027397260273972,1.4319135998005386,17,0.7647058823529411,TEPIX,long,sparse,FXY_big_up,1,True
0.43283664683478884,73,0.5753424657534246,0.47043544951758165,65,0.6307692307692307,TEPSX,inverse,optimization_scan,OIH_big_down,2,True
0.4677623512521972,56,0.6071428571428571,0.4451861287370405,45,0.6,UAPIX,ultra_long,optimization_scan,XLP_big_down,3,True
0.34759255234692404,234,0.5726495726495726,0.9890223892403726,46,0.6304347826086957,UAPSX,inverse,optimization_scan,XLC_big_down,1,True
0.4013375867976584,234,0.5811965811965812,0.2554729374250421,46,0.5652173913043478,UBPIX,ultra_long,optimization_scan,XLC_big_down,1,True
0.40124916359486223,234,0.5769230769230769,0.25444867932737086,46,0.5652173913043478,UBPSX,inverse,optimization_scan,XLC_big_down,1,True
0.36915515782802655,166,0.5843373493975904,0.7544540474368427,15,0.6,UDPIX,ultra_long,optimization_scan,TLH_big_up,1,True
0.36858457352312707,166,0.5783132530120482,0.7525977462049261,15,0.6,UDPSX,inverse,optimization_scan,TLH_big_up,1,True
7.134980529717506,132,0.5606060606060606,2.0515860057204156,15,0.7333333333333333,UGPIX,ultra_long,optimization_scan,TLH_big_up,1,True
6.373982863436632,154,0.5584415584415584,2.046639630519275,15,0.7333333333333333,UGPSX,inverse,optimization_scan,TLH_big_up,1,True
0.8212843012365563,120,0.6166666666666667,1.7562960105072016,15,0.8,UHPIX,ultra_long,optimization_scan,WIP_big_down,2,True
0.8208604624733996,120,0.6166666666666667,1.736883356276599,15,0.8,UHPSX,inverse,optimization_scan,WIP_big_down,2,True
