name,category,reason,query,symbol,hit_name,hit_type,rows,first,last,currency,yahoo_name,status
FRANKLIN TEMPLETON GLOBAL TOTAL RETURN A MDIS USD USD,GLOBAL,no-data,FRANKLIN TEMPLETON GLOBAL,TEPM.SG,Franklin Templeton - Global Bon,Fund,0,,,EUR,Franklin Templeton - Global Bon,no-data
FRANKLIN TEMPLETON GLOBAL TOTAL RETURN FUN A ACC USD USD,GLOBAL,no-data,FRANKLIN TEMPLETON GLOBAL,TEPM.SG,Franklin Templeton - Global Bon,Fund,0,,,EUR,Franklin Templeton - Global Bon,no-data
FRANKLIN TEMPLETON LATIN AMERICA A ACC USD,AMERICAN,no-data,FRANKLIN TEMPLETON LATIN,XQ1H.SG,Franklin Templeton - Latin Amer,Fund,0,,,EUR,Franklin Templeton - Latin Amer,no-data
FTGF GBL BRANDYWNE GLOBAL FIXED INCOME A USD ACC USD,GLOBAL,no-data,,,,,0,,,,,no-data
FTGF GBL W/A GLOBAL HIGH YIELD A USD ACC USD,GLOBAL,no-data,,,,,0,,,,,no-data
GLOBAL X FDS GBL X FTSE ARGENT USD USD,GLOBAL,no-data,,,,,0,,,,,no-data
GLOBAL X FDS GBL X ROBOTICS & ARTIFICIAL USD,GLOBAL,no-data,,,,,0,,,,,no-data
GUINNESS GAM GLOBAL EQUITY INCOME INC D USD,GLOBAL,no-data,,,,,0,,,,,no-data
HEPTAGON FUND KOPERNIK GLOBAL All-CAP EQUITY FUND ACC A USD,GLOBAL,no-data,HEPTAGON KOPERNIK,0P00011SJG,Heptagon Fund ICAV - Kopernik G,Fund,1914,1546439400,1786627800,USD,Heptagon Kopernik Glb AllCp Eq C $ Acc,recovered
HEPTAGON FUND WCM GLOBAL EQTY A ACC USD,GLOBAL,no-data,HEPTAGON WCM GLOBAL,0P0001BOKM,Heptagon Fund ICAV - WCM Global,Fund,1914,1546439400,1786627800,USD,Heptagon WCM Global Equity I1 USD Acc,recovered
HSBC HLDGS 6.8 % NOTES 2022-01.06.38 GLOBAL USD,GLOBAL,no-data,,,,,0,,,,,no-data
HSBC INV FD LUX SA GLOBAL EMG MKTS EQUITY A USD,GLOBAL,no-data,HSBC INV,0P0001JDYP,HSBC Investment Funds Trust - H,Fund,1573,1589203800,1786627800,USD,HIFT - HSBC Asian Bond BC USD,recovered
IDAD NATIX GLOBAL MARKETS DEFENSIVE AUTOCALL USD,GLOBAL,no-data,,,,,0,,,,,no-data
IDAD NATIXIS GLOBAL INDICES AC JULY 2026 USD,GLOBAL,no-data,,,,,0,,,,,no-data
IDAD NATIXIS GLOBAL MARKETS DEFENSIVE AC APRIL 2026 USD,GLOBAL,no-data,,,,,0,,,,,no-data
IDAD NATIXIS GLOBAL MARKETS DEFENSIVE AC DEC 2025 USD,GLOBAL,no-data,,,,,0,,,,,no-data
IDAD NATIXIS GLOBAL MARKETS DEFENSIVE AUTOCALL JANUARY 2026 USD USD,GLOBAL,no-data,,,,,0,,,,,no-data
IDAD NATIXIS GLOBAL MARKETS DEFENSIVE AUTOCALL MARCH 2026 USD,GLOBAL,no-data,,,,,0,,,,,no-data
IDAD NATIXIS GLOBAL MARKETS DEFENSIVE AUTOCALL USD,GLOBAL,no-data,,,,,0,,,,,no-data
IDAD NATIXIS GLOBAL MARKETS MEMORY INCOME AUTOCALL OCTOBER 2025 USD,GLOBAL,no-data,,,,,0,,,,,no-data
