name,category,source,symbol,isin,ref_name,yahoo_name,overlap,currency_ok,yahoo_currency,yahoo_type,verdict,recommendation
BUNGE GLOBAL LTD USD,GLOBAL,Yahoo按名称,BG,,BUNGE GLOBAL LTD USD,Bunge Global SA,1.0,True,USD,EQUITY,确认,可用
CAM GLOBAL EQUITY FEEDER FUND R ACC USD,GLOBAL,Yahoo按名称,0P0001HD39,,CAM GLOBAL EQUITY FEEDER FUND R ACC USD,Camissa Global Equity B USD Acc,0.67,True,USD,MUTUALFUND,确认,可用
CARRIER GLOBAL COR COM USD0.01 WI USD,GLOBAL,Yahoo按名称,CARR,,CARRIER GLOBAL COR COM USD0.01 WI USD,Carrier Global Corporation,1.0,True,USD,EQUITY,确认,可用
COINBASE GLOBAL INC USD,GLOBAL,Yahoo按名称,COIN,,COINBASE GLOBAL INC USD,"Coinbase Global, Inc.",1.0,True,USD,EQUITY,确认,可用
CT AMERICAN SELECT AU USD ACC USD,AMERICAN,FT-ISIN->Yahoo,0P00000SKQ,LU0112528004,CT (Lux) - American Select Class AU (USD Accumulation Shares),CT (Lux) American Select AU,1.0,True,USD,MUTUALFUND,确认,可用
CURATE GLOBAL SUSTAINABLE EQUITY FUND A USD ACC USD,GLOBAL,FT-ISIN->Yahoo,0P0001KPAS,LU2000525019,Curate Global Sustainable Equity Fund A USD Acc,Curate Global Sust Eq A USD Acc,0.5,True,USD,MUTUALFUND,确认,可用
CURATE GLOBAL SUSTAINABLE EQUITY FUND B USD ACC USD,GLOBAL,FT-ISIN->Yahoo,0P0001NAGP,LU2000525100,Curate Global Sustainable Equity Fund B USD Acc,Curate Global Sust Eq B USD Acc,0.5,True,USD,MUTUALFUND,确认,可用
DIMENSIONAL GLOBAL SHORT FIXED INCOME USD ACC USD,GLOBAL,FT-ISIN->Yahoo,0P0000J2A3,IE0030982627,Dimensional Global Short Fixed Income Fund USD Accumulation,Dimensional Global Sht Fxd Inc USD Acc,0.5,True,USD,MUTUALFUND,确认,可用
DIMENSIONAL GLOBAL SUSTAINABILITY FIXED INCOME ACC USD,GLOBAL,Yahoo按名称,DFSB,,DIMENSIONAL GLOBAL SUSTAINABILITY FIXED INCOME ACC USD,Dimensional Global Sustainability Fixed Income ETF,1.0,True,USD,ETF,确认,可用
DIMENSIONAL GLOBAL SUSTAINABILITY TARGETED VALUE FUND ACC USD,GLOBAL,Yahoo按名称,DFSB,,DIMENSIONAL GLOBAL SUSTAINABILITY TARGETED VALUE FUND ACC USD,Dimensional Global Sustainability Fixed Income ETF,0.6,True,USD,ETF,确认,可用
DIMENSIONAL GLOBAL TARGETED VALUE FUND USD ACC USD,GLOBAL,Yahoo按名称,0P0000HLUC,,DIMENSIONAL GLOBAL TARGETED VALUE FUND USD ACC USD,Dimensional Global Targeted Value Fund USD Accumulation,1.0,True,USD,MUTUALFUND,确认,可用
DIMENSIONAL GLOBAL ULTRA SHORT FIXED INCOME FUND ACC USD USD,GLOBAL,Yahoo按名称,0P00012MVU,,DIMENSIONAL GLOBAL ULTRA SHORT FIXED INCOME FUND ACC USD USD,Dimensional Global UltrShrt FI USD Acc,0.5,True,USD,MUTUALFUND,确认,可用
DVAM GLOBAL EQUITY INCOME USD A2 INC USD,GLOBAL,Yahoo按名称,0P0001H41F,,DVAM GLOBAL EQUITY INCOME USD A2 INC USD,dVAM Global Equity Income PCP USD A2Dist,0.8,True,USD,MUTUALFUND,确认,可用
DVAM GLOBAL EQUITY INCOME USD B2 INC USD,GLOBAL,Yahoo按名称,0P0001H41F,,DVAM GLOBAL EQUITY INCOME USD B2 INC USD,dVAM Global Equity Income PCP USD A2Dist,0.8,True,USD,MUTUALFUND,确认,可用
DVAM GLOBAL EQUITY INCOME USD D2 DIS USD,GLOBAL,Yahoo按名称,0P0001H41F,,DVAM GLOBAL EQUITY INCOME USD D2 DIS USD,dVAM Global Equity Income PCP USD A2Dist,0.8,True,USD,MUTUALFUND,确认,可用
DVAM GLOBAL EQUITY INCOME USD E2 INC USD,GLOBAL,Yahoo按名称,0P0001H41F,,DVAM GLOBAL EQUITY INCOME USD E2 INC USD,dVAM Global Equity Income PCP USD A2Dist,0.8,True,USD,MUTUALFUND,确认,可用
FIDELITY FUNDS GLOBAL SHORT DURATION INCOME FUND A ACC USD,GLOBAL,Yahoo按名称,0P0000I1UY,LU0390710027,FIDELITY FUNDS GLOBAL SHORT DURATION INCOME FUND A ACC USD,Fidelity Funds - Global Short Duration Income Fund A-Acc-USD,1.0,True,USD,MUTUALFUND,确认,可用
FIDELITY FUNDS SUSTAINABLE GLOBAL DIVIDEND PLUS FUND Y ACC USD,GLOBAL,Yahoo按名称,0P0001MNHQ,,FIDELITY FUNDS SUSTAINABLE GLOBAL DIVIDEND PLUS FUND Y ACC USD,FF - Global Dividend Pl A Acc USD,0.5,True,USD,MUTUALFUND,确认,可用
FIDELITY GLOBAL INC A MINCOME(G) DIS USD,GLOBAL,Yahoo按名称,0P0001MHNW,LU0731783048,FIDELITY GLOBAL INC A MINCOME(G) DIS USD,Fidelity Global Intrinsic Value A,0.67,True,USD,MUTUALFUND,确认,可用
Fidelity Global Multi Asset Growth & Income Fund A USD USD,GLOBAL,Yahoo按名称,0P0001M4I2,LU0267386521,Fidelity Global Multi Asset Growth & Income Fund A USD USD,Fidelity Global Multi Asset Dyn I-AccUSD,0.67,True,USD,MUTUALFUND,确认,可用
FIDELITY LUX GLOBAL FINL SVCS A INC USD,GLOBAL,Yahoo按名称,0P0001MHNW,,FIDELITY LUX GLOBAL FINL SVCS A INC USD,Fidelity Global Intrinsic Value A,0.5,True,USD,MUTUALFUND,确认,可用
FIRST EAGLE AMUNDI INTERNATIONAL AU USD ACC USD,INTERNATIONAL,Yahoo按名称,0P00011MTY,LU0068578508,FIRST EAGLE AMUNDI INTERNATIONAL AU USD ACC USD,First Eagle Amundi International AU2-C,0.8,True,USD,MUTUALFUND,确认,可用
FRANKLIN TEMP GLOBAL BAL A ACC USD USD,GLOBAL,Yahoo按名称,0P0000KAMO,,FRANKLIN TEMP GLOBAL BAL A ACC USD USD,UWS Franklin Templeton Global Balanced S4,0.5,True,USD,MUTUALFUND,确认,可用
GAM STAR GLOBAL BALANCED A USD ACC USD,GLOBAL,Yahoo按名称,0P0000MXNH,,GAM STAR GLOBAL BALANCED A USD ACC USD,GAM Star Global Rates USD Acc,0.75,True,USD,MUTUALFUND,确认,可用
GAM STAR GLOBAL BALANCED ACC USD USD,GLOBAL,Yahoo按名称,0P0000MXNH,,GAM STAR GLOBAL BALANCED ACC USD USD,GAM Star Global Rates USD Acc,0.75,True,USD,MUTUALFUND,确认,可用
GAM STAR GLOBAL BALANCED F USD ACC USD,GLOBAL,Yahoo按名称,0P0000MXNH,,GAM STAR GLOBAL BALANCED F USD ACC USD,GAM Star Global Rates USD Acc,0.75,True,USD,MUTUALFUND,确认,可用
GAM STAR GLOBAL BALANCED INSTL ACC USD,GLOBAL,Yahoo按名称,0P0000MXNH,,GAM STAR GLOBAL BALANCED INSTL ACC USD,GAM Star Global Rates USD Acc,0.75,True,USD,MUTUALFUND,确认,可用
GAM STAR GLOBAL BALANCED T USD USD,GLOBAL,Yahoo按名称,0P0000MXNH,,GAM STAR GLOBAL BALANCED T USD USD,GAM Star Global Rates USD Acc,0.75,True,USD,MUTUALFUND,确认,可用
GAM STAR GLOBAL BALANCED U USD ACC USD,GLOBAL,Yahoo按名称,0P0000MXNH,,GAM STAR GLOBAL BALANCED U USD ACC USD,GAM Star Global Rates USD Acc,0.75,True,USD,MUTUALFUND,确认,可用
GLOBAL PAYMENTS 5.95 % NOTES 2022-15.08.52 USD,GLOBAL,Yahoo按名称,GPN,,GLOBAL PAYMENTS 5.95 % NOTES 2022-15.08.52 USD,Global Payments Inc.,1.0,True,USD,EQUITY,确认,可用
GS GLOBAL CORE EQUITY BASE ACCUMULATION SNAP USD ACC SNAP USD,GLOBAL,Yahoo按名称,0P00013MGM,,GS GLOBAL CORE EQUITY BASE ACCUMULATION SNAP USD ACC SNAP USD,GS Global CORE Eq IO Inc USD Snap,0.67,True,USD,MUTUALFUND,确认,可用
GUINNESS AM GLOBAL INNOVATORS Y ACC USD,GLOBAL,Yahoo按名称,0P00014JQC,,GUINNESS AM GLOBAL INNOVATORS Y ACC USD,Guinness Global Innovators Y USD ACC,1.0,True,USD,MUTUALFUND,确认,可用
GUINNESS GLOBAL ENERGY Y INC USD,GLOBAL,Yahoo按名称,0P0000IKH9,,GUINNESS GLOBAL ENERGY Y INC USD,Guinness Global Energy Y USD Accumulation,1.0,True,USD,MUTUALFUND,确认,可用
GUINNESS GLOBAL QUALITY MID CAP C ACC USD,GLOBAL,Yahoo按名称,0P0001LDIA,,GUINNESS GLOBAL QUALITY MID CAP C ACC USD,Guinness Global Quality MidCap C USD Acc,0.75,True,USD,MUTUALFUND,确认,可用
HSBC GLOBAL FUNDS ICAV US EQUITY INDEX BC ACC USD,GLOBAL,Yahoo按名称,0P0001EPQG,,HSBC GLOBAL FUNDS ICAV US EQUITY INDEX BC ACC USD,HSBC Global Funds ICAV - US Equity Index Fund BC USD,1.0,True,USD,MUTUALFUND,确认,可用
HSBC GLOBAL INDIA FIX INC ACC USD USD,GLOBAL,FT-ISIN->Yahoo,0P0000WX8N,LU0780248018,HSBC Global Investment Funds - India Fixed Income EC,HSBC GIF India Fixed Income EC,0.83,True,USD,MUTUALFUND,确认,可用
IFSL ARBION GLOBAL OPPORTUNITIES USD ACC USD,GLOBAL,Yahoo按名称,0P0001MJ13,,IFSL ARBION GLOBAL OPPORTUNITIES USD ACC USD,IFSL Arbion Global Opports USD Acc,0.75,True,USD,MUTUALFUND,确认,可用
INTERNATIONAL SEAWAYS INC NPV USD,INTERNATIONAL,Yahoo按名称,INSW,,INTERNATIONAL SEAWAYS INC NPV USD,"International Seaways, Inc.",1.0,True,USD,EQUITY,确认,可用
INVESCO GLOBAL HEALTH CARE INNOVATION A USD USD,GLOBAL,FT-ISIN->Yahoo,0P0001DK2B,LU1775982595,Invesco Funds - Invesco Global Health Care Innovation Fund A-Annual Distribution Shares USD,Invesco Funds - Invesco Global Health Care Innovation Fund,1.0,True,USD,MUTUALFUND,确认,可用
INVESCO GLOBAL HEALTH CARE INNOVATION FUND C AD USD,GLOBAL,FT-ISIN->Yahoo,0P0001DK29,LU1775952176,Invesco Funds - Invesco Global Health Care Innovation Fund C-AD Shares,Invesco Funds - Invesco Global Health Care Innovation Fund,1.0,True,USD,MUTUALFUND,确认,可用
INVESCO GLOBAL INCOME A INC USD,GLOBAL,FT-ISIN->Yahoo,0P00014BDI,LU1097689100,Invesco Funds - Invesco Global Income Fund A (USD Hedged) Quarterly Distribution-Gross Income USD,Invesco Global Income A USDH QD-GI,0.5,True,USD,MUTUALFUND,确认,可用
JANUS HENDERSON GLOBAL LIFE SCIENCE A ACC USD,GLOBAL,FT-ISIN->Yahoo,0P00000RMR,IE0002128837,Janus Henderson Capital Funds plc - Global Life Sciences Fund Class B2 USD,Janus Henderson Glb Life Scn B2 USD,0.67,True,USD,MUTUALFUND,确认,可用
JANUS HENDERSON GLOBAL TECHNOLOGY AND INNOVATION FUND H2 USD ACC USD,GLOBAL,Yahoo按名称,JATNX,,JANUS HENDERSON GLOBAL TECHNOLOGY AND INNOVATION FUND H2 USD ACC USD,Janus Henderson Global Technology and Innovation Fund,1.0,True,USD,MUTUALFUND,确认,可用
JANUS HENDERSON HORIZON GLOBAL PROPERTY EQUITIES FUND A2 USD USD,GLOBAL,Yahoo按名称,0P0000193V,LU0209137388,JANUS HENDERSON HORIZON GLOBAL PROPERTY EQUITIES FUND A2 USD USD,Janus Henderson Horizon Global Property Equities Fund A2 USD,1.0,True,USD,MUTUALFUND,确认,可用
JANUS HENDERSON HORIZON GLOBAL PROPERTY EQUITIES FUND I2 USD USD,GLOBAL,FT-ISIN->Yahoo,0P0000ZQ1D,LU0973119513,Janus Henderson Horizon Global Property Equities Fund G2 USD,Janus Henderson Hrzn GlblPtyEqsG2USD,0.5,True,USD,MUTUALFUND,确认,可用
JPMORGAN GLOBAL GROWTH FUND A USD ACC USD,GLOBAL,FT-ISIN->Yahoo,0P000019C1,LU0210533765,JPMorgan Funds - Global Growth Fund A (acc) USD,JPMorgan Funds - Global Growth Fund A (acc) - USD,1.0,True,USD,MUTUALFUND,确认,可用
JUPITER GLOBAL FIXED INCOME FUND L USD ACC USD,GLOBAL,FT-ISIN->Yahoo,0P00000MMB,IE0031386414,Jupiter Global Fixed Income Fund L (USD) Accumulation,Jupiter Global Fixed Inc L USD Acc,1.0,True,USD,MUTUALFUND,确认,可用
Jupiter Merian Global Equity Income Fund (IRL) L USD Inc USD,GLOBAL,Yahoo按名称,0P00016I3U,,Jupiter Merian Global Equity Income Fund (IRL) L USD Inc USD,Jupiter Merian Glb Eq Inc (IRL) L $ Inc,0.5,True,USD,MUTUALFUND,确认,可用
JUPITER MERIAN NORTH AMERICAN EQUITY FUND I USD ACC USD,AMERICAN,FT-ISIN->Yahoo,0P00000MLI,IE0031385887,Jupiter Merian North American Equity Fund (IRL) L USD Acc,Jupiter Merian NA Eq (IRL) L $ Acc,0.5,True,USD,MUTUALFUND,确认,可用
JUPITER MERIAN NORTH AMERICAN EQUITY FUND L USD ACC USD,AMERICAN,FT-ISIN->Yahoo,0P00000MLI,IE0031385887,Jupiter Merian North American Equity Fund (IRL) L USD Acc,Jupiter Merian NA Eq (IRL) L $ Acc,0.5,True,USD,MUTUALFUND,确认,可用
LIBERTY GLOBAL LTD USD,GLOBAL,Yahoo按名称,LBTYA,,LIBERTY GLOBAL LTD USD,Liberty Global Ltd.,1.0,True,USD,EQUITY,确认,可用
LINDSELL TRAIN LTD GLOBAL EQUITY C USD,GLOBAL,Yahoo按名称,0P00013W6Y,,LINDSELL TRAIN LTD GLOBAL EQUITY C USD,Lindsell Train Global Equity C USD Acc,1.0,True,USD,MUTUALFUND,确认,可用
LITHIUM AMERICAS CORP USD,AMERICAN,Yahoo按名称,LAC,,LITHIUM AMERICAS CORP USD,Lithium Americas Corp.,1.0,True,USD,EQUITY,确认,可用
M&G (LUX) GLOBAL TARGET RETURN FUND C H ACC USD,GLOBAL,FT-ISIN->Yahoo,0P00019IT4,LU1531595301,M&G (Lux) Global Target Return Fund USD C-H Acc,M&G (Lux) Global Target Return C USDhAcc,1.0,True,USD,MUTUALFUND,确认,可用
MOBILITY GLOBAL INC USD,GLOBAL,Yahoo按名称,MBGL,,MOBILITY GLOBAL INC USD,"Mobility Global, Inc.",1.0,True,USD,EQUITY,确认,可用
MOMENTUM GLOBAL GROWTH FUND CLASS A USD,GLOBAL,FT-ISIN->Yahoo,0P0000TT0O,LU0651983982,Momentum Global Funds Harmony Asian Growth Fund A,Harmony Portfolios Asian Growth A USD,0.75,True,USD,MUTUALFUND,确认,可用
MORGAN STANLEY GLOBAL BRANDS C USD,GLOBAL,FT-ISIN->Yahoo,0P0000MWCC,LU0176160306,Morgan Stanley Investment Funds - Global Brands Fund C,MS INVF Global Brands C,0.5,True,USD,MUTUALFUND,确认,可用
MORGAN STANLEY IF GLOBAL BRANDS A ACC USD,GLOBAL,Yahoo按名称,0P0001XI1K,,MORGAN STANLEY IF GLOBAL BRANDS A ACC USD,Morgan Stanley IF - Global Stars A Acc,0.8,True,USD,MUTUALFUND,确认,可用
MORGAN STANLEY IF GLOBAL BRANDS Z ACC NAV USD,GLOBAL,Yahoo按名称,0P0001XI1P,,MORGAN STANLEY IF GLOBAL BRANDS Z ACC NAV USD,Morgan Stanley IF - Global Stars Z Acc,0.8,True,USD,MUTUALFUND,确认,可用
MORGAN STANLEY IF GLOBAL OPP I ACC NAV USD,GLOBAL,Yahoo按名称,0P0001XI1N,,MORGAN STANLEY IF GLOBAL OPP I ACC NAV USD,Morgan Stanley IF - Global Stars I Acc,0.8,True,USD,MUTUALFUND,确认,可用
MORGAN STANLEY IF GLOBAL OPPTY FD USD CL A USD,GLOBAL,Yahoo按名称,0P0001XI1K,,MORGAN STANLEY IF GLOBAL OPPTY FD USD CL A USD,Morgan Stanley IF - Global Stars A Acc,0.8,True,USD,MUTUALFUND,确认,可用
NEW CAPITAL GLOBAL VALUE CREDIT FUND USD,GLOBAL,FT-ISIN->Yahoo,0P000025ZS,IE0033116462,New Capital Global Value Credit Fund USD Ord Acc,New Capital Glbl Val Crdt USD Ord Acc,0.5,True,USD,MUTUALFUND,确认,可用
NINETY ONE GLOBAL ENVIROMENT FUND A ACC USD,GLOBAL,Yahoo按名称,0P00000R8P,,NINETY ONE GLOBAL ENVIROMENT FUND A ACC USD,Ninety One GSF Glb StratMgd A Inc USD,0.5,True,USD,MUTUALFUND,确认,可用
NINETY ONE GLOBAL ENVIRONMENTS A USD ACC USD,GLOBAL,Yahoo按名称,0P00000R8P,,NINETY ONE GLOBAL ENVIRONMENTS A USD ACC USD,Ninety One GSF Glb StratMgd A Inc USD,0.5,True,USD,MUTUALFUND,确认,可用
NINETY ONE GLOBAL EQUITY A ACC USD USD,GLOBAL,FT-ISIN->Yahoo,0P00013NJN,LU1078025761,Ninety One Global Strategy Fund - European Equity Fund A Acc USD Hedged (Portfolio - AC),Ninety One GSF European Eq A Acc USD Hdg,0.6,True,USD,MUTUALFUND,确认,可用
NINETY ONE GSF GLOBAL FRANCHISE A ACC USD,GLOBAL,FT-ISIN->Yahoo,0P0001CNCE,LU1734074674,Ninety One Global Strategy Fund - Asia Pacific Franchise Fund A Acc USD,Ninety One GSF AsiaPac Franchise A Acc $,0.5,True,USD,MUTUALFUND,确认,可用
NINETY ONE GSF GLOBAL GOLD A INC GRS USD USD,GLOBAL,Yahoo按名称,0P00000R8P,,NINETY ONE GSF GLOBAL GOLD A INC GRS USD USD,Ninety One GSF Glb StratMgd A Inc USD,0.6,True,USD,MUTUALFUND,确认,可用
NINETY ONE GSF GLOBAL NATURAL RESOURCES A ACC GRS USD USD,GLOBAL,Yahoo按名称,0P00000R8P,,NINETY ONE GSF GLOBAL NATURAL RESOURCES A ACC GRS USD USD,Ninety One GSF Glb StratMgd A Inc USD,0.6,True,USD,MUTUALFUND,确认,可用
NINETY ONE GSF GLOBAL STRATEGIC EQUITY A GRS USD ACC USD,GLOBAL,Yahoo按名称,0P00000R8P,,NINETY ONE GSF GLOBAL STRATEGIC EQUITY A GRS USD ACC USD,Ninety One GSF Glb StratMgd A Inc USD,0.6,True,USD,MUTUALFUND,确认,可用
NINETY ONE LUX S.A GLOBAL ENVIRONMENT A ACC USD,GLOBAL,FT-ISIN->Yahoo,0P0001GZNK,LU1939255532,Ninety One Global Strategy Fund - Global Environment Fund A Acc USD,Ninety One GSF Global Envir A Acc USD,0.6,True,USD,MUTUALFUND,确认,可用
NINETY-ONE GLOBAL ST GBL STRAT EQUITY I ACC USD,GLOBAL,Yahoo按名称,0P0001RBV0,,NINETY-ONE GLOBAL ST GBL STRAT EQUITY I ACC USD,Ninety One GSF Glb Equity ZX Inc USD,0.5,True,USD,MUTUALFUND,确认,可用
NINETY-ONE GLOBAL ST UK ALPHA I USD ACC USD,GLOBAL,FT-ISIN->Yahoo,0P0000TL13,LU0641506000,Ninety One Global Strategy Fund - UK Alpha Fund I Acc USD,Ninety One GSF UK Alpha I Acc USD,0.8,True,USD,MUTUALFUND,确认,可用
NINETY-ONE GLOBAL ST US DOLLAR MONEY I USD ACC USD,GLOBAL,FT-ISIN->Yahoo,0P0000SF11,LU0439319624,Ninety One Global Strategy Fund - US Dollar Money Fund I Acc USD,Ninety One GSF US Dollar Money I Acc USD,0.83,True,USD,MUTUALFUND,确认,可用
NOMURA GLOBAL HIGH CONVICTION I USD USD,GLOBAL,Yahoo按名称,0P00012R7L,,NOMURA GLOBAL HIGH CONVICTION I USD USD,Nomura Global High Yield Bond I USD,0.75,True,USD,MUTUALFUND,确认,可用
