isin,name,sheet
LU0348783233,ALLIANZ GLOBAL INV ORIENTAL INCOME A USD USD,global
LU0256863811,ALLIANZ GLOBAL INV US EQUITY A USD INC NAV USD,global
LU1255915826,ALLIANZ GLOBAL INV ALLIANZ INCOME AND GROWTH USD,global
LU1997245177,ALLIANZ GLOBAL INV CHINA A-SHARES AT ACC USD,global
LU2089283258,ALLIANZ GLOBAL SUSTAINABILITY AM H2 INC USD,global
LU3076206690,ALLSPRING WORLDWIDE GLOBAL EQUITY ENHANCED INCOME A ACC USD,global
LU1730018279,ALQUITY GLOBAL IMPACT R ACC USD,global
LU0319688015,AMUNDI BD GLOBAL AGG AUC 3D USD,global
LU1691799990,AMUNDI FUNDS POLEN CAPITAL GLOBAL GROWTH I2 ACC USD,global
US037833EP10,APPLE 3.35 % NOTES 2022 08.08.32 GLOBAL USD,global
LU1846577242,ARTEMIS SMARTGARP GLOBAL EMERGING MARKETS EQUITY I ACC USD,global
IE00B75GXZ78,ARTISAN GLOBAL OPPORTUNITIES FUND A ACC USD,global
IE00B615T757,ARTISAN PTNRS GBL GLOBAL OPPORTUNITIES I USD,global
LU0266012318,AXA WORLD FUND GLOBAL REAL ESTATE A USD ACC USD,global
IE00B912KW96,BAILLIE GIFFORD WO GLOBAL ALPHA B ACC USD,global
IE00BYQG5606,BAILLIE GIFFORD WO LONG TERM GLOBAL GROWTH B ACC USD,global
IE00B0XXHG05,BARCLAYS MULTI-MGR GLOBALACCESS EMG MKT EQTY M USD,global
IE0000931182,BARING GLOBAL RESOURCES A USD DIS USD,global
GB00B3B9VC56,BARING GLOBAL AGRIC USD ACC NAV USD,global
IE00B3YV8M70,BARING GLOBAL EMG MKTS A USD ACC NAV USD,global
IE0000838304,BARING INTL (IRE) GLOBAL EMG MARK USD,global
IE0030016244,BARINGS GLOBAL LEADERS FUND CLASS A USD INC USD,global
XS2190723176,BBVA 11.00% P.A. GLOBAL RECOVERY SAFE HAVEN MEMORY AUTOCALL USD,global
XS2142188106,BBVA BOLT GLOBAL RECOVERY NOTE USD,global
XS2190723259,BBVA BOLT MARKETS 7.00% P.A. GLOBAL RECOVERY INCOME MEMORY AUTOCALL USD,global
XS2378619147,BBVA IDAD GLOBAL BANKS DEFENSIVE AUTOCALL JULY 2022 USD,global
XS2277231143,BBVA IDAD GLOBAL MARKETS CLASSIC AUTOCALL JULY 2021 USD USD,global
XS2296812659,BBVA KYTE GLOBAL MARKETS QTLY PHOENIX AC WITH MEM USD USD,global
LU0425308086,BLACKROCK (LUX) SA BGF GLOBAL INFL L A2 USD,global
LU0278466700,BLACKROCK (LUX) SA FIXED INCOME GLOBAL OPP A2 USD USD,global
LU0737136415,BLACKROCK (LUX) SA FIXED INCOME GLOBAL OPPS D5 USD,global
LU0072462426,BLACKROCK (LUX) SA GLOBAL ALLOCATION A2 USD ACC USD,global
LU1251621188,BLACKROCK (LUX) SA GLOBAL EVENT DRIVEN D2 USD ACC USD,global
LU0006061385,BLACKROCK (LUX) SA GLOBAL GOVERNMENT BD A2 USD USD,global
LU0940328577,BLACKROCK (LUX) SA GLOBAL JAPAN FLXB EQUITY HGD A2 USD,global
LU0011850046,BLACKROCK (LUX) SA Global Long-Horizon Equity Fund A USD USD,global
LU0784385840,BLACKROCK (LUX) SA GLOBAL MULTI-ASSET INCOME A2 USD ACC USD,global
LU0124384867,BLACKROCK (LUX) SA GLOBAL SUSTAINABLE ENERGY A2 USD ACC USD,global
LU0280465617,BLACKROCK (LUXEMBOURG) S.A. FIXED INCOME GLOBAL OPPORTUNITIES A5 USD,global
LU2490080954,BLACKROCK GF SYSTEMATIC GLOBAL EQUITY HIGH INCOME FUND D6 INC USD,global
LU0827879924,BLACKROCK GLOBAL (BGF) ESG MULTI ASSET D2 HGD ACC USD,global
LU2943721485,BLACKROCK GLOBAL ALLOCATION FUND D10 INC USD,global
LU1564329388,BLACKROCK GLOBAL DYNAMIC HIGH INCOME FUND  D6 USD,global
LU0359201612,BLACKROCK GLOBAL FUNDS CHINA A2 USD USD,global
LU1861217088,BLACKROCK GLOBAL FUNDS FINTECH A2 ACC USD,global
LU0411709560,BLACKROCK GLOBAL FUNDS SICAV - ASIAN DRAGON FUND D2 ACC USD,global
IE00BK70NJ20,BLACKROCK GLOBAL UNCONSTRAINED EQUITY D ACC USD,global
LU1116320737,BLACKROCK SYSTEMATIC GLOBAL EQUITY HIGH INCOME A6 INC USD,global
LU0724617971,BLACKROCK SYSTEMATIC GLOBAL SMALLCAP D2 ACC USD,global
LU0054578231,BLACKROCK SYSTEMATIC GLOBAL SMALLCAP FUND A2 ACC USD,global
LU1542977076,BLUEBAY GLOBAL SOVEREIGN OPPORTUNITIES C ACC USD,global
LU1793345262,BLUEBOX GLOBAL TECHNOLOGY FUND A ACC USD,global
LU2092176275,BLUEBOX GLOBAL TECHNOLOGY FUND CLASS C ACC USD,global
LU0823394779,BNP PARIBAS FUNDS GLOBAL CONVERTIBLE CLASSIC CAPITALISATION USD,global
IE0003924739,BNY MELLON GLB FDS GLOBAL BD A USD USD,global
IE00B3XPRY57,BNY MELLON GLOBAL EQUITY INCOME USD A USD,global
IE00BZ199B46,BNY MELLON GLOBAL INFRASTRUCTURE INCOME FUND W ACC USD,global
IE00BFXG0V08,BNY MELLON GLOBAL LEADERS FUND B ACC USD,global
IE00B504KW82,BNY MELLON GLOBAL REAL RETURN FUND C CLASS ACC USD,global
IE00B504KD93,BNY MELLON GLOBAL REAL RETURN USD A USD,global
GG00BPLWQ018,BOWMOOR GLOBAL ALPHA FUND PC D USD,global
GG00BLFDKG69,BOWMOOR GLOBAL ALPHA PC PTG I USD ACC USD,global
GG00BLFDKJ90,BOWMOOR GLOBAL ALPHA PC PTG K USD ACC USD,global
IE00BVVHP563,BROWN ADVISORY FDS GLOBAL LEADERS B USD USD,global
IE00BVVHP670,BROWN ADVISORY FDS GLOBAL LEADERS C USD USD,global
CH1300646267,BUNGE GLOBAL LTD USD,global
GG00BN6SRB82,CAM GLOBAL EQUITY FEEDER FUND R ACC USD,global
GG00B89FYD29,CAM GLOBAL GREATS FUND CLASS R ACC USD,global
GG00BMBVGT61,CAM GLOBAL GROWTH FUND CLASS R ACC USD,global
GG00BLH0L409,CAM GLOBAL HIGH EQUITY FUND CLASS R ACC USD,global
IE00BYPZP462,CANACCORD GEN INV SELECT GLOBAL DIVERSITY R USD ACC USD,global
IE00B3BRDK12,CANACCORD GENUITY CGWM SELECT GLOBAL OPP ACC USD USD,global
XS2392055187,CAPITAL CITIGROUP GLOBAL MARKETS FUNDING MEMORY COUPON USD,global
US14448C1045,CARRIER GLOBAL COR COM USD0.01 WI USD,global
XS2311612019,CAUSEWAY BBVA GLOBAL QUAD INCOME USD,global
XS2246865369,CAUSEWAY BBVA GLOBAL QUAD PHOENIX NOTE 2 USD,global
XS3119348640,CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE USD,global
XS3191940967,CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 3 USD,global
XS3218413923,CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 4 USD,global
XS3326678151,CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 7 USD,global
XS3359254326,CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 8 USD,global
XS3396515234,CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 9 USD,global
XS2817788545,CAUSEWAY MORGAN STANLEY GLOBAL MARKETS INCOME NOTE USD,global
XS3267336520,CAUSEWAY NATIXIS GLOBAL MARKETS INCOME AUTOCALL NOTE USD,global
GG00B3FKLD54,CELERITY GLOBAL BALANCED FUND IC A ACC USD,global
IE0003JQ8MH1,CITRINE GLOBAL MULTI-ASSET A ACC USD,global
US19260Q1076,COINBASE GLOBAL INC USD,global
XS1715814601,COMMERZBANK GLOBAL INDEX INCOME BUILDER 70-70 NOV 18 USD,global
LU1683285164,CS INVEST FUNDS 2 CS GLOBAL BI IN ACC USD,global
LU0061474960,CT GLOBAL FOCUS AU USD USD,global
XS1804795893,CTF GLOBAL EQUITY AUTOCALL 14 USD USD,global
LU2000525019,CURATE GLOBAL SUSTAINABLE EQUITY FUND A USD ACC USD,global
LU2000525100,CURATE GLOBAL SUSTAINABLE EQUITY FUND B USD ACC USD,global
IE00B2PC0153,DIMENSIONAL GLOBAL CORE EQUITY USD ACC USD,global
IE0030982627,DIMENSIONAL GLOBAL SHORT FIXED INCOME USD ACC USD,global
IE00BKPWG913,DIMENSIONAL GLOBAL SUSTAINABILITY FIXED INCOME ACC USD,global
IE0002GVBP13,DIMENSIONAL GLOBAL SUSTAINABILITY TARGETED VALUE FUND  ACC USD,global
IE00B2PC0609,DIMENSIONAL GLOBAL TARGETED VALUE FUND USD ACC USD,global
IE00BKX45S11,DIMENSIONAL GLOBAL ULTRA SHORT FIXED INCOME FUND ACC USD USD,global
IE00B54PRV58,DODGE & COX WORLDW GLOBAL STOCK USD ACC USD,global
IE00B5568D66,DODGE & COX WORLDWIDE GLOBAL USD ACC USD,global
IE00BN7HSQ61,DVAM GLOBAL EQUITY FOCUS STRATEGY PCP USD A1 ACC USD,global
IE00BN7HST92,DVAM GLOBAL EQUITY FOCUS STRATEGY PCP USD B1 ACC USD,global
IE00BN7HSX39,DVAM GLOBAL EQUITY FOCUS STRATEGY PCP USD D1 ACC USD,global
IE00BN7HT077,DVAM GLOBAL EQUITY FOCUS STRATEGY PCP USD E1 ACC USD,global
IE00BHR3ZV63,DVAM GLOBAL EQUITY INCOME USD A2 INC USD,global
IE00BJ320C74,DVAM GLOBAL EQUITY INCOME USD B2 INC USD,global
IE00BHR3YV98,DVAM GLOBAL EQUITY INCOME USD D2 DIS USD,global
IE00BHR3ZW70,DVAM GLOBAL EQUITY INCOME USD E2 INC USD,global
US298785KH83,EUROPEAN INVESTMENT BANK EIB 4.625 % NOTES 2025 12.02.35 GLOBAL USD,global
IE00BMD8GG29,EVELYN GLOBAL BALANCED DIRECT FUND K USD ACC USD,global
IE00BK723D25,EVELYN GLOBAL BALANCED PORTFOLIO A USD ACC USD,global
IE00BK723B01,EVELYN GLOBAL BALANCED PORTFOLIO RETAIL USD ACC USD,global
IE00BK71Y149,EVELYN GLOBAL DEFENSIVE PORTFOLIO RETAIL USD ACC USD,global
IE00BK723095,EVELYN GLOBAL INCOME PORTFOLIO RETAIL USD ACC USD,global
IE000U13NVM5,FED HERMES GLOBAL EMERGING MARKETS EX CHINA EQUITY FUND CLASS M ACC USD,global
IE00B3DJ5Q52,FEDERATED HERMES GLOBAL EMERGING MARKETS EQUITY FUND F USD ACCUMULATING USD,global
LU0528227936,FF GLOBAL DEMOGRAPHICS FUND A ACC USD,global
LU2242646235,FF GLOBAL DIVIDEND PLUS FUND A ACC USD,global
LU0882574055,FF GLOBAL HEALTHCARE FUND A ACC USD,global
LU0157215616,FIDELITY FUNDS GLOBAL FOCUS A USD DIS USD,global
LU0772969993,FIDELITY FUNDS GLOBAL DIVIDEND EQUITY FUND A ACC USD,global
LU0731782586,FIDELITY FUNDS GLOBAL DIVIDEND EQUITY FUND A INC USD,global
LU0731783048,FIDELITY FUNDS GLOBAL DIVIDEND EQUITY FUND A INC USD,global
LU1481011911,FIDELITY FUNDS GLOBAL DIVIDEND EQUITY FUND A INC USD,global
LU0605515963,FIDELITY FUNDS GLOBAL DIVIDEND EQUITY FUND Y ACC USD,global
LU0882574303,FIDELITY FUNDS GLOBAL INCOME FUND A ACC USD,global
LU1797663298,FIDELITY FUNDS GLOBAL MULTI ASSET INCOME FUND Y ACC USD,global
LU0390710027,FIDELITY FUNDS GLOBAL SHORT DURATION INCOME FUND A ACC USD,global
LU1711970662,FIDELITY FUNDS SUSTAINABLE GLOBAL DIVIDEND PLUS FUND Y ACC USD,global
LU2078916223,FIDELITY GLOBAL HEALTH CARE FUND Y ACC USD,global
LU0882574568,FIDELITY GLOBAL INC A MINCOME(G) DIS USD,global
LU2425919680,FIDELITY GLOBAL INCOME Y MINCOME INC USD,global
LU0267386521,Fidelity Global Multi Asset Growth & Income Fund A USD USD,global
LU1046421795,FIDELITY GLOBAL TECHNOLOGY A USD ACC USD,global
LU0971096721,FIDELITY LUX GLOBAL FINL SVCS A INC USD,global
LU1560650563,FIL INV MGMT LUX GLOBAL TECHNOLOGY Y USD ACC USD,global
GG00BH0WMZ32,FINCREST GLOBAL EQUITY FUND CLASS A USD,global
IE00B0169N27,FIRST STATE GLOBAL STEWART INV GLOBAL EMERGING MARKET LEADERS I ACC USD USD,global
IE00B29SXL02,FIRST STATE GLOBAL UM LISTD INFRASTRUCT I USD DIST USD,global
LU0128525689,FRANKLIN TEMP GLOBAL BAL A ACC USD USD,global
LU0300741062,FRANKLIN TEMP GLOBAL HI YLD MDIS \$ USD,global
LU0211326755,FRANKLIN TEMP GLOBAL INC A ACC USD USD,global
LU0029864427,FRANKLIN TEMPL GLOBAL FOCUS FD A DIS USD,global
LU0211331839,FRANKLIN TEMPLETON FRANKLIN MUT GLOBAL DVRY A CAP USD,global
LU0128525929,FRANKLIN TEMPLETON GLOBAL FOCUS A ACC USD,global
LU0170475585,FRANKLIN TEMPLETON GLOBAL TOTAL RETURN A MDIS USD USD,global
LU0170475312,FRANKLIN TEMPLETON GLOBAL TOTAL RETURN FUN A ACC USD USD,global
IE00B19Z4J92,FTGF GBL BRANDYWNE GLOBAL FIXED INCOME A USD ACC USD,global
IE00B1BXHP82,FTGF GBL W/A GLOBAL HIGH YIELD A USD ACC USD,global
IE00B5NTPS12,GAM STAR GLOBAL BALANCED A USD ACC USD,global
IE00B5KPBC88,GAM STAR GLOBAL BALANCED ACC USD USD,global
IE00B5VMBV77,GAM STAR GLOBAL BALANCED C USD ACC USD,global
IE00BD6C6V39,GAM STAR GLOBAL BALANCED F USD ACC USD,global
IE00B5T6XH13,GAM STAR GLOBAL BALANCED INSTL ACC USD,global
IE00B4KMRV32,GAM STAR GLOBAL BALANCED T USD USD,global
IE00BYQ0F843,GAM STAR GLOBAL BALANCED U USD ACC USD,global
US37940XAR35,GLOBAL PAYMENTS 5.95 % NOTES 2022-15.08.52 USD,global
US37950E2596,GLOBAL X FDS GBL X FTSE ARGENT USD USD,global
US37954Y7159,GLOBAL X FDS GBL X ROBOTICS & ARTIFICIAL USD,global
LU0234570918,GOLDMAN SACHS GLOBAL CORE EQUITY PORTFOLIO ACC USD,global
LU0555020303,GOLDMAN SACHS GLOBAL EMERGING MRKTS DEBT HRD CCY CLASS P CAP US\$ USD,global
LU1292650279,GOLDMAN SACHS GLOBAL SENIOR LOANS R HEDGED INC USD,global
LU0214494824,GOLDMAN SACHS GLOBAL US HIGH DIVIDEND CLASS P AC USD USD,global
IE00BH480R51,GQG PARTNERS GLOBAL EQUITY I ACC USD,global
LU0234570751,GS GLOBAL CORE EQUITY BASE ACCUMULATION SNAP USD ACC SNAP USD,global
IE00B2Q91V27,GUINNESS AM GLOBAL ENERGY C USD INC NAV USD,global
IE00B2Q91T05,GUINNESS AM GLOBAL ENERGY D USD INC NAV USD,global
IE00BVYPNW00,GUINNESS AM GLOBAL EQUITY INCOME C USD,global
IE00BVYPNX17,GUINNESS AM GLOBAL EQUITY INCOME Y USD,global
IE00BVYPP248,GUINNESS AM GLOBAL EQUITY INCOME Y USD,global
IE00BQXX3F31,GUINNESS AM GLOBAL INNOVATORS C ACC USD,global
IE00BQXX3M08,GUINNESS AM GLOBAL INNOVATORS Y ACC USD,global
IE00B3QG6N78,GUINNESS GAM GLOBAL EQUITY INCOME INC D USD,global
IE00B3CCJC95,GUINNESS GLOBAL ENERGY Y INC USD,global
IE00B42XCP33,GUINNESS GLOBAL EQUITY INCOME FUND C USD USD,global
IE00B3QW5Z07,GUINNESS GLOBAL MONEY MANAGERS C ACC USD,global
IE00BN0W2W23,GUINNESS GLOBAL QUALITY MID CAP C ACC USD,global
IE00BH6XS969,HEPTAGON FUND KOPERNIK GLOBAL All-CAP EQUITY FUND ACC A USD,global
IE00BYZ09279,HEPTAGON FUND WCM GLOBAL EQTY A ACC USD,global
IE00BGNBPW89,HSBC GLOBAL FUNDS ICAV US EQUITY INDEX BC ACC USD,global
LU0780247804,HSBC GLOBAL INDIA FIX INC ACC USD USD,global
US404280DN62,HSBC HLDGS 6.8 % NOTES 2022-01.06.38 GLOBAL USD,global
US404280DJ50,HSBC HOLDINGS PLC 7.35 % NOTES 2022-27.11.32 GLOBAL USD,global
LU0054450605,HSBC INV FD LUX SA GLOBAL EMG MKTS EQUITY A USD,global
LU0323240290,HSBC INV FD LUX SA GLOBAL EQUITY CLIMATE SOLUTIONS A INC USD,global
XS3338999496,IDAD NATIX GLOBAL MARKETS DEFENSIVE AUTOCALL USD,global
XS3338995585,IDAD NATIXIS GLOBAL INDICES AC JULY 2026 USD,global
XS3267326992,IDAD NATIXIS GLOBAL MARKETS DEFENSIVE AC APRIL 2026 USD,global
XS3138911782,IDAD NATIXIS GLOBAL MARKETS DEFENSIVE AC DEC 2025 USD,global
XS3338965679,IDAD NATIXIS GLOBAL MARKETS DEFENSIVE AUTOCALL USD,global
XS3138919686,IDAD NATIXIS GLOBAL MARKETS DEFENSIVE AUTOCALL JANUARY 2026 USD USD,global
XS3138937407,IDAD NATIXIS GLOBAL MARKETS DEFENSIVE AUTOCALL MARCH 2026 USD,global
XS2736751160,IDAD NATIXIS GLOBAL MARKETS MEMORY INCOME AUTOCALL OCTOBER 2025 USD,global
GB00BNG2HX24,IFSL ARBION GLOBAL OPPORTUNITIES USD ACC USD,global
GG00B4N6N924,IIF GLOBAL EQUITY B ACC USD,global
GG00B4LD8Z60,IIF GLOBAL EQUITY FUND CLASS A USD USD,global
LU0052864419,INVESCO GLOBAL CONSUMER TRENDS A USD USD,global
LU0100598878,INVESCO GLOBAL CONSUMER TRENDS C USD USD,global
LU2382294648,INVESCO GLOBAL EQUITY FUND C (USD)-ANNUAL DISTRIBUTION USD,global
LU1775982595,INVESCO GLOBAL HEALTH CARE INNOVATION A USD USD,global
LU1775952176,INVESCO GLOBAL HEALTH CARE INNOVATION FUND C AD USD,global
LU2110297061,INVESCO GLOBAL INCOME A INC USD,global
LU0607513230,INVESCO MANAGEMENT GLOBAL EQUITY INCOME A USD ACC NAV USD,global
LU1775975201,INVESCO MANAGEMENT GLOBAL SMALL CAP EQUITY A USD,global
LU2708676429,INVESCO SUSTAINABLE GLOBAL INCOME C HEDGED ACC USD,global
IE00BYWZ0440,ISHARES GLOBAL HIGH YIELD CORP BD UCITS USD ACC USD,global
IE00B57X3V84,ISHARES II PLC GLOBAL SUSTAINABI UCITS USD,global
IE00B1FZS467,iShares Macquarie Global Infra USD,global
IE00B27YCF74,ISHARES S&P GLOBAL TIMBER & FORESTRY USD,global
IE00B1TXK627,iShares S&P Global Water USD,global
IE00B87G8S03,ISHARES VI PLC GLOBAL AAA-AA GOV BND UCITS USD,global
IE00B89JY234,J O HAMBRO CAP GLOBAL OPPS A USD INC NAV USD,global
LU0200076999,JANUS HENDERSON GLOBAL EQUITY FUND R\$ ACC A2 USD USD,global
IE0009355771,JANUS HENDERSON GLOBAL LIFE SCIENCE A ACC USD,global
IE0033534441,JANUS HENDERSON GLOBAL REAL ESTATE A3Q USD USD,global
IE00BFRSYS74,JANUS HENDERSON GLOBAL TECHNOLOGY AND INNOVATION FUND H2 USD ACC USD,global
LU0209137388,JANUS HENDERSON HORIZON GLOBAL PROPERTY EQUITIES FUND A2 USD USD,global
LU0209137206,JANUS HENDERSON HORIZON GLOBAL PROPERTY EQUITIES FUND A3Q USD USD,global
LU0209137628,JANUS HENDERSON HORIZON GLOBAL PROPERTY EQUITIES FUND I2 USD USD,global
LU0209158467,JANUS HENDERSON HORIZON GLOBAL TECHNOLOGY LEADERS FUND A1 USD USD,global
LU0070992663,JANUS HENDERSON HORIZON GLOBAL TECHNOLOGY LEADERS FUND A2 USD USD,global
LU0828813369,JANUS HENDERSON HORIZON GLOBAL TECHNOLOGY LEADERS FUND H2 USD USD,global
LU0210534813,JP MORGAN GLOBAL SOCIALLY RESPONSIBLE A ACC USD,global
LU0329202922,JPM IF GLOBAL DIVIDEND C ACC USD,global
LU0089639750,JPMF AM GLOBAL EQUITY A DIST USD USD,global
LU0432979614,JPMORGAN ASSET MGM GLOBAL HEALTHCARE A ACC USD USD,global
LU0432979887,JPMORGAN ASSET MGM GLOBAL HEALTHCARE C ACC USD USD,global
LU0266512127,JPMORGAN ASSET MGM GLOBAL NATURAL RESOURCES A USD,global
LU0210533765,JPMORGAN GLOBAL GROWTH FUND A USD ACC USD,global
LU2402382688,JPMORGAN GLOBAL RESEARCH ENHANCED INDEX EQUITY A ACC USD,global
