name,category,source,symbol,isin,ref_name,yahoo_name,overlap,currency_ok,yahoo_currency,yahoo_type,verdict,recommendation,rows_ok
GUINNESS GLOBAL QUALITY MID CAP C ACC USD,GLOBAL,Yahoo按名称,0P0001LDIA,,GUINNESS GLOBAL QUALITY MID CAP C ACC USD,Guinness Global Quality MidCap C USD Acc,0.75,True,USD,MUTUALFUND,确认,可用,1421.0
HSBC GLOBAL FUNDS ICAV US EQUITY INDEX BC ACC USD,GLOBAL,Yahoo按名称,0P0001EPQG,,HSBC GLOBAL FUNDS ICAV US EQUITY INDEX BC ACC USD,HSBC Global Funds ICAV - US Equity Index Fund BC USD,1.0,True,USD,MUTUALFUND,确认,可用,1716.0
HSBC GLOBAL INDIA FIX INC ACC USD USD,GLOBAL,FT-ISIN->Yahoo,0P0000WX8N,LU0780248018,HSBC Global Investment Funds - India Fixed Income EC,HSBC GIF India Fixed Income EC,0.83,True,USD,MUTUALFUND,确认,可用,1114.0
IFSL ARBION GLOBAL OPPORTUNITIES USD ACC USD,GLOBAL,Yahoo按名称,0P0001MJ13,,IFSL ARBION GLOBAL OPPORTUNITIES USD ACC USD,IFSL Arbion Global Opports USD Acc,0.75,True,USD,MUTUALFUND,确认,可用,1313.0
INVESCO GLOBAL HEALTH CARE INNOVATION A USD USD,GLOBAL,FT-ISIN->Yahoo,0P0001DK2B,LU1775982595,Invesco Funds - Invesco Global Health Care Innovation Fund A-Annual Distribution Shares USD,Invesco Funds - Invesco Global Health Care Innovation Fund,1.0,True,USD,MUTUALFUND,确认,可用,1113.0
INVESCO GLOBAL HEALTH CARE INNOVATION FUND C AD USD,GLOBAL,FT-ISIN->Yahoo,0P0001DK29,LU1775952176,Invesco Funds - Invesco Global Health Care Innovation Fund C-AD Shares,Invesco Funds - Invesco Global Health Care Innovation Fund,1.0,True,USD,MUTUALFUND,确认,可用,1113.0
JANUS HENDERSON GLOBAL TECHNOLOGY AND INNOVATION FUND H2 USD ACC USD,GLOBAL,Yahoo按名称,JATNX,,JANUS HENDERSON GLOBAL TECHNOLOGY AND INNOVATION FUND H2 USD ACC USD,Janus Henderson Global Technology and Innovation Fund,1.0,True,USD,MUTUALFUND,确认,可用,2399.0
JANUS HENDERSON HORIZON GLOBAL PROPERTY EQUITIES FUND A2 USD USD,GLOBAL,Yahoo按名称,0P0000193V,LU0209137388,JANUS HENDERSON HORIZON GLOBAL PROPERTY EQUITIES FUND A2 USD USD,Janus Henderson Horizon Global Property Equities Fund A2 USD,1.0,True,USD,MUTUALFUND,确认,可用,1113.0
JPMORGAN GLOBAL GROWTH FUND A USD ACC USD,GLOBAL,FT-ISIN->Yahoo,0P000019C1,LU0210533765,JPMorgan Funds - Global Growth Fund A (acc) USD,JPMorgan Funds - Global Growth Fund A (acc) - USD,1.0,True,USD,MUTUALFUND,确认,可用,1114.0
JUPITER GLOBAL FIXED INCOME FUND L USD ACC USD,GLOBAL,FT-ISIN->Yahoo,0P00000MMB,IE0031386414,Jupiter Global Fixed Income Fund L (USD) Accumulation,Jupiter Global Fixed Inc L USD Acc,1.0,True,USD,MUTUALFUND,确认,可用,1914.0
LINDSELL TRAIN LTD GLOBAL EQUITY C USD,GLOBAL,Yahoo按名称,0P00013W6Y,,LINDSELL TRAIN LTD GLOBAL EQUITY C USD,Lindsell Train Global Equity C USD Acc,1.0,True,USD,MUTUALFUND,确认,可用,1914.0
M&G (LUX) GLOBAL TARGET RETURN FUND C H ACC USD,GLOBAL,FT-ISIN->Yahoo,0P00019IT4,LU1531595301,M&G (Lux) Global Target Return Fund USD C-H Acc,M&G (Lux) Global Target Return C USDhAcc,1.0,True,USD,MUTUALFUND,确认,可用,2441.0
MOMENTUM GLOBAL GROWTH FUND CLASS A USD,GLOBAL,FT-ISIN->Yahoo,0P0000TT0O,LU0651983982,Momentum Global Funds Harmony Asian Growth Fund A,Harmony Portfolios Asian Growth A USD,0.75,True,USD,MUTUALFUND,确认,可用,1114.0
MORGAN STANLEY IF GLOBAL BRANDS A ACC USD,GLOBAL,Yahoo按名称,0P0001XI1K,,MORGAN STANLEY IF GLOBAL BRANDS A ACC USD,Morgan Stanley IF - Global Stars A Acc,0.8,True,USD,MUTUALFUND,确认,可用,235.0
MORGAN STANLEY IF GLOBAL BRANDS Z ACC NAV USD,GLOBAL,Yahoo按名称,0P0001XI1P,,MORGAN STANLEY IF GLOBAL BRANDS Z ACC NAV USD,Morgan Stanley IF - Global Stars Z Acc,0.8,True,USD,MUTUALFUND,确认,可用,235.0
MORGAN STANLEY IF GLOBAL OPP I ACC NAV USD,GLOBAL,Yahoo按名称,0P0001XI1N,,MORGAN STANLEY IF GLOBAL OPP I ACC NAV USD,Morgan Stanley IF - Global Stars I Acc,0.8,True,USD,MUTUALFUND,确认,可用,235.0
NINETY-ONE GLOBAL ST UK ALPHA I USD ACC USD,GLOBAL,FT-ISIN->Yahoo,0P0000TL13,LU0641506000,Ninety One Global Strategy Fund - UK Alpha Fund I Acc USD,Ninety One GSF UK Alpha I Acc USD,0.8,True,USD,MUTUALFUND,确认,可用,1114.0
NOMURA GLOBAL HIGH CONVICTION I USD USD,GLOBAL,Yahoo按名称,0P00012R7L,,NOMURA GLOBAL HIGH CONVICTION I USD USD,Nomura Global High Yield Bond I USD,0.75,True,USD,MUTUALFUND,确认,可用,1914.0
NSF SICAV WEALTH DEFENDER GLOBAL EQUITY FUND C USD ACC USD,GLOBAL,FT-ISIN->Yahoo,0P0001SAYJ,LU2637817243,NSF SICAV Wealth Defender Glbl Eq C USD,NSF SICAV Wealth Defender Glbl,1.0,True,USD,MUTUALFUND,确认,可用,641.0
PGIM JENNISON GLOBAL EQUITY OPPORTUNITIES I ACC USD,GLOBAL,Yahoo按名称,0P0001DZEF,,PGIM JENNISON GLOBAL EQUITY OPPORTUNITIES I ACC USD,PGIM Jennison Global Equity Opportunities Fund,1.0,True,USD,MUTUALFUND,确认,可用,1914.0
PICTET-GLOBAL ENVIRONMENTAL OPPORTUNITIES HP ACC USD,GLOBAL,FT-ISIN->Yahoo,0P0001CKEL,LU0503633330,Pictet - Global Environmental Opportunities HP USD,Pictet - Global Environmental Opportunities,1.0,True,USD,MUTUALFUND,确认,可用,1114.0
PIMCO GIS GLOBAL INV GRADE CREDIT INST INC USD USD,GLOBAL,Yahoo按名称,0P0000HOIQ,IE0034085260,PIMCO GIS GLOBAL INV GRADE CREDIT INST INC USD USD,PIMCO GIS Global Investment Grade Credit Fund H Institutional USD Accumulation,0.71,True,USD,MUTUALFUND,确认,可用,1914.0
POLAR CAPITAL GLOBAL TECH FD USD,GLOBAL,Yahoo按名称,0P0000M892,,POLAR CAPITAL GLOBAL TECH FD USD,Polar Capital Global Tech I Inc,1.0,True,USD,MUTUALFUND,确认,可用,1914.0
RANMORE GLOBAL EQUITY FUND INST USD ACC USD,GLOBAL,Yahoo按名称,0P0001QRG7,,RANMORE GLOBAL EQUITY FUND INST USD ACC USD,Ranmore Global Equity Fund,1.0,True,USD,MUTUALFUND,确认,可用,850.0
SCHRODER INTL SEL GLOBAL GOLD A USD ACC USD,GLOBAL,Yahoo按名称,0P0000TY84,,SCHRODER INTL SEL GLOBAL GOLD A USD ACC USD,SEB LI Schroder Intl Sel Global Eq USD,0.8,True,USD,MUTUALFUND,确认,可用,1914.0
SCHRODER ISF GLOBAL CITIES A ACC USD,GLOBAL,FT-ISIN->Yahoo,0P00001E4P,LU0224508324,Schroder International Selection Fund Global Cities A Accumulation USD,Schroder ISF Global Cities A Acc USD,0.75,True,USD,MUTUALFUND,确认,可用,1114.0
UBAM GLOBAL EQUITY IC ACC USD,GLOBAL,FT-ISIN->Yahoo,0P0001DZRW,LU1808465147,UBAM - Tech Global Leaders Equity IC USD,UBAM Tech Global Leaders Equity IC USD,1.0,True,USD,MUTUALFUND,确认,可用,1132.0
VONTOBEL FUND II DUFF & PHELPS GLOBAL LISTED INFRASTRUCTURE B ACC USD,GLOBAL,FT-ISIN->Yahoo,0P0001K1Y4,LU2167913123,Vontobel Fund II - Duff & Phelps Global Listed Infrastructure B USD Cap,Vontobel Fund II - Duff & Phelps Global Listed Infrastructure,1.0,True,USD,MUTUALFUND,确认,可用,1114.0
FIRST EAGLE AMUNDI INTERNATIONAL AU USD ACC USD,INTERNATIONAL,Yahoo按名称,0P00011MTY,LU0068578508,FIRST EAGLE AMUNDI INTERNATIONAL AU USD ACC USD,First Eagle Amundi International AU2-C,0.8,True,USD,MUTUALFUND,确认,可用,1114.0
