name,category,isin_cur,expected_cur,symbol,symbol_currency,symbol_type,yahoo_longname,cur_symbol_old,n_cands,status
BLUEBAY GLOBAL SOVEREIGN OPPORTUNITIES C ACC USD,GLOBAL,LU1480175907:USD,USD,,,,,0P00019Y0W.F,0,NO_SYMBOL
BNP PARIBAS FUNDS GLOBAL CONVERTIBLE CLASSIC CAPITALISATION USD,GLOBAL,LU0823394779:USD,USD,0P0000YSSR,PNK,Fund,,0P0000YSSR,1,SYMBOL_FOUND
BNY MELLON GLOBAL EQUITY INCOME USD A USD,GLOBAL,IE0004004283:USD,USD,0P00000KAN,PNK,Fund,,0P00000QYA.L,1,SYMBOL_FOUND
CS INVEST FUNDS 2 CS GLOBAL BI IN ACC USD,GLOBAL,LU0458985636:USD,USD,0P0001BV7Q,PNK,Fund,,0P0001CBI5,1,SYMBOL_FOUND
CT AMERICAN SELECT 1U USD ACC USD,AMERICAN,LU1868841674:USD,USD,FV2J.F,FRA,ETF,,FV2J.F,1,SYMBOL_FOUND
CT GLOBAL FOCUS AU USD USD,GLOBAL,LU0061474960:USD,USD,XRZ5.F,FRA,ETF,,0P0001CZXN.L,2,SYMBOL_FOUND
FF GLOBAL DEMOGRAPHICS FUND A ACC USD,GLOBAL,LU1961889323:USD,USD,0P0001H2RW,PNK,Fund,,Y1B0.MU,1,SYMBOL_FOUND
FF GLOBAL DIVIDEND PLUS FUND A ACC USD,GLOBAL,LU1711970662:USD,USD,0P0001C2PV,PNK,Fund,,,1,SYMBOL_FOUND
FIDELITY FUNDS FID AMERICA A DIS USD USD,AMERICAN,LU0048573561:USD,USD,,,,,0P0001KN60.F,0,NO_SYMBOL
FIDELITY FUNDS GLOBAL FOCUS A USD DIS USD,GLOBAL,LU0157215616:USD,USD,IPGR.F,FRA,ETF,,IPGR.F,1,SYMBOL_FOUND
FIDELITY FUNDS GLOBAL INCOME FUND A ACC USD,GLOBAL,LU0882574303:USD,USD,0P0000YEDJ,PNK,Fund,,FJ2K.MU,1,SYMBOL_FOUND
