name,category,isin_cur,expected_cur,symbol,symbol_currency,symbol_type,yahoo_longname,cur_symbol_old,n_cands,status,real_cur,real_type,yahoo_longname2,usable
ARTEMIS SMARTGARP GLOBAL EMERGING MARKETS EQUITY I ACC USD,GLOBAL,LU1846577242:USD,USD,0P0001EEIJ,PNK,Fund,,0P0001YIQ8,1,SYMBOL_FOUND,USD,MUTUALFUND,Artemis Fds(Lux)SmartGARP GlblEM Eq IUSD,OK
AXA WORLD FUND GLOBAL REAL ESTATE A USD ACC USD,GLOBAL,LU1731858806:USD,USD,,,,,0P0000SR16,0,NO_SYMBOL,,,,NO_SYMBOL
BARING GLOBAL RESOURCES A USD DIS USD,GLOBAL,IE0000931182:USD,USD,BYQN.F,FRA,ETF,,BYQN.F,1,SYMBOL_FOUND,EUR,ETF,Barings Global Umbrella Fund - Barings Global Resources Fund,CUR_MISMATCH
BARING LATIN AMERICA A USD DIS USD,AMERICAN,IE0000828933:USD,USD,BYQU.F,FRA,ETF,,BYQU.F,1,SYMBOL_FOUND,EUR,ETF,Barings Emerging Markets Umbrella Fund - Barings Latin America Fund,CUR_MISMATCH
BARINGS GLOBAL LEADERS FUND CLASS A USD INC USD,GLOBAL,IE0030016244:USD,USD,BYQX.SG,STU,Fund,,BYQX.SG,1,SYMBOL_FOUND,EUR,MUTUALFUND,Baring Global Umbrella Fund - Baring Global Leaders Fund,CUR_MISMATCH
BLACKROCK GLOBAL (BGF) ESG MULTI ASSET D2 HGD ACC USD,GLOBAL,LU0827879924:USD,USD,0P0000X7SD,PNK,Fund,,,1,SYMBOL_FOUND,USD,MUTUALFUND,BGF ESG Multi-Asset D2 USD H,OK
BLACKROCK GLOBAL FUNDS CHINA A2 USD USD,GLOBAL,LU0359201612:USD,USD,LU0359201612-USD.LU,LUX,Fund,,0P0000UNZJ,1,SYMBOL_FOUND,USD,MUTUALFUND,Blac Glo CF A2,OK
BLACKROCK SYSTEMATIC GLOBAL EQUITY HIGH INCOME A6 INC USD,GLOBAL,LU1116320737:USD,USD,0P00014FO3,PNK,Fund,,0P00014FO3,1,SYMBOL_FOUND,USD,MUTUALFUND,BGF Systematic Glbl Eq Hi Inc A6,OK
BLACKROCK SYSTEMATIC GLOBAL SMALLCAP D2 ACC USD,GLOBAL,LU0724617971:USD,USD,0P0001MSQE,PNK,Fund,,0P0001MSQE,1,SYMBOL_FOUND,USD,MUTUALFUND,,OK
BLACKROCK SYSTEMATIC GLOBAL SMALLCAP FUND A2 ACC USD,GLOBAL,LU0054578231:USD,USD,ERDL.F,FRA,ETF,,0P000137EL,2,SYMBOL_FOUND,EUR,ETF,BlackRock Global Funds - Systematic Global SmallCap Fund,CUR_MISMATCH
BLUEBAY GLOBAL SOVEREIGN OPPORTUNITIES C ACC USD,GLOBAL,LU1480175907:USD,USD,,,,,0P00019Y0W.F,0,NO_SYMBOL,,,,NO_SYMBOL
BNP PARIBAS FUNDS GLOBAL CONVERTIBLE CLASSIC CAPITALISATION USD,GLOBAL,LU0823394779:USD,USD,0P0000YSSR,PNK,Fund,,0P0000YSSR,1,SYMBOL_FOUND,USD,MUTUALFUND,BNP Paribas Glbl Cnvrt Cl C,OK
BNY MELLON GLOBAL EQUITY INCOME USD A USD,GLOBAL,IE0004004283:USD,USD,0P00000KAN,PNK,Fund,,0P00000QYA.L,1,SYMBOL_FOUND,USD,MUTUALFUND,BNY Mellon Sust Glbl Equity USD A Acc,OK
CS INVEST FUNDS 2 CS GLOBAL BI IN ACC USD,GLOBAL,LU0458985636:USD,USD,0P0001BV7Q,PNK,Fund,,0P0001CBI5,1,SYMBOL_FOUND,USD,MUTUALFUND,UBS Lux Credit Income P-acc,OK
CT AMERICAN SELECT 1U USD ACC USD,AMERICAN,LU1868841674:USD,USD,FV2J.F,FRA,ETF,,FV2J.F,1,SYMBOL_FOUND,EUR,ETF,Threadneedle (Lux) - American Select,CUR_MISMATCH
CT GLOBAL FOCUS AU USD USD,GLOBAL,LU0061474960:USD,USD,XRZ5.F,FRA,ETF,,0P0001CZXN.L,2,SYMBOL_FOUND,EUR,ETF,Threadneedle (Lux) - Global Focus,CUR_MISMATCH
FF GLOBAL DEMOGRAPHICS FUND A ACC USD,GLOBAL,LU1961889323:USD,USD,0P0001H2RW,PNK,Fund,,Y1B0.MU,1,SYMBOL_FOUND,USD,MUTUALFUND,FF - Global Demographics I-Acc-USD,OK
FF GLOBAL DIVIDEND PLUS FUND A ACC USD,GLOBAL,LU1711970662:USD,USD,0P0001C2PV,PNK,Fund,,,1,SYMBOL_FOUND,USD,MUTUALFUND,FF - Global Dividend Pl Y Acc USD,OK
FIDELITY FUNDS FID AMERICA A DIS USD USD,AMERICAN,LU0048573561:USD,USD,,,,,0P0001KN60.F,0,NO_SYMBOL,,,,NO_SYMBOL
FIDELITY FUNDS GLOBAL FOCUS A USD DIS USD,GLOBAL,LU0157215616:USD,USD,IPGR.F,FRA,ETF,,IPGR.F,1,SYMBOL_FOUND,EUR,ETF,Fidelity Funds - Global Focus Fund,CUR_MISMATCH
FIDELITY FUNDS GLOBAL INCOME FUND A ACC USD,GLOBAL,LU0882574303:USD,USD,0P0000YEDJ,PNK,Fund,,FJ2K.MU,1,SYMBOL_FOUND,USD,MUTUALFUND,Fidelity Global Income A-Acc-USD,OK
FIDELITY FUNDS GLOBAL MULTI ASSET INCOME FUND Y ACC USD,GLOBAL,LU1797663298:USD,USD,0P0001CZEL,PNK,Fund,,0P0000CO5U,1,SYMBOL_FOUND,USD,MUTUALFUND,Fidelity Glb Mlt Ast Inc Y-Acc-USD,OK
