isin,name,sheet,classify,symbol,currency,quoteType,longname,hist_rows,hist_first,hist_last,note
LU1683285164,CS INVEST FUNDS 2 CS GLOBAL BI IN ACC USD,global,NOUSD,LU1683285164.SG,EUR,MUTUALFUND,Credit Suisse Lux Digital Healt,,,,份额线 币种=EUR 类型=MUTUALFUND; Yahoo名称搜索无USD份额
LU0157215616,FIDELITY FUNDS GLOBAL FOCUS A USD DIS USD,global,NOUSD,IPGR.F,EUR,ETF,Fidelity Funds - Global Focus Fund,,,,欧洲基金线 币种=EUR 类型=ETF; Yahoo名称搜索无USD份额
LU0731782586,FIDELITY FUNDS GLOBAL DIVIDEND EQUITY FUND A INC USD,global,NOUSD,XC4P.HM,EUR,ETF,Fidelity Funds - Global Dividend Fund,,,,欧洲基金线 币种=EUR 类型=ETF; Yahoo名称搜索无USD份额
LU0211326755,FRANKLIN TEMP GLOBAL INC A ACC USD USD,global,NOUSD,F7RJ.F,EUR,ETF,Franklin Templeton Investment Funds SICAV - Templeton Global Income Fund,,,,欧洲基金线 币种=EUR 类型=ETF; Yahoo名称搜索无USD份额
LU0029864427,FRANKLIN TEMPL GLOBAL FOCUS FD A DIS USD,global,NOUSD,TEPD.F,EUR,ETF,Franklin Templeton Investment Funds SICAV - Templeton Global Fund,,,,欧洲基金线 币种=EUR 类型=ETF; Yahoo名称搜索无USD份额
LU0211331839,FRANKLIN TEMPLETON FRANKLIN MUT GLOBAL DVRY A CAP USD,global,NOUSD,XQ1D.F,EUR,ETF,Franklin Templeton Investment Funds SICAV - Franklin Mutual Global Discovery Fund,,,,欧洲基金线 币种=EUR 类型=ETF; Yahoo名称搜索无USD份额
LU0128525929,FRANKLIN TEMPLETON GLOBAL FOCUS A ACC USD,global,NOUSD,TEPU.F,EUR,ETF,Franklin Templeton Investment Funds SICAV - Templeton Global Fund,,,,欧洲基金线 币种=EUR 类型=ETF; Yahoo名称搜索无USD份额
IE00BH6XS969,HEPTAGON FUND KOPERNIK GLOBAL All-CAP EQUITY FUND ACC A USD,global,NOUSD,BUGD.MU,EUR,ETF,Heptagon Fund plc - Kopernik Global All-Cap Equity Fund,,,,欧洲基金线 币种=EUR 类型=ETF; Yahoo名称搜索无USD份额
LU0052864419,INVESCO GLOBAL CONSUMER TRENDS A USD USD,global,NOUSD,IUGI.F,EUR,ETF,Invesco Funds - Invesco Global Consumer Trends Fund,,,,欧洲基金线 币种=EUR 类型=ETF; Yahoo名称搜索无USD份额
LU0607513230,INVESCO MANAGEMENT GLOBAL EQUITY INCOME A USD ACC NAV USD,global,NOUSD,IU1E.F,EUR,ETF,"Invesco Funds, SICAV - Invesco Global Equity Income Fund",,,,欧洲基金线 币种=EUR 类型=ETF; Yahoo名称搜索无USD份额
LU1775975201,INVESCO MANAGEMENT GLOBAL SMALL CAP EQUITY A USD,global,NOUSD,W5A0.MU,EUR,ETF,Invesco Funds - Invesco Global Small Cap Equity Fund,,,,欧洲基金线 币种=EUR 类型=ETF; Yahoo名称搜索无USD份额
LU0200076999,JANUS HENDERSON GLOBAL EQUITY FUND R\$ ACC A2 USD USD,global,NOUSD,G05C.F,EUR,ETF,Janus Henderson Fund - Janus Henderson Global Equity Fund,,,,欧洲基金线 币种=EUR 类型=ETF; Yahoo名称搜索无USD份额
IE0033534441,JANUS HENDERSON GLOBAL REAL ESTATE A3Q USD USD,global,NOUSD,F4QR.MU,EUR,ETF,Janus Henderson Capital Funds plc - Janus Global Real Estate Fund,,,,欧洲基金线 币种=EUR 类型=ETF; Yahoo名称搜索无USD份额
