isin,name,sheet,classify,symbol,currency,quoteType,longname,hist_rows,hist_first,hist_last,note
IE00BZ60K206,ARBROOK G10 AMERICAN EQUITIES A1 USD ACC USD,America,FUND_USD,0P0001C875,USD,MUTUALFUND,Arbrook American Equities Fund,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU1378997875,CAPITAL INTL MGMNT INV CO OF AMERICA LUX Z USD,America,FUND_USD,0P000187E5,USD,MUTUALFUND,Capital Group InvCoAmer (LUX) Z,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0112528004,CT AMERICAN SELECT AU USD ACC USD,America,FUND_USD,0P00000SKQ,USD,MUTUALFUND,CT (Lux) American Select AU,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU1868836914,CT MGMT AMERICAN 3U USD ACC USD,America,FUND_USD,0P0001ER4L,USD,MUTUALFUND,Threadneedle (Lux) - American Class 3U (USD Accumulation Shares),1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0050427557,FIDELITY FUNDS LATIN AMERICA A USD DIS NAV USD,America,FUND_USD,0P0000CO6M,USD,MUTUALFUND,Fidelity Latin America Y-Acc-USD,1116,2022-03-07,2026-08-17,欧洲基金线 币种=EUR 类型=ETF; Yahoo名称匹配 sim=0.75 待复核
LU0210528500,JPMORGAN AMERICA EQUITY A USD USD,America,FUND_USD,0P000019D5,USD,MUTUALFUND,JPM America Equity A acc USD,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0129459060,JPMORGAN ASSET MGM AMERICA EQUITY C USD ACC USD,America,FUND_USD,0P00001RDJ,USD,MUTUALFUND,JPM America Equity C acc USD,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00B42HQF39,JUPITER MERIAN NORTH AMERICAN EQUITY FUND I USD ACC USD,America,FUND_USD,0P0000K0QL,USD,MUTUALFUND,Jupiter Merian North American Equity Fund (IRL) I USD Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE0031385887,JUPITER MERIAN NORTH AMERICAN EQUITY FUND L USD ACC USD,America,FUND_USD,0P00000MLI,USD,MUTUALFUND,Jupiter Merian NA Eq (IRL) L $ Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE000NXTFTQ8,PACIFIC NORTH AMERICAN OPPORTUNITIES R3 USD,America,FUND_USD,0P0001RN76,USD,MUTUALFUND,Pacific North American Opports USD R3Acc,757,2023-08-10,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00B531PK96,POLAR CAPITAL FUNDS NORTH AMERICAN I INC USD,America,FUND_USD,0P0000UDA2,USD,MUTUALFUND,Polar Capital North American I,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
GB00B4X7J424,VT DE LISLE AMERICA B ACC USD,America,FUND_USD,0P0000PW0D,USD,MUTUALFUND,VT De Lisle America B USD,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00025NOBE1,A.I. MACHINES GLOBAL MANAGED RISK FUND 2A2 ACC USD,global,FUND_USD,0P0001VF0D,USD,MUTUALFUND,A.I.Machines Glb Mgd Risk 2A2USD Base Ac,227,2025-09-22,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0083181239,AB GLOBAL HIGH YIELD PORTFOLIO I INC USD,global,FUND_USD,0P00000I2Z,USD,MUTUALFUND,AB Global High Yield I USD,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU2329614577,ABRDN SICAV I - GLOBAL DYNAMIC DIVIDEND FUND X INC USD USD,global,FUND_USD,0P0001M1PX,USD,MUTUALFUND,abrdn-Global Dynamic Div X Grs MIncAUSD,1115,2022-03-08,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0094547139,ABRDN SICAV I - GLOBAL SUSTAINABLE AND RESPONSIBLE INVESTMENT EQUITY A ACC USD USD,global,FUND_USD,0P00000B5U,USD,MUTUALFUND,abrdn-Global Sustainable Eqty A Acc USD,1115,2022-03-08,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00B296YR77,AEGON STRATEGIC GLOBAL INCOME FUND CLS A USD ACC USD,global,FUND_USD,0P0000U05K,USD,MUTUALFUND,Aegon Strategic Global Inc A Acc USD,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00B296YP53,AEGON STRATEGIC GLOBAL INCOME FUND CLS B USD INC USD,global,FUND_USD,0P0000KGKI,USD,MUTUALFUND,Aegon Strategic Global Inc B Inc USD,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU1698898050,ALLIANZ GLOBAL ARTIFICIAL INTELLIGENCE RT USD ACC USD,global,FUND_USD,0P0001C8Z3,USD,MUTUALFUND,Allianz Global Investors Fund - Allianz Global Artificial Intelligence,1115,2022-03-08,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU2286300806,ALLIANZ GLOBAL CYBER SECURITY AT ACC USD,global,FUND_USD,0P0001LPJJ,USD,MUTUALFUND,Allianz Cyber Security AT USD Acc,1115,2022-03-08,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0815945463,ALLIANZ GLOBAL INV HKD INCOME AM USD USD,global,FUND_USD,0P0000Y63E,USD,MUTUALFUND,Allianz Global Investors Fund - Allianz HKD Income,1115,2022-03-08,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU2089283258,ALLIANZ GLOBAL SUSTAINABILITY AM H2 INC USD,global,FUND_USD,0P0001J2E3,USD,MUTUALFUND,Allianz Global Sustainability AM H2 USD,1115,2022-03-08,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU3076206690,ALLSPRING WORLDWIDE GLOBAL EQUITY ENHANCED INCOME A ACC USD,global,FUND_USD,0P0001VF82,USD,MUTUALFUND,Allspring Lux Glb Eq Enh Inc A USD Acc,304,2025-06-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU1730018279,ALQUITY GLOBAL IMPACT R ACC USD,global,FUND_USD,0P0001CQMG,USD,MUTUALFUND,,427,2024-12-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU1691799990,AMUNDI FUNDS POLEN CAPITAL GLOBAL GROWTH I2 ACC USD,global,FUND_USD,0P0001F9VK,USD,MUTUALFUND,Amundi Fds Polen Cptl Glbl Gr I2 USD C,1117,2022-03-04,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU1846577242,ARTEMIS SMARTGARP GLOBAL EMERGING MARKETS EQUITY I ACC USD,global,FUND_USD,0P0001EEIJ,USD,MUTUALFUND,Artemis Fds(Lux)SmartGARP GlblEM Eq IUSD,1115,2022-03-08,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00B75GXZ78,ARTISAN GLOBAL OPPORTUNITIES FUND A ACC USD,global,FUND_USD,0P000173X3,USD,MUTUALFUND,Artisan Global Opportunities A USD Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00B615T757,ARTISAN PTNRS GBL GLOBAL OPPORTUNITIES I USD,global,FUND_USD,0P0000YY3D,USD,MUTUALFUND,Artisan Global Opportunities I USD Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0266012318,AXA WORLD FUND GLOBAL REAL ESTATE A USD ACC USD,global,FUND_USD,0P0000SR16,USD,MUTUALFUND,AXAWF Global Rl Est A Cap USD,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00B912KW96,BAILLIE GIFFORD WO GLOBAL ALPHA B ACC USD,global,FUND_USD,0P0000XP0X,USD,MUTUALFUND,Baillie Gifford WW Glb Alp B USD Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BYQG5606,BAILLIE GIFFORD WO LONG TERM GLOBAL GROWTH B ACC USD,global,FUND_USD,0P00018JE1,USD,MUTUALFUND,Baillie Gifford WW L/T Glb Gr B USD Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00B0XXHG05,BARCLAYS MULTI-MGR GLOBALACCESS EMG MKT EQTY M USD,global,FUND_USD,0P0000JSBZ,USD,MUTUALFUND,GlobalAccess Emerging Market Equity Fund M Dis USD,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE0000931182,BARING GLOBAL RESOURCES A USD DIS USD,global,FUND_USD,0P0000UUOP,USD,MUTUALFUND,Barings Global Umbrella Fund - Barings Global Resources Fund,1916,2019-01-02,2026-08-17,欧洲基金线 币种=EUR 类型=ETF; Yahoo名称匹配 sim=0.67 待复核
GB00B3B9VC56,BARING GLOBAL AGRIC USD ACC NAV USD,global,FUND_USD,0P0000J1C3,USD,MUTUALFUND,Barings Global Agriculture A USD,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00B3YV8M70,BARING GLOBAL EMG MKTS A USD ACC NAV USD,global,FUND_USD,0P0000S9JV,USD,MUTUALFUND,Barings Global Emerging Mkts A Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE0030016244,BARINGS GLOBAL LEADERS FUND CLASS A USD INC USD,global,FUND_USD,0P0000UUOQ,USD,MUTUALFUND,Barings Global Umbrella Fund - Barings Global Leaders Fund,1916,2019-01-02,2026-08-17,份额线 币种=EUR 类型=MUTUALFUND; Yahoo名称匹配 sim=1.00 待复核
LU0737136415,BLACKROCK (LUX) SA FIXED INCOME GLOBAL OPPS D5 USD,global,FUND_USD,0P0000VTJL,USD,MUTUALFUND,BGF Fixed Income Global Opps D5,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU1251621188,BLACKROCK (LUX) SA GLOBAL EVENT DRIVEN D2 USD ACC USD,global,FUND_USD,0P00016JAM,USD,MUTUALFUND,BSF Global Event Driven D2 USD,1115,2022-03-08,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0940328577,BLACKROCK (LUX) SA GLOBAL JAPAN FLXB EQUITY HGD A2 USD,global,FUND_USD,0P0000Z39P,USD,MUTUALFUND,BGF Japan Flexible Equity A2 USD Hedged,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0280465617,BLACKROCK (LUXEMBOURG) S.A. FIXED INCOME GLOBAL OPPORTUNITIES A5 USD,global,FUND_USD,0P00008FSS,USD,MUTUALFUND,BGF Fixed Income Global Opps A5,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU2490080954,BLACKROCK GF SYSTEMATIC GLOBAL EQUITY HIGH INCOME FUND D6 INC USD,global,FUND_USD,0P0001PELU,USD,MUTUALFUND,BGF Systematic Glbl Eq Hi Inc D6,1026,2022-07-15,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0827879924,BLACKROCK GLOBAL (BGF) ESG MULTI ASSET D2 HGD ACC USD,global,FUND_USD,0P0000X7SD,USD,MUTUALFUND,BGF ESG Multi-Asset D2 USD H,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU2943721485,BLACKROCK GLOBAL ALLOCATION FUND D10 INC USD,global,FUND_USD,0P0001UKBP,USD,MUTUALFUND,BGF Global Allocation D10,395,2025-01-21,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU1564329388,BLACKROCK GLOBAL DYNAMIC HIGH INCOME FUND  D6 USD,global,FUND_USD,0P0001CP0L,USD,MUTUALFUND,BGF Dynamic High Income D6,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0411709560,BLACKROCK GLOBAL FUNDS SICAV - ASIAN DRAGON FUND D2 ACC USD,global,FUND_USD,0P0000JI29,USD,MUTUALFUND,BlackRock Global Funds - Asian Dragon Fund D2,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BK70NJ20,BLACKROCK GLOBAL UNCONSTRAINED EQUITY D ACC USD,global,FUND_USD,0P0001JBXQ,USD,MUTUALFUND,BlackRock Global Uncons Eq D USD Acc,1652,2020-01-21,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU1116320737,BLACKROCK SYSTEMATIC GLOBAL EQUITY HIGH INCOME A6 INC USD,global,FUND_USD,0P00014FO3,USD,MUTUALFUND,BGF Systematic Glbl Eq Hi Inc A6,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0724617971,BLACKROCK SYSTEMATIC GLOBAL SMALLCAP D2 ACC USD,global,FUND_USD,0P0001MSQE,USD,MUTUALFUND,,1115,2022-03-08,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU1542977076,BLUEBAY GLOBAL SOVEREIGN OPPORTUNITIES C ACC USD,global,FUND_USD,0P00019VD6,USD,MUTUALFUND,BlueBay Global Sov Opps C USD(CPf),1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU1793345262,BLUEBOX GLOBAL TECHNOLOGY FUND A ACC USD,global,FUND_USD,0P0001KEXS,USD,MUTUALFUND,BlueBox Funds - BlueBox Global Technology Fund,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU2092176275,BLUEBOX GLOBAL TECHNOLOGY FUND CLASS C ACC USD,global,FUND_USD,0P0001LWPD,USD,MUTUALFUND,BlueBox Funds Global Technology C Acc,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0823394779,BNP PARIBAS FUNDS GLOBAL CONVERTIBLE CLASSIC CAPITALISATION USD,global,FUND_USD,0P0000YSSR,USD,MUTUALFUND,BNP Paribas Glbl Cnvrt Cl C,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00B3XPRY57,BNY MELLON GLOBAL EQUITY INCOME USD A USD,global,FUND_USD,0P0000XYTW,USD,MUTUALFUND,BNY Mellon Global Equity Income Fund,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BZ199B46,BNY MELLON GLOBAL INFRASTRUCTURE INCOME FUND W ACC USD,global,FUND_USD,0P0001ECGS,USD,MUTUALFUND,BNY Mellon Global Infras Inc USD W Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BFXG0V08,BNY MELLON GLOBAL LEADERS FUND B ACC USD,global,FUND_USD,0P0001HSOS,USD,MUTUALFUND,BNY Mellon Global Leaders USD B Acc,1803,2019-06-14,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00B504KW82,BNY MELLON GLOBAL REAL RETURN FUND C CLASS ACC USD,global,FUND_USD,0P0000KR0W,USD,MUTUALFUND,BNY Mellon Global Funds PLC - BNY Mellon Global Real Return Fund (USD) C Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
GG00BPLWQ018,BOWMOOR GLOBAL ALPHA FUND PC D USD,global,FUND_USD,0P0001RA9Q,USD,MUTUALFUND,Bowmoor Global Alpha Fund PC D ,744,2023-08-29,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
GG00BLFDKG69,BOWMOOR GLOBAL ALPHA PC PTG I USD ACC USD,global,FUND_USD,0P0001RZ9F,USD,MUTUALFUND,Bowmoor Global Alpha Fund PC I ,650,2024-01-12,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
GG00BLFDKJ90,BOWMOOR GLOBAL ALPHA PC PTG K USD ACC USD,global,FUND_USD,0P0001RZ9H,USD,MUTUALFUND,Bowmoor Global Alpha PC K USD Acc,631,2024-02-09,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BVVHP563,BROWN ADVISORY FDS GLOBAL LEADERS B USD USD,global,FUND_USD,0P0001C9JR,USD,MUTUALFUND,Brown Advisory Global Leaders Fund,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BVVHP670,BROWN ADVISORY FDS GLOBAL LEADERS C USD USD,global,FUND_USD,0P0001643O,USD,MUTUALFUND,Brown Advisory Global Leaders C USD Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BYPZP462,CANACCORD GEN INV SELECT GLOBAL DIVERSITY R USD ACC USD,global,FUND_USD,0P0001FEBV,USD,MUTUALFUND,Canaccord Genuity Balanced R USD Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00B3BRDK12,CANACCORD GENUITY CGWM SELECT GLOBAL OPP ACC USD USD,global,FUND_USD,0P0000J3CU,USD,MUTUALFUND,Canaccord Genuity Opp A USD Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE0003JQ8MH1,CITRINE GLOBAL MULTI-ASSET A ACC USD,global,FUND_USD,0P0001QWLK,USD,MUTUALFUND,TC New Horizon ICAV - Citrine Global Multi-Asset Fund,770,2023-07-24,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0061474960,CT GLOBAL FOCUS AU USD USD,global,FUND_USD,0P000024T9,USD,MUTUALFUND,Veritas Global Focus A USD,1916,2019-01-02,2026-08-17,欧洲基金线 币种=EUR 类型=ETF; Yahoo名称匹配 sim=1.00 待复核
LU2000525019,CURATE GLOBAL SUSTAINABLE EQUITY FUND A USD ACC USD,global,FUND_USD,0P0001KPAS,USD,MUTUALFUND,Curate Global Sust Eq A USD Acc,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU2000525100,CURATE GLOBAL SUSTAINABLE EQUITY FUND B USD ACC USD,global,FUND_USD,0P0001NAGP,USD,MUTUALFUND,Curate Global Sust Eq B USD Acc,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00B2PC0153,DIMENSIONAL GLOBAL CORE EQUITY USD ACC USD,global,FUND_USD,0P0000J29S,USD,MUTUALFUND,Dimensional Global Core Equity USD Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE0030982627,DIMENSIONAL GLOBAL SHORT FIXED INCOME USD ACC USD,global,FUND_USD,0P0000J2A3,USD,MUTUALFUND,Dimensional Global Sht Fxd Inc USD Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BKPWG913,DIMENSIONAL GLOBAL SUSTAINABILITY FIXED INCOME ACC USD,global,FUND_USD,0P0001KNKT,USD,MUTUALFUND,Dimensional Gl Cor FI LC ESG Sc USD A,1494,2020-09-03,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE0002GVBP13,DIMENSIONAL GLOBAL SUSTAINABILITY TARGETED VALUE FUND  ACC USD,global,FUND_USD,0P0001RPPA,USD,MUTUALFUND,Dimensional Gl Tg Val LC ESG Sc USD A,695,2023-11-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00B2PC0609,DIMENSIONAL GLOBAL TARGETED VALUE FUND USD ACC USD,global,FUND_USD,0P0000HLUC,USD,MUTUALFUND,Dimensional Global Targeted Value Fund USD Accumulation,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BKX45S11,DIMENSIONAL GLOBAL ULTRA SHORT FIXED INCOME FUND ACC USD USD,global,FUND_USD,0P00012MVU,USD,MUTUALFUND,Dimensional Global UltrShrt FI USD Acc,1039,2022-06-27,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00B54PRV58,DODGE & COX WORLDW GLOBAL STOCK USD ACC USD,global,FUND_USD,0P0000POWI,USD,MUTUALFUND,Dodge & Cox Worldwide Global Stk USD Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00B5568D66,DODGE & COX WORLDWIDE GLOBAL USD ACC USD,global,FUND_USD,0P0001317C,USD,MUTUALFUND,Dodge & Cox Worldwide Global Bd USD Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BN7HSQ61,DVAM GLOBAL EQUITY FOCUS STRATEGY PCP USD A1 ACC USD,global,FUND_USD,0P0001LIX4,USD,MUTUALFUND,dVAM Global Equity Foc Strat USD A1 Acc,1422,2020-12-16,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BN7HST92,DVAM GLOBAL EQUITY FOCUS STRATEGY PCP USD B1 ACC USD,global,FUND_USD,0P0001LIX7,USD,MUTUALFUND,dVAM Global Equity Foc Strat USD B1 Acc,1422,2020-12-16,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BN7HSX39,DVAM GLOBAL EQUITY FOCUS STRATEGY PCP USD D1 ACC USD,global,FUND_USD,0P0001LIXA,USD,MUTUALFUND,dVAM Global Equity Foc Strat USD D1 Acc,1422,2020-12-16,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BN7HT077,DVAM GLOBAL EQUITY FOCUS STRATEGY PCP USD E1 ACC USD,global,FUND_USD,0P0001LIXD,USD,MUTUALFUND,dVAM Global Equity Foc Strat USD E1 Acc,1422,2020-12-16,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BHR3ZV63,DVAM GLOBAL EQUITY INCOME USD A2 INC USD,global,FUND_USD,0P0001H41F,USD,MUTUALFUND,dVAM Global Equity Income PCP USD A2Dist,1906,2019-01-16,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BJ320C74,DVAM GLOBAL EQUITY INCOME USD B2 INC USD,global,FUND_USD,0P0001HTCA,USD,MUTUALFUND,dVAM Global Equity Income PCP USD B2Dist,1837,2019-04-26,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BHR3YV98,DVAM GLOBAL EQUITY INCOME USD D2 DIS USD,global,FUND_USD,0P0001H71H,USD,MUTUALFUND,dVAM Global Equity Income PCP USD D2Dist,1896,2019-01-31,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BHR3ZW70,DVAM GLOBAL EQUITY INCOME USD E2 INC USD,global,FUND_USD,0P0001HRL5,USD,MUTUALFUND,dVAM Global Equity Income PCP USD E2Dist,1899,2019-01-28,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BMD8GG29,EVELYN GLOBAL BALANCED DIRECT FUND K USD ACC USD,global,FUND_USD,0P0001LWF9,USD,MUTUALFUND,Evelyn Global Balanced Direct K $ Acc,1358,2021-03-22,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BK723D25,EVELYN GLOBAL BALANCED PORTFOLIO A USD ACC USD,global,FUND_USD,0P0001IS0N,USD,MUTUALFUND,Evelyn Global Balanced A $ Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BK71Y149,EVELYN GLOBAL DEFENSIVE PORTFOLIO RETAIL USD ACC USD,global,FUND_USD,0P0001IRZ4,USD,MUTUALFUND,Evelyn Global Defensive Retail $ Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BK723095,EVELYN GLOBAL INCOME PORTFOLIO RETAIL USD ACC USD,global,FUND_USD,0P0001IS0A,USD,MUTUALFUND,Evelyn Global Income Retail $ Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE000U13NVM5,FED HERMES GLOBAL EMERGING MARKETS EX CHINA EQUITY FUND CLASS M ACC USD,global,FUND_USD,0P0001PITC,USD,MUTUALFUND,Federated Hermes Glb EM Ex CHN Eq M USD,973,2022-09-29,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00B3DJ5Q52,FEDERATED HERMES GLOBAL EMERGING MARKETS EQUITY FUND F USD ACCUMULATING USD,global,FUND_USD,0P00012GEC,USD,MUTUALFUND,Federated Hermes Glb EM Eq F USD Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0528227936,FF GLOBAL DEMOGRAPHICS FUND A ACC USD,global,FUND_USD,0P0000VGM8,USD,MUTUALFUND,FF - Global Demographics Y-Acc-USD,1116,2022-03-07,2026-08-17,份额线 币种=EUR 类型=MUTUALFUND; Yahoo名称匹配 sim=1.00 待复核
LU1481011911,FIDELITY FUNDS GLOBAL DIVIDEND EQUITY FUND A INC USD,global,FUND_USD,0P00018PSO,USD,MUTUALFUND,Fidelity Global Dividend A-MInc(G)-USD H,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0882574303,FIDELITY FUNDS GLOBAL INCOME FUND A ACC USD,global,FUND_USD,0P0000YEDJ,USD,MUTUALFUND,Fidelity Global Income A-Acc-USD,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU1797663298,FIDELITY FUNDS GLOBAL MULTI ASSET INCOME FUND Y ACC USD,global,FUND_USD,0P0001CZEL,USD,MUTUALFUND,Fidelity Glb Mlt Ast Inc Y-Acc-USD,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
