name,category,master_status,cur_symbol,cur_isin,verdict,n_cands,best_isin_cur,best_ft_name,best_family,best_cur_ok,best_exp_cur,best_c_cur,best_share_ok,hist_n,hist_first,hist_last,hist_price
FF GLOBAL DEMOGRAPHICS FUND A ACC USD,GLOBAL,有数据-待人工核,Y1B0.MU,LU0528227936,FT匹配,17,LU1961889323:USD,FF - Global Demographics Fund I-Acc-USD,1.0,True,USD,USD,True,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",20.23
FF GLOBAL DIVIDEND PLUS FUND A ACC USD,GLOBAL,有数据-重试找回(待核),,LU2242646235,FT匹配,55,LU1711970662:USD,FF - Global Dividend Plus Fund Y-Acc-USD,1.0,True,USD,USD,True,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",17.76
FF GLOBAL HEALTHCARE FUND A ACC USD,GLOBAL,有数据-待人工核,FJ2U.MU,,FT无结果,0,,,,,,,,,,,
FIDELITY FDS AMERICA A ACC USD USD,AMERICAN,有数据-待人工核,IPGA.HM,,FT无结果,0,,,,,,,,,,,
FIDELITY FUNDS - INTERNATIONAL FUND A USD USD,INTERNATIONAL,有数据-待人工核,FJ22.F,LU1261432493,FT无结果,0,,,,,,,,,,,
FIDELITY FUNDS FID AMERICA A DIS USD USD,AMERICAN,有数据-待人工核,0P0001KN60.F,LU0048573561,FT匹配-份额待核,75,LU0048573561:USD,Fidelity Funds - America Fund A-DIST,0.667,True,USD,USD,False,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",19.28
FIDELITY FUNDS GLOBAL DIVIDEND EQUITY FUND A ACC USD,GLOBAL,有数据-待人工核,0P0001M4I2,,FT匹配-币种不符,2,GB0003860904:GBP,Fidelity UK Equity Income Fund,0.667,False,USD,GBP,False,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",309.50
FIDELITY FUNDS GLOBAL DIVIDEND EQUITY FUND A INC USD,GLOBAL,有数据-待人工核,0P0001M4I2,,FT匹配-币种不符,2,GB0003860904:GBP,Fidelity UK Equity Income Fund,0.667,False,USD,GBP,False,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",309.50
FIDELITY FUNDS GLOBAL DIVIDEND EQUITY FUND Y ACC USD,GLOBAL,有数据-待人工核,0P0001CZEL,,FT匹配-币种不符,2,GB0003860904:GBP,Fidelity UK Equity Income Fund,0.667,False,USD,GBP,False,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",309.50
FIDELITY FUNDS GLOBAL FOCUS A USD DIS USD,GLOBAL,有数据-待人工核,IPGR.F,LU0157215616,FT匹配-份额待核,56,LU0157215616:USD,Fidelity Funds - Global Focus Fund A-DIST-USD,1.0,True,USD,USD,False,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",149.30
FIDELITY FUNDS GLOBAL INCOME FUND A ACC USD,GLOBAL,有数据-待人工核,FJ2K.MU,LU0905233846,FT匹配,100,LU0882574303:USD,Fidelity Funds - Global Income Fund A-Acc-USD,1.0,True,USD,USD,True,,,,
FIDELITY FUNDS GLOBAL MULTI ASSET INCOME FUND Y ACC USD,GLOBAL,有数据-待人工核,0P0000CO5U,LU0346392300,FT匹配,63,LU1797663298:USD,Fidelity Funds - Global Multi Asset Income Fund Y-Acc-USD,1.0,True,USD,USD,True,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",13.93
FIDELITY FUNDS LATIN AMERICA A USD DIS NAV USD,AMERICAN,有数据-待人工核,FJRC.F,LU0050427557,FT匹配-份额待核,11,LU0050427557:USD,Fidelity Funds - Latin America Fund A-DIST-USD,1.0,True,USD,USD,False,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",37.33
FIDELITY GLOBAL HEALTH CARE FUND Y ACC USD,GLOBAL,有数据-待人工核,FAGRX,,FT无结果,0,,,,,,,,,,,
