name,category,isin,ft_name,yahoo_symbol
FIDELITY FUNDS - INTERNATIONAL FUND A USD USD,INTERNATIONAL,LU1261432493,Fidelity Funds - Global Thematic Opportunities Fund A-Acc-SGD,FJ22.F
FIDELITY FUNDS FID AMERICA A DIS USD USD,AMERICAN,LU0048573561,Fidelity Funds - America Fund A-DIST,0P0001KN60.F
FIDELITY FUNDS GLOBAL FOCUS A USD DIS USD,GLOBAL,LU0157215616,Fidelity Funds - Global Focus Fund A-DIST-USD,IPGR.F
FIDELITY FUNDS GLOBAL INCOME FUND A ACC USD,GLOBAL,LU0905233846,Fidelity Funds - Global Multi Asset Income Fund A-Acc-USD,FJ2K.MU
FIDELITY FUNDS GLOBAL MULTI ASSET INCOME FUND Y ACC USD,GLOBAL,LU0346392300,Fidelity Funds - Global Multi Asset Growth & Income Fund Y-Acc-USD,0P0000CO5U
FIDELITY FUNDS GLOBAL SHORT DURATION INCOME FUND A ACC USD,GLOBAL,LU0390710027,Fidelity Funds - Global Short Duration Income Fund A-Acc-USD,0P0000I1UY
FIDELITY FUNDS LATIN AMERICA A USD DIS NAV USD,AMERICAN,LU0050427557,Fidelity Funds - Latin America Fund A-DIST-USD,FJRC.F
FIDELITY GLOBAL INC A MINCOME(G) DIS USD,GLOBAL,LU0731783048,Fidelity Funds - Global Dividend Fund A-MINCOME(G)-USD,0P0001MHNW
FIDELITY GLOBAL INCOME Y MINCOME INC USD,GLOBAL,LU1622746433,Fidelity Funds - Global Multi Asset Income Fund Y-MINCOME(G)-USD,0P0001AMU4
Fidelity Global Multi Asset Growth & Income Fund A USD USD,GLOBAL,LU0267386521,Fidelity Funds - Global Multi Asset Growth & Income Fund A-USD,0P0001M4I2
FIDELITY GLOBAL TECHNOLOGY A USD ACC USD,GLOBAL,LU1046421795,Fidelity Funds - Global Technology Fund A-Acc-USD,0P0001DIJX.SI
FIRST EAGLE AMUNDI INTERNATIONAL AU USD ACC USD,INTERNATIONAL,LU0068578508,First Eagle Amundi International Fund Class AU-C Shares,0P00011MTY
GOLDMAN SACHS GLOBAL CORE EQUITY PORTFOLIO ACC USD,GLOBAL,LU3029563320,Goldman Sachs Global CORE Equity Portfolio R Acc USD Close,0P0001UZPQ
GOLDMAN SACHS GLOBAL SENIOR LOANS R HEDGED INC USD,GLOBAL,LU0428438575,Goldman Sachs Global Senior Loans (Lux) - G Cap USD (hedged i),0P0001527M.F
HSBC GLOBAL INDIA FIX INC ACC USD USD,GLOBAL,LU0780248018,HSBC Global Investment Funds - India Fixed Income EC,0P0000WX8N
INVESCO GLOBAL CONSUMER TRENDS A USD USD,GLOBAL,LU0052864419,Invesco Funds - Invesco Global Consumer Trends Fund A Accumulation USD,IUGI.F
INVESCO GLOBAL CONSUMER TRENDS C USD USD,GLOBAL,LU0100598878,Invesco Funds - Invesco Global Consumer Trends Fund C Accumulation USD,0P00000AN0
INVESCO GLOBAL EQUITY FUND C (USD)-ANNUAL DISTRIBUTION USD,GLOBAL,LU0267985157,Invesco Funds - Invesco Sustainable Global Systematic Equity Fund C Annual Distribution USD,IGET.L
INVESCO GLOBAL HEALTH CARE INNOVATION A USD USD,GLOBAL,LU1775982595,Invesco Funds - Invesco Global Health Care Innovation Fund A-Annual Distribution Shares USD,0P0001DK2B
INVESCO GLOBAL HEALTH CARE INNOVATION FUND C AD USD,GLOBAL,LU1775952176,Invesco Funds - Invesco Global Health Care Innovation Fund C-AD Shares,0P0001DK29
INVESCO GLOBAL INCOME A INC USD,GLOBAL,LU1097689100,Invesco Funds - Invesco Global Income Fund A (USD Hedged) Quarterly Distribution-Gross Income USD,0P00014BDI
JANUS HENDERSON GLOBAL EQUITY FUND R\$ ACC A2 USD USD,GLOBAL,IE0033534557,Janus Henderson Capital Funds plc - Global Real Estate Equity Income Fund Class A2 USD,0P00000HSG
JANUS HENDERSON GLOBAL LIFE SCIENCE A ACC USD,GLOBAL,IE0002128837,Janus Henderson Capital Funds plc - Global Life Sciences Fund Class B2 USD,0P00000RMR
JANUS HENDERSON GLOBAL REAL ESTATE A3Q USD USD,GLOBAL,IE0033534441,Janus Henderson Capital Funds plc - Global Real Estate Equity Income Fund Class A3q USD,F4QR.MU
JANUS HENDERSON HORIZON GLOBAL PROPERTY EQUITIES FUND A2 USD USD,GLOBAL,LU0209137388,Janus Henderson Horizon Global Property Equities Fund A2 USD,0P0000193V
JANUS HENDERSON HORIZON GLOBAL PROPERTY EQUITIES FUND A3Q USD USD,GLOBAL,LU0209137206,Janus Henderson Horizon Global Property Equities Fund A3q USD,HZ5Y.F
JANUS HENDERSON HORIZON GLOBAL PROPERTY EQUITIES FUND I2 USD USD,GLOBAL,LU0973119513,Janus Henderson Horizon Global Property Equities Fund G2 USD,0P0000ZQ1D
JANUS HENDERSON HORIZON GLOBAL TECHNOLOGY LEADERS FUND A1 USD USD,GLOBAL,LU0209158467,Janus Henderson Horizon Global Technology Leaders Fund A1 USD,FGVA.MU
JANUS HENDERSON HORIZON GLOBAL TECHNOLOGY LEADERS FUND A2 USD USD,GLOBAL,LU0070992663,Janus Henderson Horizon Global Technology Leaders Fund A2 USD,0P0000YWFQ.SI
JANUS HENDERSON HORIZON GLOBAL TECHNOLOGY LEADERS FUND H2 USD USD,GLOBAL,LU0828813369,Janus Henderson Horizon Global Technology Leaders Fund H2 USD,0P0000YFYK
JPMORGAN AMERICA EQUITY A USD USD,AMERICAN,LU0053666078,JPMorgan Funds - America Equity Fund A (dist) USD,JPJA.F
JPMORGAN GLOBAL GROWTH FUND A USD ACC USD,GLOBAL,LU0210533765,JPMorgan Funds - Global Growth Fund A (acc) USD,0P000019C1
JPMORGAN GLOBAL RESEARCH ENHANCED INDEX EQUITY A ACC USD,GLOBAL,LU2402382688,JPMorgan Funds - Global Research Enhanced Index Equity Fund A (acc) USD,0P0001P9BJ
JUPITER GLOBAL FIXED INCOME FUND L USD ACC USD,GLOBAL,IE0031386414,Jupiter Global Fixed Income Fund L (USD) Accumulation,0P00000MMB
JUPITER MERIAN NORTH AMERICAN EQUITY FUND I USD ACC USD,AMERICAN,IE0031385887,Jupiter Merian North American Equity Fund (IRL) L USD Acc,0P00000MLI
JUPITER MERIAN NORTH AMERICAN EQUITY FUND L USD ACC USD,AMERICAN,IE0031385887,Jupiter Merian North American Equity Fund (IRL) L USD Acc,0P00000MLI
M&G (LUX) GLOBAL TARGET RETURN FUND C H ACC USD,GLOBAL,LU1531595301,M&G (Lux) Global Target Return Fund USD C-H Acc,0P00019IT4
MOMENTUM GLOBAL GROWTH FUND CLASS A USD,GLOBAL,LU0651983982,Momentum Global Funds Harmony Asian Growth Fund A,0P0000TT0O
MORGAN STANLEY GLOBAL BRANDS C USD,GLOBAL,LU0176160306,Morgan Stanley Investment Funds - Global Brands Fund C,0P0000MWCC
NEW CAPITAL GLOBAL VALUE CREDIT FUND USD,GLOBAL,IE0033116462,New Capital Global Value Credit Fund USD Ord Acc,0P000025ZS
NINETY ONE GLOBAL EQUITY A ACC USD USD,GLOBAL,LU1078025761,Ninety One Global Strategy Fund - European Equity Fund A Acc USD Hedged (Portfolio - AC),0P00013NJN
NINETY ONE GLOBAL MULTI-ASSET INC A INC-2 USD,GLOBAL,LU0700851271,Ninety One Global Strategy Fund - Emerging Markets Multi-Asset Fund A Acc USD,0P0000URPG
NINETY ONE GLOBAL NATURAL RESOURCES C INC USD,GLOBAL,LU1982815224,Ninety One Global Strategy Fund - Global Natural Resources Fund C USD Acc,0P0001HDEI
NINETY ONE GLOBAL STRATEGY FUND GLOBAL NATURAL RESOURCES FUND I ACC USD,GLOBAL,LU0345781172,Ninety One Global Strategy Fund - Global Natural Resources Fund I Acc USD,0P00009X5L
NINETY ONE GSF GLOBAL FRANCHISE A ACC USD,GLOBAL,LU1734074674,Ninety One Global Strategy Fund - Asia Pacific Franchise Fund A Acc USD,0P0001CNCE
NINETY ONE LUX S.A GLOBAL ENVIRONMENT A ACC USD,GLOBAL,LU1939255532,Ninety One Global Strategy Fund - Global Environment Fund A Acc USD,0P0001GZNK
NINETY-ONE GLOBAL ST UK ALPHA I USD ACC USD,GLOBAL,LU0641506000,Ninety One Global Strategy Fund - UK Alpha Fund I Acc USD,0P0000TL13
