name,category,kind,cand_isin,isin_confident,ft_hist_url,ft_search_url,fundinfo_url,wallstreet_url,note
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE USD,GLOBAL,基金,,,,https://markets.ft.com/data/search?query=CAUSEWAY%20BNP%20PARIBAS%20GLOBAL%20INCOME%20LOCK%20IN%20NOTE%20USD,https://www.fundinfo.com/en/search?query=CAUSEWAY%20BNP%20PARIBAS%20GLOBAL%20INCOME%20LOCK%20IN%20NOTE%20USD,https://www.wallstreet-online.de/suche?suchbegriff=CAUSEWAY%20BNP%20PARIBAS%20GLOBAL%20INCOME%20LOCK%20IN%20NOTE%20USD,人工搜索确认份额/币种后下载
CAUSEWAY MORGAN STANLEY GLOBAL MARKETS INCOME NOTE USD,GLOBAL,基金,,,,https://markets.ft.com/data/search?query=CAUSEWAY%20MORGAN%20STANLEY%20GLOBAL%20MARKETS%20INCOME%20NOTE%20USD,https://www.fundinfo.com/en/search?query=CAUSEWAY%20MORGAN%20STANLEY%20GLOBAL%20MARKETS%20INCOME%20NOTE%20USD,https://www.wallstreet-online.de/suche?suchbegriff=CAUSEWAY%20MORGAN%20STANLEY%20GLOBAL%20MARKETS%20INCOME%20NOTE%20USD,人工搜索确认份额/币种后下载
CAUSEWAY NATIXIS GLOBAL MARKETS INCOME AUTOCALL NOTE USD,GLOBAL,结构性,,,,https://markets.ft.com/data/search?query=CAUSEWAY%20NATIXIS%20GLOBAL%20MARKETS%20INCOME%20AUTOCALL%20NOTE%20USD,https://www.fundinfo.com/en/search?query=CAUSEWAY%20NATIXIS%20GLOBAL%20MARKETS%20INCOME%20AUTOCALL%20NOTE%20USD,https://www.wallstreet-online.de/suche?suchbegriff=CAUSEWAY%20NATIXIS%20GLOBAL%20MARKETS%20INCOME%20AUTOCALL%20NOTE%20USD,免费源无解
CELERITY GLOBAL BALANCED FUND IC A ACC USD,GLOBAL,基金,,,,https://markets.ft.com/data/search?query=CELERITY%20GLOBAL%20BALANCED%20FUND%20IC%20A%20ACC%20USD,https://www.fundinfo.com/en/search?query=CELERITY%20GLOBAL%20BALANCED%20FUND%20IC%20A%20ACC%20USD,https://www.wallstreet-online.de/suche?suchbegriff=CELERITY%20GLOBAL%20BALANCED%20FUND%20IC%20A%20ACC%20USD,人工搜索确认份额/币种后下载
COMMERZBANK GLOBAL INDEX INCOME BUILDER 70-70 NOV 18 USD,GLOBAL,基金,,,,https://markets.ft.com/data/search?query=COMMERZBANK%20GLOBAL%20INDEX%20INCOME%20BUILDER%2070-70%20NOV%2018%20USD,https://www.fundinfo.com/en/search?query=COMMERZBANK%20GLOBAL%20INDEX%20INCOME%20BUILDER%2070-70%20NOV%2018%20USD,https://www.wallstreet-online.de/suche?suchbegriff=COMMERZBANK%20GLOBAL%20INDEX%20INCOME%20BUILDER%2070-70%20NOV%2018%20USD,人工搜索确认份额/币种后下载
CT MGMT AMERICAN 3U USD ACC USD,AMERICAN,基金,LU1864949380:USD,待核,https://markets.ft.com/data/funds/tearsheet/historical?s=LU1864949380:USD,https://markets.ft.com/data/search?query=CT%20MGMT%20AMERICAN%203U%20USD%20ACC%20USD,https://www.fundinfo.com/en/search?query=CT%20MGMT%20AMERICAN%203U%20USD%20ACC%20USD,https://www.wallstreet-online.de/suche?suchbegriff=CT%20MGMT%20AMERICAN%203U%20USD%20ACC%20USD,人工搜索确认份额/币种后下载
CTF GLOBAL EQUITY AUTOCALL 14 USD USD,GLOBAL,结构性,,,,https://markets.ft.com/data/search?query=CTF%20GLOBAL%20EQUITY%20AUTOCALL%2014%20USD%20USD,https://www.fundinfo.com/en/search?query=CTF%20GLOBAL%20EQUITY%20AUTOCALL%2014%20USD%20USD,https://www.wallstreet-online.de/suche?suchbegriff=CTF%20GLOBAL%20EQUITY%20AUTOCALL%2014%20USD%20USD,免费源无解
CTMGMT LUX AMERICAN AU USD ACC USD,AMERICAN,基金,,,,https://markets.ft.com/data/search?query=CTMGMT%20LUX%20AMERICAN%20AU%20USD%20ACC%20USD,https://www.fundinfo.com/en/search?query=CTMGMT%20LUX%20AMERICAN%20AU%20USD%20ACC%20USD,https://www.wallstreet-online.de/suche?suchbegriff=CTMGMT%20LUX%20AMERICAN%20AU%20USD%20ACC%20USD,人工搜索确认份额/币种后下载
FINCREST GLOBAL EQUITY FUND CLASS A USD,GLOBAL,基金,,,,https://markets.ft.com/data/search?query=FINCREST%20GLOBAL%20EQUITY%20FUND%20CLASS%20A%20USD,https://www.fundinfo.com/en/search?query=FINCREST%20GLOBAL%20EQUITY%20FUND%20CLASS%20A%20USD,https://www.wallstreet-online.de/suche?suchbegriff=FINCREST%20GLOBAL%20EQUITY%20FUND%20CLASS%20A%20USD,人工搜索确认份额/币种后下载
FRANKLIN TEMP GLOBAL HI YLD MDIS \$ USD,GLOBAL,基金,,,,https://markets.ft.com/data/search?query=FRANKLIN%20TEMP%20GLOBAL%20HI%20YLD%20MDIS%20%5C%24%20USD,https://www.fundinfo.com/en/search?query=FRANKLIN%20TEMP%20GLOBAL%20HI%20YLD%20MDIS%20%5C%24%20USD,https://www.wallstreet-online.de/suche?suchbegriff=FRANKLIN%20TEMP%20GLOBAL%20HI%20YLD%20MDIS%20%5C%24%20USD,人工搜索确认份额/币种后下载
FRANKLIN TEMP GLOBAL INC A ACC USD USD,GLOBAL,基金,LU3037667402:EUR,待核,https://markets.ft.com/data/funds/tearsheet/historical?s=LU3037667402:EUR,https://markets.ft.com/data/search?query=FRANKLIN%20TEMP%20GLOBAL%20INC%20A%20ACC%20USD%20USD,https://www.fundinfo.com/en/search?query=FRANKLIN%20TEMP%20GLOBAL%20INC%20A%20ACC%20USD%20USD,https://www.wallstreet-online.de/suche?suchbegriff=FRANKLIN%20TEMP%20GLOBAL%20INC%20A%20ACC%20USD%20USD,人工搜索确认份额/币种后下载
FRANKLIN TEMPL GLOBAL FOCUS FD A DIS USD,GLOBAL,基金,,,,https://markets.ft.com/data/search?query=FRANKLIN%20TEMPL%20GLOBAL%20FOCUS%20FD%20A%20DIS%20USD,https://www.fundinfo.com/en/search?query=FRANKLIN%20TEMPL%20GLOBAL%20FOCUS%20FD%20A%20DIS%20USD,https://www.wallstreet-online.de/suche?suchbegriff=FRANKLIN%20TEMPL%20GLOBAL%20FOCUS%20FD%20A%20DIS%20USD,人工搜索确认份额/币种后下载
FRANKLIN TEMPLETON FRANKLIN MUT GLOBAL DVRY A CAP USD,GLOBAL,基金,,,,https://markets.ft.com/data/search?query=FRANKLIN%20TEMPLETON%20FRANKLIN%20MUT%20GLOBAL%20DVRY%20A%20CAP%20USD,https://www.fundinfo.com/en/search?query=FRANKLIN%20TEMPLETON%20FRANKLIN%20MUT%20GLOBAL%20DVRY%20A%20CAP%20USD,https://www.wallstreet-online.de/suche?suchbegriff=FRANKLIN%20TEMPLETON%20FRANKLIN%20MUT%20GLOBAL%20DVRY%20A%20CAP%20USD,人工搜索确认份额/币种后下载
FRANKLIN TEMPLETON GLOBAL FOCUS A ACC USD,GLOBAL,基金,LU3037667402:EUR,待核,https://markets.ft.com/data/funds/tearsheet/historical?s=LU3037667402:EUR,https://markets.ft.com/data/search?query=FRANKLIN%20TEMPLETON%20GLOBAL%20FOCUS%20A%20ACC%20USD,https://www.fundinfo.com/en/search?query=FRANKLIN%20TEMPLETON%20GLOBAL%20FOCUS%20A%20ACC%20USD,https://www.wallstreet-online.de/suche?suchbegriff=FRANKLIN%20TEMPLETON%20GLOBAL%20FOCUS%20A%20ACC%20USD,人工搜索确认份额/币种后下载
FRANKLIN TEMPLETON GLOBAL TOTAL RETURN A MDIS USD USD,GLOBAL,基金,,,,https://markets.ft.com/data/search?query=FRANKLIN%20TEMPLETON%20GLOBAL%20TOTAL%20RETURN%20A%20MDIS%20USD%20USD,https://www.fundinfo.com/en/search?query=FRANKLIN%20TEMPLETON%20GLOBAL%20TOTAL%20RETURN%20A%20MDIS%20USD%20USD,https://www.wallstreet-online.de/suche?suchbegriff=FRANKLIN%20TEMPLETON%20GLOBAL%20TOTAL%20RETURN%20A%20MDIS%20USD%20USD,人工搜索确认份额/币种后下载
FRANKLIN TEMPLETON GLOBAL TOTAL RETURN FUN A ACC USD USD,GLOBAL,基金,,,,https://markets.ft.com/data/search?query=FRANKLIN%20TEMPLETON%20GLOBAL%20TOTAL%20RETURN%20FUN%20A%20ACC%20USD%20USD,https://www.fundinfo.com/en/search?query=FRANKLIN%20TEMPLETON%20GLOBAL%20TOTAL%20RETURN%20FUN%20A%20ACC%20USD%20USD,https://www.wallstreet-online.de/suche?suchbegriff=FRANKLIN%20TEMPLETON%20GLOBAL%20TOTAL%20RETURN%20FUN%20A%20ACC%20USD%20USD,人工搜索确认份额/币种后下载
FRANKLIN TEMPLETON LATIN AMERICA A ACC USD,AMERICAN,基金,LU3037667402:EUR,待核,https://markets.ft.com/data/funds/tearsheet/historical?s=LU3037667402:EUR,https://markets.ft.com/data/search?query=FRANKLIN%20TEMPLETON%20LATIN%20AMERICA%20A%20ACC%20USD,https://www.fundinfo.com/en/search?query=FRANKLIN%20TEMPLETON%20LATIN%20AMERICA%20A%20ACC%20USD,https://www.wallstreet-online.de/suche?suchbegriff=FRANKLIN%20TEMPLETON%20LATIN%20AMERICA%20A%20ACC%20USD,人工搜索确认份额/币种后下载
FTGF GBL BRANDYWNE GLOBAL FIXED INCOME A USD ACC USD,GLOBAL,基金,,,,https://markets.ft.com/data/search?query=FTGF%20GBL%20BRANDYWNE%20GLOBAL%20FIXED%20INCOME%20A%20USD%20ACC%20USD,https://www.fundinfo.com/en/search?query=FTGF%20GBL%20BRANDYWNE%20GLOBAL%20FIXED%20INCOME%20A%20USD%20ACC%20USD,https://www.wallstreet-online.de/suche?suchbegriff=FTGF%20GBL%20BRANDYWNE%20GLOBAL%20FIXED%20INCOME%20A%20USD%20ACC%20USD,人工搜索确认份额/币种后下载
FTGF GBL W/A GLOBAL HIGH YIELD A USD ACC USD,GLOBAL,基金,,,,https://markets.ft.com/data/search?query=FTGF%20GBL%20W/A%20GLOBAL%20HIGH%20YIELD%20A%20USD%20ACC%20USD,https://www.fundinfo.com/en/search?query=FTGF%20GBL%20W/A%20GLOBAL%20HIGH%20YIELD%20A%20USD%20ACC%20USD,https://www.wallstreet-online.de/suche?suchbegriff=FTGF%20GBL%20W/A%20GLOBAL%20HIGH%20YIELD%20A%20USD%20ACC%20USD,人工搜索确认份额/币种后下载
GLOBAL X FDS GBL X FTSE ARGENT USD USD,GLOBAL,基金,,,,https://markets.ft.com/data/search?query=GLOBAL%20X%20FDS%20GBL%20X%20FTSE%20ARGENT%20USD%20USD,https://www.fundinfo.com/en/search?query=GLOBAL%20X%20FDS%20GBL%20X%20FTSE%20ARGENT%20USD%20USD,https://www.wallstreet-online.de/suche?suchbegriff=GLOBAL%20X%20FDS%20GBL%20X%20FTSE%20ARGENT%20USD%20USD,人工搜索确认份额/币种后下载
