name,symbol,status,rows,yahoo_longname,currency,quoteType,exchange
GS GLOBAL CORE EQUITY BASE ACCUMULATION SNAP USD ACC SNAP USD,0P00013MGM,OK,1114,GS Global CORE Eq IO Inc USD Snap,USD,MUTUALFUND,OTC Markets OTCPK
INTERNATIONAL SEAWAYS INC NPV USD,INSW,OK,2447,"International Seaways, Inc.",USD,EQUITY,NYSE
INVESCO GLOBAL INCOME A INC USD,0P00014BDI,OK,1113,Invesco Global Income A USDH QD-GI,USD,MUTUALFUND,OTC Markets OTCPK
JANUS HENDERSON GLOBAL LIFE SCIENCE A ACC USD,0P00000RMR,OK,1914,Janus Henderson Glb Life Scn B2 USD,USD,MUTUALFUND,OTC Markets OTCPK
JANUS HENDERSON HORIZON GLOBAL PROPERTY EQUITIES FUND I2 USD USD,0P0000ZQ1D,OK,1113,Janus Henderson Hrzn GlblPtyEqsG2USD,USD,MUTUALFUND,OTC Markets OTCPK
JUPITER MERIAN NORTH AMERICAN EQUITY FUND I USD ACC USD,0P00000MLI,OK,1914,Jupiter Merian NA Eq (IRL) L $ Acc,USD,MUTUALFUND,OTC Markets OTCPK
JUPITER MERIAN NORTH AMERICAN EQUITY FUND L USD ACC USD,0P00000MLI,OK,1914,Jupiter Merian NA Eq (IRL) L $ Acc,USD,MUTUALFUND,OTC Markets OTCPK
Jupiter Merian Global Equity Income Fund (IRL) L USD Inc USD,0P00016I3U,OK,1914,Jupiter Merian Glb Eq Inc (IRL) L $ Inc,USD,MUTUALFUND,OTC Markets OTCPK
LIBERTY GLOBAL LTD USD,LBTYA,OK,5584,Liberty Global Ltd.,USD,EQUITY,NasdaqGS
LITHIUM AMERICAS CORP USD,LAC,OK,719,Lithium Americas Corp.,USD,EQUITY,NYSE
MOBILITY GLOBAL INC USD,MBGL,OK,34,"Mobility Global, Inc.",USD,EQUITY,NYSE
MORGAN STANLEY GLOBAL BRANDS C USD,0P0000MWCC,OK,1113,MS INVF Global Brands C,USD,MUTUALFUND,OTC Markets OTCPK
MORGAN STANLEY IF GLOBAL OPPTY FD USD CL A USD,0P0001XI1K,OK,235,Morgan Stanley IF - Global Stars A Acc,USD,MUTUALFUND,OTC Markets OTCPK
NEW CAPITAL GLOBAL VALUE CREDIT FUND USD,0P000025ZS,OK,1914,New Capital Glbl Val Crdt USD Ord Acc,USD,MUTUALFUND,OTC Markets OTCPK
NINETY ONE GLOBAL ENVIROMENT FUND A ACC USD,0P00000R8P,OK,1114,Ninety One GSF Glb StratMgd A Inc USD,USD,MUTUALFUND,OTC Markets OTCPK
NINETY ONE GLOBAL ENVIRONMENTS A USD ACC USD,0P00000R8P,OK,1114,Ninety One GSF Glb StratMgd A Inc USD,USD,MUTUALFUND,OTC Markets OTCPK
NINETY ONE GLOBAL EQUITY A ACC USD USD,0P00013NJN,OK,1114,Ninety One GSF European Eq A Acc USD Hdg,USD,MUTUALFUND,OTC Markets OTCPK
NINETY ONE GSF GLOBAL FRANCHISE A ACC USD,0P0001CNCE,OK,1114,Ninety One GSF AsiaPac Franchise A Acc $,USD,MUTUALFUND,OTC Markets OTCPK
NINETY ONE GSF GLOBAL GOLD A INC GRS USD USD,0P00000R8P,OK,1114,Ninety One GSF Glb StratMgd A Inc USD,USD,MUTUALFUND,OTC Markets OTCPK
NINETY ONE GSF GLOBAL NATURAL RESOURCES A ACC GRS USD USD,0P00000R8P,OK,1114,Ninety One GSF Glb StratMgd A Inc USD,USD,MUTUALFUND,OTC Markets OTCPK
NINETY ONE GSF GLOBAL STRATEGIC EQUITY A GRS USD ACC USD,0P00000R8P,OK,1114,Ninety One GSF Glb StratMgd A Inc USD,USD,MUTUALFUND,OTC Markets OTCPK
NINETY ONE LUX S.A GLOBAL ENVIRONMENT A ACC USD,0P0001GZNK,OK,1114,Ninety One GSF Global Envir A Acc USD,USD,MUTUALFUND,OTC Markets OTCPK
