ticker,n_strategies,constraints_met,base_full_avg,base_full_trades,base_full_hit,base_frozen_avg,base_frozen_trades,base_frozen_hit,sel_full_avg,sel_full_trades,sel_full_hit,sel_frozen_avg,sel_frozen_trades,sel_frozen_hit,density_full_req,density_frozen_req
INPSX,3,True,0.11632361091860478,4914,0.5494505494505495,0.06925869633675569,392,0.5306122448979592,0.38481553997539275,831,0.614921780986763,0.4124627044602385,138,0.5797101449275363,200,40
LGPIX,1,True,0.09862575968857831,3382,0.562093435836783,0.11870559200340985,378,0.5767195767195767,0.43304150421272863,191,0.6596858638743456,0.44739605827701506,48,0.625,120,30
LGPSX,1,True,0.08992903978169345,3279,0.5574870387313205,0.09293815743232293,355,0.5690140845070423,0.42871399658942483,191,0.6596858638743456,0.4415697976069033,48,0.625,120,30
LVPIX,1,True,0.10988292036844913,1669,0.5578190533253445,0.10923890963913081,262,0.6068702290076335,0.45123116620288906,184,0.6413043478260869,0.4070751967785502,48,0.6875,120,30
LVPSX,1,True,0.12464288132739018,1549,0.5590703679793415,0.11957158113385677,235,0.6085106382978723,0.44528940522029814,168,0.6428571428571429,0.40172266784321037,48,0.6875,120,30
MDPIX,1,True,0.1402902100598918,2054,0.5520934761441091,0.10412489182612707,282,0.5354609929078015,0.2931349460820169,393,0.5928753180661578,0.5774339628416361,60,0.6833333333333333,120,30
MDPSX,1,True,0.13477105344358087,2024,0.5528656126482213,0.11993050610080977,260,0.5307692307692308,0.2805766926817632,387,0.5891472868217055,0.5764150046266961,57,0.6666666666666666,120,30
MGPIX,1,True,0.11937699859946237,2216,0.5645306859205776,0.1410532873582307,307,0.5504885993485342,0.27589538516662093,400,0.64,0.7139340254663638,49,0.7551020408163265,120,30
MGPSX,1,True,0.12076768098733488,2182,0.5641613198900092,0.1709327649193991,311,0.5627009646302251,0.2712729139570114,400,0.635,0.7078731296997836,49,0.7551020408163265,120,30
MLPIX,1,True,0.11912488698240731,1652,0.5357142857142857,0.07997792874991434,254,0.5,0.42021209828572176,216,0.6018518518518519,0.5588510809221118,60,0.65,120,30
MLPSX,1,True,0.12307848143646066,1487,0.5305985205110961,0.04753934614615572,213,0.4835680751173709,0.4170282475380811,219,0.6027397260273972,0.5552566473939436,60,0.65,120,30
OEPIX,3,True,0.12063016780808128,4133,0.5381079119283814,0.20985856782440054,391,0.5575447570332481,0.3154797990482908,1084,0.5701107011070111,0.3061871962180559,146,0.6095890410958904,200,40
OEPSX,3,True,0.09125756906556805,4055,0.5373612823674476,0.1483449743365658,391,0.5601023017902813,0.31561270850561024,1093,0.5699908508691675,0.30228022480421896,146,0.6095890410958904,200,40
OTPIX,3,True,0.10105111337395228,3744,0.5555555555555556,0.12542674883429425,372,0.5725806451612904,0.2646500933207029,998,0.5981963927855711,0.3664021675139051,98,0.6530612244897959,120,30
OTPSX,1,True,0.09840375567388712,3020,0.5599337748344371,0.1293557144021804,370,0.572972972972973,0.33768677693687293,300,0.61,0.4287793440004389,46,0.6086956521739131,120,30
PHPIX,3,True,0.12512594631544743,3736,0.541220556745182,0.3182692242448361,386,0.5777202072538861,0.3511456663183663,712,0.6039325842696629,0.4939076468895643,87,0.632183908045977,200,40
PHPSX,3,True,0.1299092329808349,3524,0.5442678774120318,0.2919214882798431,386,0.5751295336787565,0.32942306181032066,777,0.574002574002574,0.5833518983215308,135,0.6148148148148148,160,35
PMPIX,3,True,0.19919420121133913,4596,0.5230635335073978,0.49680531235706143,391,0.6112531969309463,0.4280085449912464,1378,0.5645863570391872,0.9113590155438026,127,0.6771653543307087,200,40
PMPSX,3,True,0.20822863324363636,4643,0.5250915356450571,0.4580914184599301,391,0.6086956521739131,0.4333724077241902,1391,0.5629043853342919,0.9458026515211868,134,0.6865671641791045,200,40
REPIX,3,True,0.12668836513732648,4656,0.5358676975945017,0.07058343384501779,386,0.5518134715025906,0.3733913494095518,1078,0.5602968460111317,0.24296337180668948,143,0.6293706293706294,200,40
REPSX,3,True,0.14171778768531815,4529,0.5374254802384633,0.07340036170759676,379,0.5593667546174143,0.4235133440983376,1165,0.567381974248927,0.373105349105622,137,0.6204379562043796,200,40
RRPIX,1,True,0.2924330411360788,209,0.5645933014354066,0.23577310294234333,33,0.5757575757575758,0.2924330411360788,209,0.5645933014354066,0.23577310294234333,33,0.5757575757575758,120,30
RRPSX,1,True,0.29149180272618985,196,0.5510204081632653,0.23215453645208514,33,0.5757575757575758,0.29149180272618985,196,0.5510204081632653,0.23215453645208514,33,0.5757575757575758,120,30
SGPIX,3,True,0.10303953350269991,2658,0.5338600451467269,0.08686928533607034,306,0.5228758169934641,0.27356379591442237,441,0.562358276643991,0.4507671793318205,75,0.64,160,35
SGPSX,3,True,0.11340951502773935,2572,0.5353810264385692,0.09236045921793534,306,0.5261437908496732,0.24512000984136503,472,0.5614406779661016,0.35132673460051,75,0.6133333333333333,160,35
SLPIX,3,True,0.11898532146788272,2688,0.5383184523809523,0.12950938159362038,310,0.5516129032258065,0.24122695694518856,480,0.575,0.37395908936205696,78,0.5769230769230769,160,35
SLPSX,1,True,0.12785581938138418,2753,0.539048310933527,0.14337230922701558,340,0.5529411764705883,0.3314921801370492,331,0.595166163141994,0.709705756110671,49,0.673469387755102,120,30
SMPIX,3,True,0.14546503157798232,5658,0.5268646164722517,0.31662250756871474,394,0.5685279187817259,0.4502735612688732,1605,0.5850467289719626,0.865764603575656,230,0.6130434782608696,200,40
SMPSX,3,True,0.13701283108684226,5693,0.5280168628139821,0.33057322147026613,394,0.5710659898477157,0.4287006759904933,1696,0.5984669811320755,0.7373426661495267,192,0.6302083333333334,200,40
SNPIX,1,True,0.17609747008191753,509,0.555992141453831,0.32043571798836706,115,0.5652173913043478,0.3705735828518337,158,0.569620253164557,0.8807136883415989,35,0.6,120,30
SNPSX,1,True,0.12284763130527863,628,0.5286624203821656,0.23678336064953617,140,0.5285714285714286,0.4212866628776488,147,0.6122448979591837,0.7584011975858662,44,0.7045454545454546,120,30
SPPIX,1,True,0.16841930163824642,847,0.5560802833530106,0.22038745102128496,127,0.5039370078740157,0.28976361890412705,421,0.5795724465558195,0.41647678676979943,54,0.5740740740740741,120,30
SPPSX,1,True,0.19416882374218875,831,0.5547533092659447,0.2805051134509952,131,0.5267175572519084,0.293234602950354,421,0.5795724465558195,0.4285554965448252,54,0.5740740740740741,120,30
SVPIX,3,True,0.14022473930137744,2485,0.5420523138832998,0.07378950662820914,288,0.5416666666666666,0.25030747526700126,513,0.543859649122807,0.4530980243781575,76,0.6052631578947368,200,40
SVPSX,3,True,0.13575713664384645,2105,0.5415676959619953,0.08779117343435008,276,0.5507246376811594,0.2321159756926032,531,0.544256120527307,0.47604831737965514,75,0.6,200,40
TEPIX,3,True,0.10368888701760519,5293,0.5441148686945022,0.20269235658912957,395,0.5949367088607594,0.4303649685116611,1119,0.6085790884718498,0.5603525466640563,175,0.6342857142857142,200,40
TEPSX,3,True,0.09994647354659773,5202,0.5407535563244906,0.21488731123402474,394,0.5939086294416244,0.41456534673002293,1119,0.6041108132260947,0.5561986082738377,175,0.6342857142857142,200,40
