ticker,n_strategies,constraints_met,base_full_avg,base_full_trades,base_full_hit,base_frozen_avg,base_frozen_trades,base_frozen_hit,sel_full_avg,sel_full_trades,sel_full_hit,sel_frozen_avg,sel_frozen_trades,sel_frozen_hit,density_full_req,density_frozen_req
UEPIX,1,True,0.19232848998732385,919,0.5712731229597389,0.20406101680439984,201,0.5771144278606966,0.42067837659488816,128,0.59375,0.410993113988879,76,0.631578947368421,120,30
UEPSX,3,True,0.17748213388005862,948,0.5759493670886076,0.22785842596567144,197,0.6040609137055838,0.27614708179195335,271,0.5977859778597786,0.40517059380083403,72,0.625,160,35
UFPIX,3,True,0.18682334948140805,1048,0.5591603053435115,0.18729753138016278,144,0.5625,0.2090551769150202,734,0.5613079019073569,0.34504153371778695,83,0.5542168674698795,120,30
UFPSX,3,True,0.2035719079143445,974,0.5595482546201233,0.2754534984093567,134,0.5746268656716418,0.20388737278940552,734,0.5626702997275205,0.343308853087537,83,0.5662650602409639,120,30
UGPIX,3,True,0.1330999070222776,4300,0.5274418604651163,0.24258902713758548,385,0.5064935064935064,0.3803637632719783,1642,0.5505481120584653,0.7167900040128592,174,0.5689655172413793,200,40
UGPSX,3,True,0.1297182882788602,4272,0.5276217228464419,0.29350405416333886,380,0.5184210526315789,0.359842252543101,1790,0.5648044692737431,0.8024724758738668,144,0.5972222222222222,200,40
UHPIX,3,True,0.10916342600898213,2624,0.5240091463414634,0.13447139725880572,371,0.5444743935309974,0.35538254434798716,1010,0.5613861386138614,0.37817689978599056,204,0.5686274509803921,200,40
UHPSX,3,True,0.13275514807991165,2503,0.5165801038753496,0.12837703451299468,370,0.5162162162162162,0.35417381224381894,1004,0.5697211155378487,0.316114009097963,172,0.5755813953488372,200,40
UIPIX,1,True,0.2475880152961724,125,0.552,0.2212616408887753,34,0.6764705882352942,0.2475880152961724,125,0.552,0.2212616408887753,34,0.6764705882352942,120,30
UIPSX,1,True,0.2768327444317929,243,0.551440329218107,0.3329134018053006,65,0.6307692307692307,0.23490920787922834,153,0.5555555555555556,0.5261029859106525,38,0.6052631578947368,120,30
UJPIX,3,True,0.15824913523469078,5533,0.5326224471353695,0.3538497568364656,394,0.5532994923857868,0.3626922527451312,2256,0.5695921985815603,0.8896790533195889,173,0.6589595375722543,200,40
UJPSX,3,True,0.13576301229857013,5468,0.5299926847110461,0.38495789225913957,394,0.5558375634517766,0.33313146853034914,2445,0.5668711656441717,0.6815413366874249,199,0.6130653266331658,200,40
UKPIX,3,True,0.23563206900047554,699,0.5565092989985694,0.21963041257203963,166,0.5783132530120482,0.37485349544338165,329,0.5714285714285714,0.40906227346774593,93,0.6451612903225806,120,30
UKPSX,1,True,0.22841575999351438,742,0.5714285714285714,0.28772451629132373,185,0.6,0.3899149966596362,181,0.585635359116022,0.7678283507889103,40,0.6,120,30
ULPIX,3,True,0.11436823270423599,5415,0.5399815327793167,0.17157402389175092,392,0.5561224489795918,0.3245719077238903,1701,0.5720164609053497,0.3615816034091516,202,0.6138613861386139,200,40
ULPSX,3,True,0.10725714461168231,5137,0.5392252287327234,0.1645767015123405,392,0.5561224489795918,0.3283160436677248,1609,0.584213797389683,0.3602609366699067,129,0.6046511627906976,200,40
UMPIX,3,True,0.12693969287786636,4993,0.542759863809333,0.06187277523203499,390,0.5102564102564102,0.39144965021259337,1143,0.600174978127734,0.6490608232540858,123,0.6341463414634146,200,40
UMPSX,3,True,0.1260988660773777,4922,0.5426655830963023,0.08623768648881927,388,0.5231958762886598,0.3875426689000828,1143,0.5993000874890638,0.6448917433897982,123,0.6341463414634146,200,40
UNPIX,3,True,0.11711326753663692,4407,0.5346040390288178,0.22885082533922152,390,0.5615384615384615,0.27702391700950635,2246,0.56233303650935,0.4114290879508494,150,0.5533333333333333,200,40
UNPSX,3,True,0.0836456636937783,4344,0.5313075506445673,0.19795595499777158,389,0.5732647814910026,0.3500847204745368,1314,0.560882800608828,0.44596046164848735,168,0.5892857142857143,200,40
UOPIX,3,True,0.1357594131000589,5895,0.542832909245123,0.18258671464824242,394,0.5736040609137056,0.3579736166190543,1974,0.599290780141844,0.5984424272335159,190,0.6368421052631579,200,40
