ticker,n_strategies,constraints_met,base_full_avg,base_full_trades,base_full_hit,base_frozen_avg,base_frozen_trades,base_frozen_hit,sel_full_avg,sel_full_trades,sel_full_hit,sel_frozen_avg,sel_frozen_trades,sel_frozen_hit
ENPSX,3,True,0.13331537496275994,4595,0.5438520130576714,0.2579508652868155,389,0.5886889460154242,0.43221072098073754,798,0.5701754385964912,0.6968879119286455,134,0.6716417910447762
FNPIX,3,True,0.11738631656773048,4481,0.538942200401696,0.09887706302940048,391,0.5549872122762148,0.42628544367440463,557,0.6032315978456014,0.49485865882763264,82,0.6463414634146342
FNPSX,3,True,0.09305485023117584,4356,0.5367309458218549,0.0901183762226931,391,0.5549872122762148,0.4379961195937286,548,0.5985401459854015,0.31367558828383274,103,0.6116504854368932
GVPSX,1,True,0.2066190604415276,399,0.5789473684210527,0.25211501595078856,35,0.6285714285714286,0.2066190604415276,399,0.5789473684210527,0.25211501595078856,35,0.6285714285714286
HCPIX,3,True,0.10996459667901161,3630,0.5435261707988981,0.12071783310612647,360,0.5333333333333333,0.21902180085178014,1324,0.5755287009063444,0.30486233772172805,91,0.5714285714285714
HCPSX,3,True,0.10608584598608882,3530,0.5382436260623229,0.11724356870503888,358,0.5279329608938548,0.297494058908292,653,0.5972434915773354,0.4930945760992574,59,0.576271186440678
IDPIX,3,True,0.10177212002493702,4396,0.5391264786169245,0.14841166591298344,393,0.549618320610687,0.3897357754576945,512,0.625,0.6787957927303058,75,0.68
IDPSX,3,True,0.10379993348836172,4351,0.5421742128246381,0.12389201685832905,393,0.5419847328244275,0.34440194346274533,533,0.6135084427767354,0.6745503371487782,75,0.68
INPIX,3,True,0.10932424932958691,5006,0.5517379145025969,0.06724022929859325,392,0.5382653061224489,0.29651255776295965,443,0.6139954853273137,0.4365597779588245,73,0.5616438356164384
INPSX,3,True,0.11632361091860478,4914,0.5494505494505495,0.06925869633675569,392,0.5306122448979592,0.3389509047641044,466,0.6030042918454935,0.4349268768352876,78,0.5641025641025641
LGPIX,1,True,0.09862575968857831,3382,0.562093435836783,0.11870559200340985,378,0.5767195767195767,0.43304150421272863,191,0.6596858638743456,0.44739605827701506,48,0.625
LGPSX,1,True,0.08992903978169345,3279,0.5574870387313205,0.09293815743232293,355,0.5690140845070423,0.42871399658942483,191,0.6596858638743456,0.4415697976069033,48,0.625
LVPIX,3,True,0.10988292036844913,1669,0.5578190533253445,0.10923890963913081,262,0.6068702290076335,0.201440040963188,689,0.5892597968069666,0.21986107276809097,105,0.6761904761904762
LVPSX,1,True,0.12464288132739018,1549,0.5590703679793415,0.11957158113385677,235,0.6085106382978723,0.44528940522029814,168,0.6428571428571429,0.40172266784321037,48,0.6875
MDPIX,3,True,0.1402902100598918,2054,0.5520934761441091,0.10412489182612707,282,0.5354609929078015,0.25733705171803933,615,0.5788617886178862,0.49910692494156605,81,0.6296296296296297
MDPSX,3,True,0.13477105344358087,2024,0.5528656126482213,0.11993050610080977,260,0.5307692307692308,0.2474705661778518,609,0.5779967159277504,0.4960680916034814,81,0.6296296296296297
MGPIX,3,True,0.11937699859946237,2216,0.5645306859205776,0.1410532873582307,307,0.5504885993485342,0.23878585478090905,560,0.6232142857142857,0.555838109020364,66,0.6666666666666666
MGPSX,3,True,0.12076768098733488,2182,0.5641613198900092,0.1709327649193991,311,0.5627009646302251,0.20689207376444171,637,0.5949764521193093,0.5610217608186676,64,0.671875
MLPIX,3,True,0.11912488698240731,1652,0.5357142857142857,0.07997792874991434,254,0.5,0.26120301123293616,564,0.5762411347517731,0.4329939613086205,75,0.6
MLPSX,3,True,0.12307848143646066,1487,0.5305985205110961,0.04753934614615572,213,0.4835680751173709,0.27342345591137424,555,0.5747747747747748,0.53590385200515,64,0.640625
OEPIX,3,True,0.12063016780808128,4133,0.5381079119283814,0.20985856782440054,391,0.5575447570332481,0.6476663878944775,432,0.5833333333333334,0.7461689015998214,119,0.5798319327731093
OEPSX,3,True,0.09125756906556805,4055,0.5373612823674476,0.1483449743365658,391,0.5601023017902813,0.48042074297126985,472,0.5635593220338984,0.6903596044494011,86,0.5697674418604651
OTPIX,3,True,0.10105111337395228,3744,0.5555555555555556,0.12542674883429425,372,0.5725806451612904,0.23424647791972183,1237,0.5949878738884398,0.3871882565539281,75,0.64
OTPSX,1,True,0.09840375567388712,3020,0.5599337748344371,0.1293557144021804,370,0.572972972972973,0.33768677693687293,300,0.61,0.4287793440004389,46,0.6086956521739131
PHPIX,4,True,0.12512594631544743,3736,0.541220556745182,0.3182692242448361,386,0.5777202072538861,0.25696670219282514,1088,0.5845588235294118,0.2933258801939126,103,0.5533980582524272
PHPSX,1,True,0.1299092329808349,3524,0.5442678774120318,0.2919214882798431,386,0.5751295336787565,0.34354189868400403,462,0.5800865800865801,0.7102204140851796,41,0.6097560975609756
PMPIX,3,True,0.19919420121133913,4596,0.5230635335073978,0.49680531235706143,391,0.6112531969309463,0.5567136680419666,953,0.5540398740818469,0.7810886405071604,78,0.6666666666666666
PMPSX,3,True,0.20822863324363636,4643,0.5250915356450571,0.4580914184599301,391,0.6086956521739131,0.5116448934957568,794,0.5478589420654912,0.4319681981984006,65,0.6461538461538462
REPIX,3,True,0.12668836513732648,4656,0.5358676975945017,0.07058343384501779,386,0.5518134715025906,0.4308889530399748,753,0.5670650730411687,0.39377136784710365,44,0.7272727272727273
REPSX,3,True,0.14171778768531815,4529,0.5374254802384633,0.07340036170759676,379,0.5593667546174143,0.43320423773833594,753,0.5670650730411687,0.38938811234976467,44,0.7272727272727273
RRPIX,1,True,0.2924330411360788,209,0.5645933014354066,0.23577310294234333,33,0.5757575757575758,0.2924330411360788,209,0.5645933014354066,0.23577310294234333,33,0.5757575757575758
