ticker,fund_group,source,condition,horizon,full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit,abs_full_avg
SGPSX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.23593881678543546,341,0.5689149560117303,0.31683490529621944,72,0.625,0.23593881678543546
SLPIX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.2551900938357707,296,0.5743243243243243,0.3044662639150371,72,0.5833333333333334,0.2551900938357707
SLPSX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.2850275120302731,279,0.5698924731182796,0.29997971856735184,72,0.5694444444444444,0.2850275120302731
SMPIX,pair_scan,pair_scan,UUP_down_XLU_down,1,0.7290981198469656,133,0.5939849624060151,0.7723737632147805,75,0.6266666666666667,0.7290981198469656
SMPSX,pair_scan,pair_scan,UUP_down_XLU_down,1,0.7704448257570978,133,0.5939849624060151,0.7721892122107722,75,0.6266666666666667,0.7704448257570978
SRPIX,long,sparse,ext_vix_chg_le-5,1,1.1799002117073651,863,0.7508690614136733,0.5525462109700733,78,0.6538461538461539,1.1799002117073651
SRPSX,inverse,gap_extra,ext_vix_chg_le-5,1,1.167755210663142,863,0.746234067207416,0.5222465172164538,78,0.6538461538461539,1.167755210663142
SVPIX,pair_scan,pair_scan,GDX_up_SPY_down,1,0.3050664457341833,303,0.5544554455445545,0.4530980243781575,76,0.6052631578947368,0.3050664457341833
SVPSX,pair_scan,pair_scan,GDX_up_QQQ_down,1,0.20633143528987455,576,0.5503472222222222,0.3981141969259367,80,0.6125,0.20633143528987455
TEPIX,pair_scan,pair_scan,GDX_up_XLK_down,1,0.4107473030786223,460,0.6239130434782608,0.4921780879960403,75,0.6133333333333333,0.4107473030786223
TEPSX,pair_scan,pair_scan,GDX_up_XLK_down,1,0.40742105227462266,455,0.621978021978022,0.4873447297878168,75,0.6133333333333333,0.40742105227462266
UAPIX,pair_scan,pair_scan,GDX_up_SPY_down,1,0.5246904434964945,509,0.5658153241650294,0.8357865074836875,76,0.5921052631578947,0.5246904434964945
UAPSX,pair_scan,pair_scan,GDX_up_SPY_down,1,0.49171332060252154,525,0.56,0.8296399782611107,76,0.5921052631578947,0.49171332060252154
UBPIX,pair_scan,pair_scan,GDX_up_IWM_down,1,0.5839281350391494,227,0.5594713656387665,0.9167723297177539,82,0.6219512195121951,0.5839281350391494
UBPSX,pair_scan,pair_scan,GDX_up_QQQ_down,1,0.48424806221276206,368,0.5516304347826086,0.8405940824332644,80,0.625,0.48424806221276206
UDPIX,pair_scan,pair_scan,GDX_up_XLK_down,1,0.48536655416918445,489,0.623721881390593,0.6342509338350351,75,0.6533333333333333,0.48536655416918445
UDPSX,pair_scan,pair_scan,GDX_up_XLK_down,1,0.4822800108306488,489,0.621676891615542,0.6306027071383289,75,0.6533333333333333,0.4822800108306488
UEPIX,pair_scan,pair_scan,GDX_up_SPY_down,1,0.42067837659488816,128,0.59375,0.410993113988879,76,0.631578947368421,0.42067837659488816
UEPSX,pair_scan,pair_scan,GDX_up_SPY_down,1,0.41068305989173765,141,0.5957446808510638,0.40491331892520915,76,0.631578947368421,0.41068305989173765
UGPIX,pair_scan,pair_scan,TIP_up_TLT_down,2,1.5775627327836892,348,0.5660919540229885,0.8596148718310019,42,0.6190476190476191,1.5775627327836892
UGPSX,pair_scan,pair_scan,TIP_up_TLT_down,2,1.5719523082031623,348,0.5689655172413793,0.8577273864924138,42,0.6190476190476191,1.5719523082031623
UJPIX,pair_scan,pair_scan,HYG_down_XLK_down,1,1.3112354301594886,127,0.6299212598425197,0.9386572980659891,100,0.65,1.3112354301594886
UJPSX,pair_scan,pair_scan,XLK_down_XLV_down,1,0.8389240813017305,120,0.625,1.4210679181796688,78,0.6923076923076923,0.8389240813017305
ULPIX,pair_scan,pair_scan,GDX_up_SPY_down,1,0.42233645126039904,541,0.5988909426987061,0.6753282700808451,76,0.631578947368421,0.42233645126039904
