ticker,fund_group,source,condition,horizon,full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit,abs_full_avg,pass,tokens
LGPIX,,condition_expansion,combo_XLV_down__ext_usd_gold_ratio_le-1,1,0.4330415042127286,191,0.6596858638743456,0.447396058277015,48,0.625,0.4330415042127286,,
LGPSX,,condition_expansion,combo_XLV_down__ext_usd_gold_ratio_le-1,1,0.4287139965894248,191,0.6596858638743456,0.4415697976069033,48,0.625,0.4287139965894248,,
LVPIX,long,gap_extra,ext_vix_chg_ge5,1,1.006224334678444,990,0.897979797979798,0.7860604287503701,89,0.9213483146067416,1.006224334678444,,set()
LVPSX,inverse,gap_extra,ext_vix_chg_ge5,1,1.0044854373165195,990,0.8949494949494949,0.7817030207930407,89,0.9213483146067416,1.0044854373165195,,set()
MDPIX,long,triple_scan,GDX_up_down_down_XLK_XLU,1,0.3613067397782395,140,0.6142857142857143,0.6377389404987441,36,0.6666666666666666,0.3613067397782395,True,
MDPSX,inverse,triple_scan,GDX_up_down_down_XLK_XLU,1,0.3571313157997616,140,0.6142857142857143,0.6343415993567906,36,0.6666666666666666,0.3571313157997616,True,
MGPIX,long,triple_scan,GDX_up_down_down_XLF_XLU,1,0.303612587136316,260,0.5961538461538461,0.5814995171931567,49,0.6530612244897959,0.303612587136316,True,
MGPSX,inverse,triple_scan,GDX_up_down_down_XLF_XLU,1,0.2941084319400799,258,0.5930232558139535,0.5758610345805997,49,0.6530612244897959,0.2941084319400799,True,
MLPIX,,condition_expansion,combo_XLK_down__ext_usd_gold_ratio_le-1,1,0.4207312833296626,125,0.584,0.508506888764228,39,0.5897435897435898,0.4207312833296626,,
MLPSX,inverse,triple_scan,GDX_up_down_down_SPY_XLF,1,0.4170282475380811,219,0.6027397260273972,0.5552566473939436,60,0.65,0.4170282475380811,True,
OEPIX,long,sparse,ext_vix_chg_ge5,1,2.164058383389845,990,0.7555555555555555,2.102774833197992,89,0.7640449438202247,2.164058383389845,,set()
OEPSX,inverse,sparse,ext_vix_chg_ge5,1,2.154299956414191,990,0.7555555555555555,2.099717734527897,89,0.7752808988764045,2.154299956414191,,set()
OTPIX,,condition_expansion,combo_HYG_down__ext_usd_gold_ratio_le-1,1,0.4760231540865312,147,0.6054421768707483,0.3099187156157562,44,0.5681818181818182,0.4760231540865312,,
OTPSX,,condition_expansion,combo_HYG_down__ext_usd_gold_ratio_le-1,1,0.3918693273022831,159,0.5974842767295597,0.3049950933237597,44,0.5681818181818182,0.3918693273022831,,
PHPIX,,condition_expansion,combo_IWM_down__ext_usd_gold_ratio_le-1,1,0.5369988156712479,156,0.6602564102564102,0.3210333893408904,46,0.6086956521739131,0.5369988156712479,,
PHPSX,,condition_expansion,combo_IWM_down__ext_usd_gold_ratio_le-1,1,0.534430592581767,150,0.6533333333333333,0.3170777589987928,46,0.6086956521739131,0.534430592581767,,
PMPIX,,condition_expansion,combo_IWM_big_down__ext_sect_rotation_le-0_5,2,0.7842955324590886,144,0.5625,1.8599706007666736,32,0.6875,0.7842955324590886,,
PMPSX,,condition_expansion,combo_ext_tnx_chgbp_down__self_big_down,1,0.916582744096313,181,0.56353591160221,0.4182883658242796,33,0.7272727272727273,0.916582744096313,,
REPIX,,condition_expansion,combo_XLF_big_down__ext_tnx_yield_ge1,1,0.4895611858251699,696,0.5689655172413793,0.3937713678471036,44,0.7272727272727273,0.4895611858251699,,
REPSX,,condition_expansion,combo_XLF_big_down__ext_tnx_yield_ge1,1,0.4903357828837029,696,0.5704022988505747,0.3893881123497646,44,0.7272727272727273,0.4903357828837029,,
RRPIX,,condition_expansion,combo_XLV_big_down__ext_sect_rotation_up,1,0.2924330411360788,209,0.5645933014354066,0.2357731029423433,33,0.5757575757575758,0.2924330411360788,,
RRPSX,,condition_expansion,combo_XLV_big_down__ext_sect_rotation_up,1,0.2914918027261898,196,0.5510204081632653,0.2321545364520851,33,0.5757575757575758,0.2914918027261898,,
SGPIX,,condition_expansion,combo_XLK_down__ext_usd_gold_ratio_le-1,1,0.4110533606471299,170,0.5941176470588235,0.574305141018179,39,0.6153846153846154,0.4110533606471299,,
SGPSX,,condition_expansion,combo_SPY_down__ext_usd_gold_ratio_le-1,1,0.4443005996484413,133,0.6165413533834586,0.4773864713000321,42,0.5952380952380952,0.4443005996484413,,
SLPIX,long,triple_scan,GDX_up_down_down_JNK_XLF,1,0.4340731719180649,174,0.5862068965517241,0.5174665581869781,58,0.5689655172413793,0.4340731719180649,True,
SLPSX,,condition_expansion,combo_SPY_down__ext_usd_gold_ratio_le-1,1,0.4925670108699525,144,0.625,0.4574656378272482,42,0.5714285714285714,0.4925670108699525,,
SMPIX,,condition_expansion,combo_IWM_down__ext_usd_gold_ratio_le-1,1,1.3437688857154075,153,0.6405228758169934,0.9893703588837894,46,0.6086956521739131,1.3437688857154075,,
