ticker,fund_group,source,condition,horizon,full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit,tokens
ENPSX,inverse,optimization_scan,XLC_big_up,3,0.218578085081706,231,0.5844155844155844,0.2947134253454725,53,0.660377358490566,{'XLC'}
INPSX,inverse,optimization_scan,XLC_big_down,3,0.2260074254889254,234,0.5726495726495726,0.3762949751667263,46,0.5869565217391305,{'XLC'}
UAPIX,ultra_long,optimization_scan,XLC_big_down,2,0.261517157550831,234,0.5555555555555556,0.2817629730722593,46,0.5869565217391305,{'XLC'}
UAPSX,inverse,optimization_scan,XLC_big_down,2,0.2585487340744066,234,0.5555555555555556,0.277628711273761,46,0.5869565217391305,{'XLC'}
UMPIX,ultra_long,optimization_scan,XLC_big_down,2,0.2399741656143318,234,0.5683760683760684,0.2689952272354804,46,0.5869565217391305,{'XLC'}
UMPSX,inverse,optimization_scan,XLC_big_down,2,0.2334953097661097,234,0.5555555555555556,0.2647096745145267,46,0.5869565217391305,{'XLC'}
UBPIX,ultra_long,optimization_scan,XLC_big_down,1,0.4013375867976584,234,0.5811965811965812,0.2554729374250421,46,0.5652173913043478,{'XLC'}
UBPSX,inverse,optimization_scan,XLC_big_down,1,0.4012491635948622,234,0.5769230769230769,0.2544486793273708,46,0.5652173913043478,{'XLC'}
UOPIX,ultra_long,optimization_scan,XLC_big_down,3,0.2966944884569932,234,0.5897435897435898,0.3325925547664222,46,0.5869565217391305,{'XLC'}
UOPSX,inverse,optimization_scan,XLC_big_down,3,0.2932585935585438,234,0.594017094017094,0.3294825034258882,46,0.5869565217391305,{'XLC'}
SMPIX,pair_scan,pair_scan,EEM_up_FXY_up,1,0.3551164737451202,541,0.5804066543438078,0.6401550277825689,108,0.6111111111111112,"{'FXY', 'EEM'}"
SMPSX,pair_scan,pair_scan,EEM_up_FXY_up,1,0.332485698452056,554,0.572202166064982,0.6392443869775079,108,0.6111111111111112,"{'FXY', 'EEM'}"
UOPSX,pair_scan,pair_scan,EEM_up_FXY_up,1,0.2038430427391727,436,0.5848623853211009,0.2653589501369648,108,0.5925925925925926,"{'FXY', 'EEM'}"
SMPIX,pair_scan,pair_scan,EEM_down_FXY_down,2,0.2072684216162567,803,0.5516811955168119,0.617633592676946,113,0.6371681415929203,"{'FXY', 'EEM'}"
SMPSX,pair_scan,pair_scan,EEM_down_FXY_down,2,0.2068216436984934,803,0.5516811955168119,0.6144324081595789,113,0.6371681415929203,"{'FXY', 'EEM'}"
BIPIX,pair_scan,pair_scan,EEM_down_FXY_up,1,0.2461698761601773,1092,0.5741758241758241,0.470762183461451,60,0.6,"{'FXY', 'EEM'}"
BIPSX,pair_scan,pair_scan,EEM_down_FXY_up,1,0.2423813558527077,1092,0.5741758241758241,0.4670971143638416,60,0.6,"{'FXY', 'EEM'}"
REPIX,pair_scan,pair_scan,EEM_down_FXY_up,1,0.229815034106809,1092,0.5576923076923077,0.2268438016313242,60,0.5833333333333334,"{'FXY', 'EEM'}"
REPSX,pair_scan,pair_scan,EEM_down_FXY_up,1,0.2335005983852572,1092,0.5576923076923077,0.2250586103764828,60,0.5833333333333334,"{'FXY', 'EEM'}"
SMPSX,pair_scan,pair_scan,EEM_down_FXY_up,1,0.331783200327074,483,0.5507246376811594,0.7327771679662397,60,0.6,"{'FXY', 'EEM'}"
UOPIX,pair_scan,pair_scan,EEM_down_FXY_up,1,0.2589200607786514,1092,0.5613553113553114,0.6167715855632799,60,0.5833333333333334,"{'FXY', 'EEM'}"
UOPSX,pair_scan,pair_scan,EEM_down_FXY_up,1,0.2561007279775245,1092,0.5595238095238095,0.6129314449574021,60,0.5833333333333334,"{'FXY', 'EEM'}"
SMPIX,pair_scan,pair_scan,EEM_down_FXY_up,2,0.2270439960688117,1092,0.5732600732600732,0.4943801551538322,60,0.5666666666666667,"{'FXY', 'EEM'}"
SMPSX,pair_scan,pair_scan,EEM_down_FXY_up,2,0.2231689564303628,1092,0.5741758241758241,0.4918164441687417,60,0.5666666666666667,"{'FXY', 'EEM'}"
UGPIX,pair_scan,pair_scan,EEM_down_FXY_up,2,0.2780727566352878,929,0.5565123789020452,0.5792723250958786,60,0.65,"{'FXY', 'EEM'}"
UGPSX,pair_scan,pair_scan,EEM_down_FXY_up,2,0.2826536292079539,972,0.5555555555555556,0.5747043150983017,60,0.65,"{'FXY', 'EEM'}"
UUPIX,pair_scan,pair_scan,EEM_down_FXY_up,2,0.2115856330360382,1092,0.5503663003663004,0.4505156454089997,60,0.6,"{'FXY', 'EEM'}"
UUPSX,pair_scan,pair_scan,EEM_down_FXY_up,2,0.2096975220407787,1092,0.5503663003663004,0.4473719941844746,60,0.6,"{'FXY', 'EEM'}"
SMPIX,pair_scan,pair_scan,EEM_down_FXY_up,3,0.2235748539319931,983,0.5747711088504578,0.2973747897924844,60,0.6,"{'FXY', 'EEM'}"
SMPSX,pair_scan,pair_scan,EEM_down_FXY_up,3,0.224770581425228,948,0.5727848101265823,0.2960804224227431,60,0.6,"{'FXY', 'EEM'}"
UGPIX,pair_scan,pair_scan,EEM_down_FXY_up,3,0.2725268992171074,1012,0.5592885375494071,0.618706022186097,60,0.6,"{'FXY', 'EEM'}"
UGPSX,pair_scan,pair_scan,EEM_down_FXY_up,3,0.2693664065584016,1012,0.5573122529644269,0.6148167089353235,60,0.6,"{'FXY', 'EEM'}"
BIPIX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.2362376151270368,611,0.5793780687397708,0.5107010610895284,72,0.5972222222222222,"{'GDX', 'EEM'}"
