condition,horizon,eligible_funds,pass_signals
EEM_up_down_down_FXY_TLT,2,126,0
EEM_up_down_down_FXY_TLT,3,126,0
EEM_up_up_up_FXY_UUP,1,0,0
EEM_up_up_up_FXY_UUP,2,0,0
EEM_up_up_up_FXY_UUP,3,0,0
EEM_down_down_down_FXY_UUP,1,0,0
EEM_down_down_down_FXY_UUP,2,0,0
EEM_down_down_down_FXY_UUP,3,0,0
EEM_up_up_down_FXY_UUP,1,128,3
EEM_up_up_down_FXY_UUP,2,128,0
EEM_up_up_down_FXY_UUP,3,128,0
EEM_up_down_up_FXY_UUP,1,126,0
EEM_up_down_up_FXY_UUP,2,126,0
EEM_up_down_up_FXY_UUP,3,126,0
EEM_down_up_up_FXY_UUP,1,0,0
EEM_down_up_up_FXY_UUP,2,0,0
EEM_down_up_up_FXY_UUP,3,0,0
EEM_down_down_up_FXY_UUP,1,128,0
EEM_down_down_up_FXY_UUP,2,128,0
EEM_down_down_up_FXY_UUP,3,128,0
EEM_down_up_down_FXY_UUP,1,126,2
EEM_down_up_down_FXY_UUP,2,126,0
EEM_down_up_down_FXY_UUP,3,126,3
EEM_up_down_down_FXY_UUP,1,126,0
EEM_up_down_down_FXY_UUP,2,126,0
EEM_up_down_down_FXY_UUP,3,126,2
EEM_up_up_up_FXY_XLE,1,126,4
EEM_up_up_up_FXY_XLE,2,126,0
EEM_up_up_up_FXY_XLE,3,126,0
EEM_down_down_down_FXY_XLE,1,126,0
EEM_down_down_down_FXY_XLE,2,126,1
EEM_down_down_down_FXY_XLE,3,126,1
EEM_up_up_down_FXY_XLE,1,126,0
EEM_up_up_down_FXY_XLE,2,126,2
EEM_up_up_down_FXY_XLE,3,126,6
EEM_up_down_up_FXY_XLE,1,126,0
EEM_up_down_up_FXY_XLE,2,126,0
EEM_up_down_up_FXY_XLE,3,126,0
EEM_down_up_up_FXY_XLE,1,126,0
EEM_down_up_up_FXY_XLE,2,126,4
EEM_down_up_up_FXY_XLE,3,126,0
EEM_down_down_up_FXY_XLE,1,126,0
EEM_down_down_up_FXY_XLE,2,126,0
EEM_down_down_up_FXY_XLE,3,126,0
EEM_down_up_down_FXY_XLE,1,0,0
EEM_down_up_down_FXY_XLE,2,0,0
EEM_down_up_down_FXY_XLE,3,0,0
EEM_up_down_down_FXY_XLE,1,126,0
EEM_up_down_down_FXY_XLE,2,126,2
EEM_up_down_down_FXY_XLE,3,126,0
EEM_up_up_up_FXY_XLF,1,126,0
EEM_up_up_up_FXY_XLF,2,126,0
EEM_up_up_up_FXY_XLF,3,126,0
EEM_down_down_down_FXY_XLF,1,127,0
EEM_down_down_down_FXY_XLF,2,127,4
EEM_down_down_down_FXY_XLF,3,127,2
EEM_up_up_down_FXY_XLF,1,126,3
EEM_up_up_down_FXY_XLF,2,126,0
EEM_up_up_down_FXY_XLF,3,126,0
EEM_up_down_up_FXY_XLF,1,127,0
EEM_up_down_up_FXY_XLF,2,127,0
EEM_up_down_up_FXY_XLF,3,127,0
EEM_down_up_up_FXY_XLF,1,126,1
EEM_down_up_up_FXY_XLF,2,126,6
EEM_down_up_up_FXY_XLF,3,126,10
EEM_down_down_up_FXY_XLF,1,126,0
EEM_down_down_up_FXY_XLF,2,126,2
EEM_down_down_up_FXY_XLF,3,126,0
EEM_down_up_down_FXY_XLF,1,0,0
EEM_down_up_down_FXY_XLF,2,0,0
EEM_down_up_down_FXY_XLF,3,0,0
EEM_up_down_down_FXY_XLF,1,126,0
EEM_up_down_down_FXY_XLF,2,126,2
EEM_up_down_down_FXY_XLF,3,126,0
EEM_up_up_up_FXY_XLK,1,127,0
EEM_up_up_up_FXY_XLK,2,127,0
EEM_up_up_up_FXY_XLK,3,127,0
EEM_down_down_down_FXY_XLK,1,127,0
EEM_down_down_down_FXY_XLK,2,127,2
EEM_down_down_down_FXY_XLK,3,127,1
EEM_up_up_down_FXY_XLK,1,0,0
EEM_up_up_down_FXY_XLK,2,0,0
EEM_up_up_down_FXY_XLK,3,0,0
EEM_up_down_up_FXY_XLK,1,127,0
EEM_up_down_up_FXY_XLK,2,127,0
EEM_up_down_up_FXY_XLK,3,127,0
EEM_down_up_up_FXY_XLK,1,0,0
EEM_down_up_up_FXY_XLK,2,0,0
EEM_down_up_up_FXY_XLK,3,0,0
EEM_down_down_up_FXY_XLK,1,126,0
EEM_down_down_up_FXY_XLK,2,126,0
EEM_down_down_up_FXY_XLK,3,126,0
EEM_down_up_down_FXY_XLK,1,126,12
EEM_down_up_down_FXY_XLK,2,126,8
EEM_down_up_down_FXY_XLK,3,126,4
EEM_up_down_down_FXY_XLK,1,0,0
EEM_up_down_down_FXY_XLK,2,0,0
EEM_up_down_down_FXY_XLK,3,0,0
EEM_up_up_up_FXY_XLU,1,126,4
EEM_up_up_up_FXY_XLU,2,126,0
EEM_up_up_up_FXY_XLU,3,126,0
EEM_down_down_down_FXY_XLU,1,127,0
EEM_down_down_down_FXY_XLU,2,127,0
EEM_down_down_down_FXY_XLU,3,127,0
EEM_up_up_down_FXY_XLU,1,126,0
EEM_up_up_down_FXY_XLU,2,126,0
EEM_up_up_down_FXY_XLU,3,126,0
EEM_up_down_up_FXY_XLU,1,126,0
EEM_up_down_up_FXY_XLU,2,126,0
EEM_up_down_up_FXY_XLU,3,126,0
EEM_down_up_up_FXY_XLU,1,126,12
EEM_down_up_up_FXY_XLU,2,126,2
EEM_down_up_up_FXY_XLU,3,126,8
EEM_down_down_up_FXY_XLU,1,126,0
EEM_down_down_up_FXY_XLU,2,126,0
EEM_down_down_up_FXY_XLU,3,126,0
EEM_down_up_down_FXY_XLU,1,0,0
EEM_down_up_down_FXY_XLU,2,0,0
EEM_down_up_down_FXY_XLU,3,0,0
EEM_up_down_down_FXY_XLU,1,126,0
EEM_up_down_down_FXY_XLU,2,126,0
EEM_up_down_down_FXY_XLU,3,126,0
EEM_up_up_up_FXY_XLV,1,126,5
EEM_up_up_up_FXY_XLV,2,126,0
EEM_up_up_up_FXY_XLV,3,126,2
EEM_down_down_down_FXY_XLV,1,127,0
EEM_down_down_down_FXY_XLV,2,127,2
EEM_down_down_down_FXY_XLV,3,127,3
EEM_up_up_down_FXY_XLV,1,126,4
EEM_up_up_down_FXY_XLV,2,126,0
EEM_up_up_down_FXY_XLV,3,126,0
EEM_up_down_up_FXY_XLV,1,126,0
EEM_up_down_up_FXY_XLV,2,126,0
EEM_up_down_up_FXY_XLV,3,126,0
EEM_down_up_up_FXY_XLV,1,126,12
EEM_down_up_up_FXY_XLV,2,126,0
EEM_down_up_up_FXY_XLV,3,126,1
EEM_down_down_up_FXY_XLV,1,126,0
EEM_down_down_up_FXY_XLV,2,126,0
EEM_down_down_up_FXY_XLV,3,126,0
EEM_down_up_down_FXY_XLV,1,0,0
EEM_down_up_down_FXY_XLV,2,0,0
EEM_down_up_down_FXY_XLV,3,0,0
EEM_up_down_down_FXY_XLV,1,126,0
EEM_up_down_down_FXY_XLV,2,126,2
EEM_up_down_down_FXY_XLV,3,126,2
EEM_up_up_up_GDX_GLD,1,128,0
EEM_up_up_up_GDX_GLD,2,128,0
EEM_up_up_up_GDX_GLD,3,128,0
EEM_down_down_down_GDX_GLD,1,128,0
EEM_down_down_down_GDX_GLD,2,128,0
EEM_down_down_down_GDX_GLD,3,128,0
EEM_up_up_down_GDX_GLD,1,0,0
EEM_up_up_down_GDX_GLD,2,0,0
EEM_up_up_down_GDX_GLD,3,0,0
EEM_up_down_up_GDX_GLD,1,0,0
EEM_up_down_up_GDX_GLD,2,0,0
EEM_up_down_up_GDX_GLD,3,0,0
EEM_down_up_up_GDX_GLD,1,126,44
EEM_down_up_up_GDX_GLD,2,126,22
EEM_down_up_up_GDX_GLD,3,126,11
EEM_down_down_up_GDX_GLD,1,0,0
EEM_down_down_up_GDX_GLD,2,0,0
EEM_down_down_up_GDX_GLD,3,0,0
EEM_down_up_down_GDX_GLD,1,0,0
EEM_down_up_down_GDX_GLD,2,0,0
EEM_down_up_down_GDX_GLD,3,0,0
EEM_up_down_down_GDX_GLD,1,126,2
EEM_up_down_down_GDX_GLD,2,126,4
EEM_up_down_down_GDX_GLD,3,126,2
EEM_up_up_up_GDX_HYG,1,128,0
EEM_up_up_up_GDX_HYG,2,128,0
EEM_up_up_up_GDX_HYG,3,128,0
EEM_down_down_down_GDX_HYG,1,128,0
EEM_down_down_down_GDX_HYG,2,128,0
EEM_down_down_down_GDX_HYG,3,128,0
EEM_up_up_down_GDX_HYG,1,126,0
EEM_up_up_down_GDX_HYG,2,126,0
EEM_up_up_down_GDX_HYG,3,126,0
EEM_up_down_up_GDX_HYG,1,126,0
EEM_up_down_up_GDX_HYG,2,126,0
EEM_up_down_up_GDX_HYG,3,126,0
EEM_down_up_up_GDX_HYG,1,0,0
EEM_down_up_up_GDX_HYG,2,0,0
EEM_down_up_up_GDX_HYG,3,0,0
EEM_down_down_up_GDX_HYG,1,0,0
EEM_down_down_up_GDX_HYG,2,0,0
EEM_down_down_up_GDX_HYG,3,0,0
EEM_down_up_down_GDX_HYG,1,126,29
EEM_down_up_down_GDX_HYG,2,126,22
EEM_down_up_down_GDX_HYG,3,126,32
EEM_up_down_down_GDX_HYG,1,0,0
EEM_up_down_down_GDX_HYG,2,0,0
EEM_up_down_down_GDX_HYG,3,0,0
EEM_up_up_up_GDX_IWM,1,128,0
EEM_up_up_up_GDX_IWM,2,128,1
EEM_up_up_up_GDX_IWM,3,128,0
EEM_down_down_down_GDX_IWM,1,128,0
EEM_down_down_down_GDX_IWM,2,128,2
EEM_down_down_down_GDX_IWM,3,128,0
EEM_up_up_down_GDX_IWM,1,126,2
EEM_up_up_down_GDX_IWM,2,126,4
EEM_up_up_down_GDX_IWM,3,126,2
EEM_up_down_up_GDX_IWM,1,126,0
EEM_up_down_up_GDX_IWM,2,126,0
EEM_up_down_up_GDX_IWM,3,126,0
EEM_down_up_up_GDX_IWM,1,0,0
EEM_down_up_up_GDX_IWM,2,0,0
EEM_down_up_up_GDX_IWM,3,0,0
EEM_down_down_up_GDX_IWM,1,0,0
EEM_down_down_up_GDX_IWM,2,0,0
EEM_down_down_up_GDX_IWM,3,0,0
EEM_down_up_down_GDX_IWM,1,126,38
EEM_down_up_down_GDX_IWM,2,126,21
EEM_down_up_down_GDX_IWM,3,126,21
EEM_up_down_down_GDX_IWM,1,0,0
EEM_up_down_down_GDX_IWM,2,0,0
EEM_up_down_down_GDX_IWM,3,0,0
EEM_up_up_up_GDX_JNK,1,128,0
EEM_up_up_up_GDX_JNK,2,128,0
EEM_up_up_up_GDX_JNK,3,128,0
EEM_down_down_down_GDX_JNK,1,127,0
EEM_down_down_down_GDX_JNK,2,127,0
EEM_down_down_down_GDX_JNK,3,127,0
EEM_up_up_down_GDX_JNK,1,126,0
EEM_up_up_down_GDX_JNK,2,126,0
EEM_up_up_down_GDX_JNK,3,126,0
EEM_up_down_up_GDX_JNK,1,126,0
EEM_up_down_up_GDX_JNK,2,126,0
EEM_up_down_up_GDX_JNK,3,126,0
EEM_down_up_up_GDX_JNK,1,0,0
EEM_down_up_up_GDX_JNK,2,0,0
EEM_down_up_up_GDX_JNK,3,0,0
EEM_down_down_up_GDX_JNK,1,0,0
EEM_down_down_up_GDX_JNK,2,0,0
EEM_down_down_up_GDX_JNK,3,0,0
EEM_down_up_down_GDX_JNK,1,126,46
EEM_down_up_down_GDX_JNK,2,126,26
EEM_down_up_down_GDX_JNK,3,126,29
EEM_up_down_down_GDX_JNK,1,0,0
EEM_up_down_down_GDX_JNK,2,0,0
EEM_up_down_down_GDX_JNK,3,0,0
EEM_up_up_up_GDX_LQD,1,128,0
EEM_up_up_up_GDX_LQD,2,128,0
EEM_up_up_up_GDX_LQD,3,128,0
EEM_down_down_down_GDX_LQD,1,127,0
EEM_down_down_down_GDX_LQD,2,127,0
EEM_down_down_down_GDX_LQD,3,127,0
EEM_up_up_down_GDX_LQD,1,126,0
EEM_up_up_down_GDX_LQD,2,126,0
EEM_up_up_down_GDX_LQD,3,126,0
EEM_up_down_up_GDX_LQD,1,126,0
EEM_up_down_up_GDX_LQD,2,126,2
EEM_up_down_up_GDX_LQD,3,126,0
EEM_down_up_up_GDX_LQD,1,126,12
EEM_down_up_up_GDX_LQD,2,126,2
EEM_down_up_up_GDX_LQD,3,126,2
EEM_down_down_up_GDX_LQD,1,126,0
EEM_down_down_up_GDX_LQD,2,126,0
EEM_down_down_up_GDX_LQD,3,126,2
EEM_down_up_down_GDX_LQD,1,126,8
EEM_down_up_down_GDX_LQD,2,126,14
EEM_down_up_down_GDX_LQD,3,126,26
EEM_up_down_down_GDX_LQD,1,126,0
EEM_up_down_down_GDX_LQD,2,126,0
EEM_up_down_down_GDX_LQD,3,126,0
EEM_up_up_up_GDX_QQQ,1,128,0
EEM_up_up_up_GDX_QQQ,2,128,0
EEM_up_up_up_GDX_QQQ,3,128,0
EEM_down_down_down_GDX_QQQ,1,128,0
EEM_down_down_down_GDX_QQQ,2,128,2
EEM_down_down_down_GDX_QQQ,3,128,0
EEM_up_up_down_GDX_QQQ,1,0,0
EEM_up_up_down_GDX_QQQ,2,0,0
EEM_up_up_down_GDX_QQQ,3,0,0
EEM_up_down_up_GDX_QQQ,1,126,0
EEM_up_down_up_GDX_QQQ,2,126,0
EEM_up_down_up_GDX_QQQ,3,126,0
EEM_down_up_up_GDX_QQQ,1,0,0
EEM_down_up_up_GDX_QQQ,2,0,0
EEM_down_up_up_GDX_QQQ,3,0,0
EEM_down_down_up_GDX_QQQ,1,0,0
EEM_down_down_up_GDX_QQQ,2,0,0
EEM_down_down_up_GDX_QQQ,3,0,0
EEM_down_up_down_GDX_QQQ,1,126,31
EEM_down_up_down_GDX_QQQ,2,126,20
EEM_down_up_down_GDX_QQQ,3,126,28
EEM_up_down_down_GDX_QQQ,1,0,0
EEM_up_down_down_GDX_QQQ,2,0,0
EEM_up_down_down_GDX_QQQ,3,0,0
EEM_up_up_up_GDX_SLV,1,128,0
EEM_up_up_up_GDX_SLV,2,128,0
EEM_up_up_up_GDX_SLV,3,128,0
EEM_down_down_down_GDX_SLV,1,128,0
EEM_down_down_down_GDX_SLV,2,128,0
EEM_down_down_down_GDX_SLV,3,128,0
EEM_up_up_down_GDX_SLV,1,0,0
EEM_up_up_down_GDX_SLV,2,0,0
EEM_up_up_down_GDX_SLV,3,0,0
EEM_up_down_up_GDX_SLV,1,0,0
EEM_up_down_up_GDX_SLV,2,0,0
EEM_up_down_up_GDX_SLV,3,0,0
EEM_down_up_up_GDX_SLV,1,126,25
EEM_down_up_up_GDX_SLV,2,126,11
EEM_down_up_up_GDX_SLV,3,126,9
EEM_down_down_up_GDX_SLV,1,0,0
EEM_down_down_up_GDX_SLV,2,0,0
EEM_down_down_up_GDX_SLV,3,0,0
EEM_down_up_down_GDX_SLV,1,0,0
EEM_down_up_down_GDX_SLV,2,0,0
EEM_down_up_down_GDX_SLV,3,0,0
EEM_up_down_down_GDX_SLV,1,126,0
EEM_up_down_down_GDX_SLV,2,126,2
EEM_up_down_down_GDX_SLV,3,126,0
EEM_up_up_up_GDX_SPY,1,128,0
EEM_up_up_up_GDX_SPY,2,128,0
