ticker,rule,full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit
INPIX,weighted,0.29699875480228716,1166,0.6029159519725558,0.4406037743605339,158,0.5822784810126582
INPSX,R4_strongest,0.3706298429029889,1262,0.6133122028526149,0.40106486322974894,184,0.5815217391304348
INPSX,majority_vote,0.3706298429029889,1262,0.6133122028526149,0.40106486322974894,184,0.5815217391304348
INPSX,priority_score,0.36310185764285535,1262,0.6117274167987322,0.4051929953759669,184,0.5815217391304348
INPSX,weighted,0.3706298429029889,1262,0.6133122028526149,0.40106486322974894,184,0.5815217391304348
LGPIX,R4_strongest,0.43304150421272863,191,0.6596858638743456,0.44739605827701506,48,0.625
LGPIX,majority_vote,0.43304150421272863,191,0.6596858638743456,0.44739605827701506,48,0.625
LGPIX,priority_score,0.43304150421272863,191,0.6596858638743456,0.44739605827701506,48,0.625
LGPIX,weighted,0.43304150421272863,191,0.6596858638743456,0.44739605827701506,48,0.625
LGPSX,R4_strongest,0.42871399658942483,191,0.6596858638743456,0.4415697976069033,48,0.625
LGPSX,majority_vote,0.42871399658942483,191,0.6596858638743456,0.4415697976069033,48,0.625
LGPSX,priority_score,0.42871399658942483,191,0.6596858638743456,0.4415697976069033,48,0.625
LGPSX,weighted,0.42871399658942483,191,0.6596858638743456,0.4415697976069033,48,0.625
LVPIX,R4_strongest,0.45123116620288906,184,0.6413043478260869,0.4070751967785502,48,0.6875
LVPIX,majority_vote,0.45123116620288906,184,0.6413043478260869,0.4070751967785502,48,0.6875
LVPIX,priority_score,0.45123116620288906,184,0.6413043478260869,0.4070751967785502,48,0.6875
LVPIX,weighted,0.45123116620288906,184,0.6413043478260869,0.4070751967785502,48,0.6875
LVPSX,R4_strongest,0.44528940522029814,168,0.6428571428571429,0.40172266784321037,48,0.6875
LVPSX,majority_vote,0.44528940522029814,168,0.6428571428571429,0.40172266784321037,48,0.6875
LVPSX,priority_score,0.44528940522029814,168,0.6428571428571429,0.40172266784321037,48,0.6875
LVPSX,weighted,0.44528940522029814,168,0.6428571428571429,0.40172266784321037,48,0.6875
MDPIX,R4_strongest,0.2931349460820169,393,0.5928753180661578,0.5774339628416361,60,0.6833333333333333
MDPIX,majority_vote,0.2931349460820169,393,0.5928753180661578,0.5774339628416361,60,0.6833333333333333
MDPIX,priority_score,0.2931349460820169,393,0.5928753180661578,0.5774339628416361,60,0.6833333333333333
MDPIX,weighted,0.2931349460820169,393,0.5928753180661578,0.5774339628416361,60,0.6833333333333333
MDPSX,R4_strongest,0.2805766926817632,387,0.5891472868217055,0.5764150046266961,57,0.6666666666666666
MDPSX,majority_vote,0.2805766926817632,387,0.5891472868217055,0.5764150046266961,57,0.6666666666666666
MDPSX,priority_score,0.2805766926817632,387,0.5891472868217055,0.5764150046266961,57,0.6666666666666666
MDPSX,weighted,0.2805766926817632,387,0.5891472868217055,0.5764150046266961,57,0.6666666666666666
MGPIX,R4_strongest,0.27589538516662093,400,0.64,0.7139340254663638,49,0.7551020408163265
MGPIX,majority_vote,0.27589538516662093,400,0.64,0.7139340254663638,49,0.7551020408163265
MGPIX,priority_score,0.27589538516662093,400,0.64,0.7139340254663638,49,0.7551020408163265
MGPIX,weighted,0.27589538516662093,400,0.64,0.7139340254663638,49,0.7551020408163265
MGPSX,R4_strongest,0.2712729139570114,400,0.635,0.7078731296997836,49,0.7551020408163265
MGPSX,majority_vote,0.2712729139570114,400,0.635,0.7078731296997836,49,0.7551020408163265
MGPSX,priority_score,0.2712729139570114,400,0.635,0.7078731296997836,49,0.7551020408163265
MGPSX,weighted,0.2712729139570114,400,0.635,0.7078731296997836,49,0.7551020408163265
MLPIX,R4_strongest,0.42021209828572176,216,0.6018518518518519,0.5588510809221118,60,0.65
MLPIX,majority_vote,0.42021209828572176,216,0.6018518518518519,0.5588510809221118,60,0.65
MLPIX,priority_score,0.42021209828572176,216,0.6018518518518519,0.5588510809221118,60,0.65
MLPIX,weighted,0.42021209828572176,216,0.6018518518518519,0.5588510809221118,60,0.65
MLPSX,R4_strongest,0.4170282475380811,219,0.6027397260273972,0.5552566473939436,60,0.65
