ticker,fund_group,source,condition,horizon,full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit,pass,abs_full_avg
MLPIX,long,triple_scan,GDX_up_down_down_SPY_XLF,1,0.42021209828572176,216,0.6018518518518519,0.5588510809221118,60,0.65,True,0.42021209828572176
MLPSX,inverse,triple_scan,GDX_up_down_down_SPY_XLF,1,0.4170282475380811,219,0.6027397260273972,0.5552566473939436,60,0.65,True,0.4170282475380811
OEPIX,long,sparse,ext_vix_chg_ge5,1,2.164058383389845,990,0.7555555555555555,2.102774833197992,89,0.7640449438202247,,2.164058383389845
OEPSX,inverse,sparse,ext_vix_chg_ge5,1,2.154299956414191,990,0.7555555555555555,2.099717734527897,89,0.7752808988764045,,2.154299956414191
OTPIX,long,triple_scan,GDX_up_down_down_LQD_SPY,1,0.3786957928985537,125,0.608,0.5145615852912048,42,0.6666666666666666,True,0.3786957928985537
OTPSX,inverse,triple_scan,GDX_up_down_down_LQD_SPY,1,0.37318538083179986,125,0.6,0.5068658353388548,42,0.6666666666666666,True,0.37318538083179986
PHPIX,long,triple_scan,GLD_down_down_up_QQQ_XLF,2,0.36969924598492676,143,0.6363636363636364,0.7081701480909285,30,0.7,True,0.36969924598492676
PHPSX,inverse,triple_scan,FXY_up_up_down_GDX_SPY,1,0.35613543868374026,311,0.5594855305466238,0.6951959838836429,38,0.5789473684210527,True,0.35613543868374026
PMPIX,long,triple_scan,SPY_down_up_up_TIP_UUP,1,0.6501757745620047,291,0.5567010309278351,1.5109579725791322,32,0.78125,True,0.6501757745620047
PMPSX,inverse,triple_scan,JNK_down_up_up_SPY_XLK,2,1.1377217408648859,201,0.5522388059701493,0.22404962213925803,33,0.6363636363636364,True,1.1377217408648859
REPIX,long,triple_scan,FXY_up_down_up_GLD_XLF,1,0.47723095958644807,131,0.5877862595419847,-0.2458296963558053,30,0.5666666666666667,True,0.47723095958644807
REPSX,inverse,triple_scan,FXY_up_down_up_GLD_XLF,1,0.47348581003101914,131,0.5877862595419847,-0.2476118920326363,30,0.5666666666666667,True,0.47348581003101914
SGPIX,long,triple_scan,GDX_up_down_down_SPY_UUP,1,0.3906175860139122,219,0.6027397260273972,0.551098676721963,39,0.6153846153846154,True,0.3906175860139122
SGPSX,inverse,triple_scan,GDX_up_down_down_SPY_UUP,1,0.37638523085722914,207,0.5942028985507246,0.5467507332363084,39,0.6153846153846154,True,0.37638523085722914
SLPIX,long,triple_scan,GDX_up_down_down_JNK_XLF,1,0.43407317191806494,174,0.5862068965517241,0.5174665581869781,58,0.5689655172413793,True,0.43407317191806494
SLPSX,inverse,triple_scan,GDX_up_down_down_JNK_XLF,1,0.43083230236902204,174,0.5804597701149425,0.5148883794267403,58,0.5689655172413793,True,0.43083230236902204
SMPIX,long,triple_scan,GDX_up_down_down_SPY_UUP,1,1.0302196614298085,200,0.66,1.4640556868622654,39,0.6923076923076923,True,1.0302196614298085
SMPSX,inverse,triple_scan,GDX_up_down_down_SPY_UUP,1,1.0204834571277426,198,0.6565656565656566,1.46386134006133,39,0.6923076923076923,True,1.0204834571277426
SPPIX,long,triple_scan,EEM_up_up_down_GLD_IWM,1,0.3315668152982321,290,0.5758620689655173,0.9217735695831965,34,0.5882352941176471,True,0.3315668152982321
SPPSX,inverse,triple_scan,EEM_up_up_down_GLD_IWM,1,0.32853163889864007,290,0.5655172413793104,0.9332267900854604,34,0.5588235294117647,True,0.32853163889864007
SRPIX,long,sparse,ext_vix_chg_le-5,1,1.1799002117073651,863,0.7508690614136733,0.5525462109700733,78,0.6538461538461539,,1.1799002117073651
SRPSX,inverse,gap_extra,ext_vix_chg_le-5,1,1.167755210663142,863,0.746234067207416,0.5222465172164538,78,0.6538461538461539,,1.167755210663142
SVPIX,long,triple_scan,GDX_up_down_down_SPY_UUP,1,0.39320900711507417,149,0.5973154362416108,0.5693900370556344,39,0.5641025641025641,True,0.39320900711507417
SVPSX,inverse,triple_scan,GDX_up_down_down_SPY_UUP,1,0.389194768945796,149,0.5973154362416108,0.5660882377468142,39,0.5641025641025641,True,0.389194768945796
TEPIX,long,triple_scan,EEM_down_up_down_GDX_UUP,1,0.7544835895600164,177,0.655367231638418,1.1482052809912526,33,0.6666666666666666,True,0.7544835895600164
TEPSX,inverse,triple_scan,EEM_down_up_down_GDX_UUP,1,0.6808894586318265,177,0.6497175141242938,1.1424382862851798,33,0.6666666666666666,True,0.6808894586318265
UAPIX,ultra_long,triple_scan,GDX_up_down_down_JNK_XLF,1,0.855317780930168,174,0.5804597701149425,1.0110332176159231,58,0.5689655172413793,True,0.855317780930168
UAPSX,inverse,triple_scan,GDX_up_down_down_JNK_XLF,1,0.7495399201664097,180,0.5777777777777777,1.0053259209016052,58,0.5689655172413793,True,0.7495399201664097
UBPIX,ultra_long,triple_scan,GDX_up_down_down_QQQ_XLV,1,1.107986844563412,161,0.6149068322981367,1.775995822277723,39,0.7692307692307693,True,1.107986844563412
UBPSX,inverse,triple_scan,GDX_up_down_down_QQQ_XLV,1,1.0185743465084733,178,0.6123595505617978,1.7708725703188004,39,0.7692307692307693,True,1.0185743465084733
UDPIX,ultra_long,triple_scan,GDX_up_down_down_UUP_XLK,1,0.6926671559358933,223,0.6233183856502242,0.842396694780944,40,0.6,True,0.6926671559358933
UDPSX,inverse,triple_scan,GDX_up_down_down_UUP_XLK,1,0.6909158260209876,223,0.6233183856502242,0.8390872352059529,40,0.6,True,0.6909158260209876
UEPIX,pair_scan,pair_scan,GDX_up_SPY_down,1,0.4206783765948881,128,0.59375,0.410993113988879,76,0.631578947368421,,0.4206783765948881
UEPSX,pair_scan,pair_scan,GDX_up_SPY_down,1,0.4106830598917376,141,0.5957446808510638,0.4049133189252091,76,0.631578947368421,,0.4106830598917376
UFPIX,ultra_long,triple_scan,JNK_down_down_up_TIP_XLV,3,0.9327782259019,306,0.5588235294117647,0.3541194820977159,34,0.5882352941176471,True,0.9327782259019
UFPSX,inverse,triple_scan,JNK_down_down_up_TIP_XLV,3,0.9313284948803469,306,0.5588235294117647,0.3533449172769558,34,0.5882352941176471,True,0.9313284948803469
UGPIX,ultra_long,triple_scan,LQD_up_down_up_XLF_XLV,2,2.2134177433454267,220,0.5727272727272728,0.4375640672526115,30,0.7,True,2.2134177433454267
UGPSX,inverse,triple_scan,LQD_up_down_up_XLF_XLV,2,2.2033231008302594,220,0.5772727272727273,0.43432946654668686,30,0.7,True,2.2033231008302594
UHPIX,ultra_long,triple_scan,TIP_down_up_down_UUP_XLE,1,0.8612781866487544,128,0.609375,1.6751103194192203,41,0.6585365853658537,True,0.8612781866487544
UHPSX,inverse,triple_scan,GLD_down_down_down_LQD_SPY,3,2.4358252915351963,134,0.5970149253731343,0.6427575134112862,55,0.5818181818181818,True,2.4358252915351963
UJPIX,pair_scan,pair_scan,HYG_down_XLK_down,1,1.3112354301594886,127,0.6299212598425197,0.9386572980659892,100,0.65,,1.3112354301594886
UJPSX,inverse,triple_scan,QQQ_down_down_down_SPY_XLV,1,0.9452549257788121,127,0.6299212598425197,1.1312308595201008,85,0.6470588235294118,True,0.9452549257788121
UKPIX,ultra_long,triple_scan,QQQ_up_up_down_SPY_TIP,2,0.2711573753509887,209,0.569377990430622,0.7745293137099802,40,0.6,True,0.2711573753509887
UKPSX,inverse,triple_scan,QQQ_up_up_down_SPY_TIP,2,0.3899149966596362,181,0.585635359116022,0.7678283507889103,40,0.6,True,0.3899149966596362
ULPIX,ultra_long,triple_scan,GDX_up_down_down_SPY_UUP,1,0.6646604553845289,210,0.6285714285714286,1.0442530388236584,39,0.6410256410256411,True,0.6646604553845289
ULPSX,inverse,triple_scan,GDX_up_down_down_UUP_XLK,1,0.6298687447400736,245,0.6285714285714286,0.8607204473972911,40,0.625,True,0.6298687447400736
UMPIX,ultra_long,triple_scan,GDX_up_down_down_XLK_XLU,1,0.7601035932933276,153,0.6013071895424836,1.273292383679829,36,0.6666666666666666,True,0.7601035932933276
