ticker,strategy_no,source,condition,horizon,full_trades,full_avg,full_hit,full_std,full_ann_vol,full_downside_std,full_avg_std,full_median,full_p10,full_p90,full_max,full_min,full_tstat,train_trades,train_avg,train_hit,train_std,train_ann_vol,train_downside_std,train_avg_std,train_median,train_p10,train_p90,train_max,train_min,train_tstat,test_trades,test_avg,test_hit,test_std,test_ann_vol,test_downside_std,test_avg_std,test_median,test_p10,test_p90,test_max,test_min,test_tstat,std,avg_std,flag_std_high,flag_avgstd_low,flag_test_std_high
BKPIX,2,triple_scan,EEM_up_GDX_down_GLD_down,2,449,0.3045235847877592,0.5857461024498887,1.9803405601997637,31.43693180101746,1.183440079816959,0.1537733412666359,0.22735155075247,-1.414810079160238,2.197783613564516,13.490333356874778,-9.34011371921401,3.258398683011806,392,0.299578345019351,0.5739795918367347,2.060320181707413,32.706568931791345,1.2187752687997842,0.1454037812565067,0.226287137470445,-1.4463516917509824,2.225526563963524,13.490333356874778,-9.34011371921401,2.8788479926259583,57,0.3385329530196199,0.6666666666666666,1.316817666676278,20.903832408250665,0.9037563192540146,0.2570841518811759,0.229647943971465,-0.872714989946588,1.8063749383868948,2.70398588521012,-5.7752081287723405,1.9409427826348773,3.081412388075107,0.017833325549466397,0,0,0
BKPIX,3,condition_expansion,combo_GLD_down__ext_vix_5dchg_ge10,1,414,0.3622272275789358,0.5821256038647343,2.7997033948977603,44.44391356585641,1.973017430483468,0.1293805723274353,0.373960100949215,-2.542063485183661,3.2724863749960544,9.65119261349065,-23.102290648470568,2.632505204790815,374,0.3440600820494017,0.5828877005347594,2.8462359469825973,45.18259492997024,2.028549596739325,0.1208824877692072,0.39466513740479,-2.544404882389327,3.2051282928010694,9.65119261349065,-23.102290648470568,2.3377560539175013,40,0.5320900382800795,0.575,2.3439034098820484,37.20831311822516,1.347249465440777,0.2270102240718425,0.1770971845284349,-1.8510565466645696,3.41947836896874,6.9877429017846895,-6.17835253611541,1.4357387204244114,3.081412388075107,0.017833325549466397,0,0,0
BKPSX,1,triple_scan,GDX_up_QQQ_down_SLV_up,2,349,0.484710671209508,0.6074498567335244,2.348027272127685,37.27377740188342,1.3709470869980374,0.2064331521883403,0.404239261552385,-2.0445055812206188,2.9587926578405392,15.915568147894795,-14.21135240280024,3.856489539273076,286,0.4860130407206287,0.6013986013986014,2.4821555684184644,39.40299809645656,1.4616790361835637,0.1958028122428675,0.445487697565225,-2.1409749036099823,2.965574671177065,15.915568147894795,-14.21135240280024,3.3113260193936918,63,0.4787983270796592,0.6349206349206349,1.6198846907712574,25.71487226628908,0.8442473070917829,0.2955755615245023,0.3856458768457199,-1.563295768324754,2.907168177148551,3.9029666707248905,-2.6792466277894595,2.3460582882663137,3.081974825407779,0.016193453426304814,0,0,0
BKPSX,2,triple_scan,EEM_up_GDX_down_GLD_down,2,449,0.3020188097197474,0.579064587973274,1.9828049914724413,31.47605343464176,1.184415681946779,0.152318967835292,0.2264162846159549,-1.435520330900411,2.1882448125723704,13.568466883087757,-9.292337858465723,3.2275810625174897,392,0.2971204389143975,0.5663265306122449,2.063147892264156,32.75145744526822,1.2198295608780452,0.1440131558326287,0.2229934906436099,-1.4624834276842538,2.220878952689473,13.568466883087757,-9.292337858465723,2.851315013941151,57,0.3357058510477679,0.6666666666666666,1.3155826845553151,20.884227674856596,0.904041589586106,0.2551765502760787,0.236223424831265,-0.8800113943977389,1.7990100766341066,2.69942273452643,-5.772822152349925,1.9265407063479367,3.081974825407779,0.016193453426304814,0,0,0
BKPSX,3,condition_expansion,combo_GLD_down__ext_vix_5dchg_ge10,1,414,0.3580871401273103,0.5821256038647343,2.7995178155763223,44.4409675854584,1.9750392844256937,0.1279102915991241,0.36135068753442,-2.542614300565324,3.2654363234508383,9.717554808769387,-23.09680100248673,2.602589417589106,374,0.3398196115664613,0.5828877005347594,2.845942710867293,45.17793995095114,2.030475529680688,0.1194049375164344,0.399647546803765,-2.545106579922256,3.146928137366637,9.717554808769387,-23.09680100248673,2.3091815919575387,40,0.5288885321712489,0.575,2.344883862112231,37.22387731486582,1.3507798173634322,0.2255499902220467,0.1803794871730349,-1.856017127558567,3.4003352489414813,6.99946881895996,-6.19339301607245,1.4265033906607494,3.081974825407779,0.016193453426304814,0,0,0
BLPIX,1,condition_expansion,combo_XLV_big_down__self_down,1,606,0.2470324215760701,0.570957095709571,1.7979015010838724,28.540801521945905,1.0331949291204376,0.1374004201159772,0.158032636104085,-1.554994795058495,1.861489126468025,11.44950268829392,-7.628746481205489,3.3823953821983186,571,0.2247052497644665,0.5691768826619965,1.7949982124959387,28.49471324441836,1.057622202434724,0.1251841078170293,0.15189902661409,-1.58152038680529,1.86399341188394,11.44950268829392,-7.628746481205489,2.9913501542479035,35,0.6112842817025174,0.6,1.8323331058267536,29.08738630228912,0.4840174325417466,0.3336098004007323,0.40691483862964,-0.893776613562588,1.773800367656304,9.292442127195107,-1.6143634259563,1.973662195594671,1.1712010874911822,0.026654593894188047,1,0,0
BLPSX,1,condition_expansion,combo_XLV_big_down__self_down,1,611,0.2445402017105498,0.5679214402618658,1.7917719982498996,28.44349868099096,1.0311236686376553,0.1364795308495739,0.15470121778531,-1.55738665208731,1.85332172278007,11.47250086114213,-7.62522872827081,3.373557571807837,577,0.2203390720201853,0.5649913344887348,1.7877284001854925,28.37930855170902,1.0551392724513644,0.123250865174667,0.14698223192644,-1.583062287556,1.85510155333381,11.47250086114213,-7.62522872827081,2.9605873770516187,34,0.6552476085146761,0.6176470588235294,1.8374815448187416,29.169115237567052,0.4614552432510917,0.3566009195370248,0.415869070292435,-0.716826731724735,1.784765632940055,9.2894529825132,-1.6139539514014902,2.079322807477991,1.1820842011916417,0.022900110444820966,1,0,0
BMPIX,1,triple_scan,GDX_up_XLF_down_XLK_down,1,314,0.48871846330273,0.5764331210191083,2.42156228940695,38.441109612138064,1.2518808453627417,0.2018194887823509,0.335132301554765,-1.9939620179822568,2.826586486678257,18.063021376861528,-6.71987451104194,3.576250452700987,265,0.3889523026175757,0.5547169811320755,2.3938038382264133,38.0004578605139,1.319946157345346,0.1624829471849094,0.20982227636328,-2.0296678786948,2.733249178888364,18.063021376861528,-6.71987451104194,2.645030747148684,49,1.0282701486408097,0.6938775510204082,2.5237209713529483,40.06282841230959,0.7877148811153509,0.4074420905927494,0.62380437494802,-1.303473152989154,3.3375825064823483,13.71532829687363,-2.71763395023624,2.852094634149246,2.346768866603817,0.02407306298333623,0,0,0
BMPIX,2,triple_scan,GLD_up_XLF_down_XLK_down,2,357,0.327265357507526,0.6078431372549019,2.044132934760721,32.449604352800925,1.2098351187986531,0.1600998408383036,0.28051896327234,-1.677438071842879,2.183133344027364,13.158213447458166,-10.063138140611786,3.0249974175216594,302,0.3375527673825469,0.6158940397350994,2.1569992620602894,34.24130175336819,1.284506711648504,0.1564918325749117,0.3373396312767074,-1.7502499399568996,2.2276859852849875,13.158213447458166,-10.063138140611786,2.7195381016123985,55,0.2707781251028648,0.5636363636363636,1.2684551692460106,20.13610156235574,0.6640659821363123,0.213470788458231,0.104320016935265,-1.017143103939248,1.8712532852230623,4.44438446993392,-2.07594666519529,1.5831417384030513,2.346768866603817,0.02407306298333623,0,0,0
BMPIX,3,triple_scan,GDX_up_JNK_down_XLF_down,1,210,0.5934086616038332,0.5714285714285714,2.608936179537558,41.41557790497203,1.4871214016598129,0.2274523486845188,0.4113418799848649,-2.013846602085193,3.4912990389955496,13.71532829687363,-12.244485677956469,3.296097676593009,152,0.5273029476925912,0.5592105263157895,2.667623224778905,42.34720586631084,1.658340166463767,0.1976677001439341,0.3653955908792949,-2.00885924885187,3.764539616138849,9.8179287820673,-12.244485677956469,2.4370110774038807,58,0.7666512221988119,0.603448275862069,2.462402470212844,39.08942738360592,0.8944976717477126,0.3113427766065165,0.4424917092327149,-1.790844977736789,3.2364047005467254,13.71532829687363,-2.8243286194775,2.3711159447849037,2.346768866603817,0.02407306298333623,0,0,0
