ticker,fund_name,fund_theme,condition,horizon,full_avg,full_hit,full_trades,test_avg,test_hit,full_tstat,full_std,full_min,test_std,poor_train,high_std,poor_mono,direction_conflict,btc_weak_link,threshold_suboptimal,category,reason
CYPIX,Consumer Discretionary UltraSector ProFund - Investor Class,可选消费,EEM_down_GDX_up_GLD_up,1,0.4422950555025714,0.6366366366366366,333,0.7330849644196292,0.6896551724137931,3.5084923108262043,2.300454627743218,-7.82592404250193,2.992220443249229,0,0,0,0,0,0,acceptable,各项指标可接受
CYPIX,Consumer Discretionary UltraSector ProFund - Investor Class,可选消费,FXY_up_GDX_up_QQQ_down,1,0.3481794233672681,0.6007984031936128,501,0.9493383500190472,0.7073170731707317,3.837917065522959,2.0306093375185394,-6.93854432172189,3.507737856165168,0,0,0,0,0,0,acceptable,各项指标可接受
CYPIX,Consumer Discretionary UltraSector ProFund - Investor Class,可选消费,combo_XLK_big_down__self_big_down,1,0.482006725074059,0.5668202764976958,217,1.006451882763861,0.6904761904761905,2.4516654823792776,2.896154671736286,-6.5012522970862,3.259533624594924,0,0,1,0,0,0,acceptable,各项指标可接受
CYPSX,Consumer Discretionary UltraSector ProFund - Service Class,可选消费,EEM_down_GDX_up,1,0.3924902957465147,0.628140703517588,398,0.5271144393097938,0.6666666666666666,3.435241361630589,2.279361472366488,-6.943942133815551,2.881338234881057,0,0,0,0,0,0,acceptable,各项指标可接受
CYPSX,Consumer Discretionary UltraSector ProFund - Service Class,可选消费,GDX_up_TIP_up_XLV_down,1,0.327022152006454,0.594488188976378,254,0.5854357238898261,0.6,2.529100937421968,2.060762144399572,-7.01213158269987,1.9992215837949288,0,0,0,0,0,0,acceptable,各项指标可接受
CYPSX,Consumer Discretionary UltraSector ProFund - Service Class,可选消费,EEM_down_SLV_up_XLF_down,1,0.2182725559621645,0.5913312693498453,323,0.4827817434799983,0.6585365853658537,1.5422542831695016,2.5435741939588508,-8.76064941327761,2.3758606164305225,1,0,0,0,0,0,excusable,全历史偏弱但2025后表现强
ENPIX,Energy UltraSector ProFund - Investor Class,能源,combo_XLE_down__ext_vix_5dchg_ge10,1,0.3747839487347134,0.5561224489795918,588,0.2911476063275451,0.627906976744186,2.522238129473924,3.603160093719192,-24.85601891149383,3.1632519094115463,0,1,0,0,0,0,acceptable,各项指标可接受
ENPIX,Energy UltraSector ProFund - Investor Class,能源,GDX_up_SPY_down_XLV_down,2,0.209522068612,0.5520446096654275,538,0.59184283063434,0.6136363636363636,2.186100442306289,2.223058027012733,-19.815615918225472,1.3437110834890085,0,0,0,0,0,0,acceptable,各项指标可接受
ENPIX,Energy UltraSector ProFund - Investor Class,能源,combo_XLC_down__ext_sect_rotation_down,1,0.4096786066114584,0.599009900990099,404,0.8199799030100435,0.7065217391304348,2.9949773263925854,2.749415833500424,-13.24491723213343,2.657689808624004,0,0,0,0,0,0,acceptable,各项指标可接受
ENPSX,Energy UltraSector ProFund - Service Class,能源,combo_XLE_down__ext_vix_5dchg_ge10,1,0.3717389000691371,0.5561224489795918,588,0.2870505046317788,0.627906976744186,2.501624167627749,3.603334739734796,-24.87967266843249,3.1686885076630547,0,1,0,0,0,0,acceptable,各项指标可接受
ENPSX,Energy UltraSector ProFund - Service Class,能源,combo_XLC_down__ext_sect_rotation_down,2,0.2640724316582007,0.5827814569536424,453,0.4674971575595298,0.6413043478260869,2.7050454792920804,2.077770588447417,-10.20737051622408,1.6149217164681051,0,0,0,0,0,0,acceptable,各项指标可接受
ENPSX,Energy UltraSector ProFund - Service Class,能源,GDX_up_HYG_down_SLV_up,3,0.2501887538065594,0.5659824046920822,341,0.2044524437512658,0.6153846153846154,2.4623973827462877,1.87623326896675,-10.673302883408548,1.1306705352361182,0,0,0,0,0,0,acceptable,各项指标可接受
