source,metric,n,min,p10,p25,median,p75,p90,max
merged_full,downside_std,103,0.709345878600012,0.8515698283267852,0.96226354790907,1.364463787959474,1.833356464504197,2.0029521025765615,2.984292272863686
merged_full,avg_std,103,0.0759284061583314,0.10732350709829194,0.125957642676673,0.1563659706169212,0.18742629469520405,0.22351501029898035,0.2703627879288595
merged_full,median,103,0.11273033099239,0.185427801484278,0.25563527494910365,0.30385368794443,0.35509275164343124,0.381014742745404,0.497846080375055
merged_full,p10,103,-4.55319226826766,-2.8544198483023666,-2.496364405280943,-2.00616956094989,-1.4569215220541993,-1.2673162792013692,-0.7334325777312138
merged_full,p90,103,1.6099419801130308,1.865048330212127,2.035881191842861,2.58333333333333,3.0944848466074353,3.7339809793443113,5.28897359717472
merged_full,max,103,4.72747497219132,8.917415280358536,10.371696433621592,16.28078817733989,22.53717416184966,28.061018687525454,50.0
merged_full,min,103,-40.49853508812723,-24.874941917044758,-17.601259052481154,-9.05138285229332,-6.473803365265207,-4.47537880170135,-3.242651749256025
merged_full,tstat,103,1.050184460435371,2.4094489421000995,3.1047420596482276,3.918966227207025,4.832656758537244,5.629306379350067,6.510877286024018
merged_train,avg,103,0.1386886551384099,0.22121230756904153,0.25629285081686237,0.3211896978623689,0.3790674778313462,0.4236684545597976,0.5664374536137751
merged_train,hit,103,0.48,0.540104347826087,0.5603092217590963,0.5728155339805825,0.5854635828768513,0.6063546436436087,0.6713286713286714
merged_train,std,103,1.2104611845762732,1.5898152762390187,1.7023491834547049,2.2651610789753134,2.987222413629583,3.3079392541076373,5.208561336236762
merged_train,ann_vol,103,19.215475596512835,25.237535108759392,27.023955504090125,35.95831736682851,47.420685703812,52.51190771086384,82.6833479046525
merged_train,downside_std,103,0.6785946587700901,0.8709329333393812,0.9953482030192486,1.3589557561686552,1.826897021394255,2.0935082115173733,3.207205091424685
merged_train,avg_std,103,0.0469394688802395,0.09255015753058052,0.11552781012354525,0.1375233985630166,0.16805761579107248,0.20994413203161308,0.2692331056833554
merged_train,median,103,-0.1047689702626099,0.15243916509654998,0.213671920394845,0.28787926928641,0.33983762950402996,0.3600470981149379,0.49708985261043
merged_train,p10,103,-4.7300167172906855,-2.9974748877694397,-2.5253964717768294,-2.10289958471052,-1.5219324215573486,-1.3581192897334229,-0.892390743519565
merged_train,p90,103,1.384491895591538,1.856879925043836,2.0112550614685185,2.5827975649465547,3.090658730193934,3.589558225358249,5.698434980702714
merged_train,max,103,4.183842367829145,7.527088524981398,9.426896485644274,13.78102845935398,22.227112960299287,27.94375428162577,50.0
merged_train,min,103,-40.49853508812723,-24.874941917044758,-17.559568458271816,-8.59702630575677,-6.2847567687979575,-4.391017899603073,-2.865638592149315
merged_train,tstat,103,0.6065916207571201,1.7031862600603906,2.4991803402288246,3.3031753783587265,4.323406637043208,4.851717759733847,5.447807328959786
merged_test,avg,103,0.2134638844159993,0.3231954353938424,0.39159355339238644,0.4782942770772816,0.6487129327316736,0.7732390320162513,1.1773474825563603
merged_test,hit,103,0.5506329113924051,0.572014652014652,0.5923454517564044,0.6158940397350994,0.6396721311475411,0.6653333333333333,0.7551020408163265
merged_test,std,103,0.8410769554924582,1.4686657606168863,1.6734117078216668,2.1684756369226283,2.6881047510215454,3.080735296066994,3.825142197560606
merged_test,ann_vol,103,13.351682746202314,23.314346170006807,26.564587319520065,34.423483556398004,42.67234001576526,48.90515669167325,60.72224990522678
merged_test,downside_std,103,0.3958284207136456,0.5546660856424365,0.759656493226241,1.032255607547241,1.503444258671561,1.6824042630221105,2.205498007514397
merged_test,avg_std,103,0.109338836220253,0.16274579171717352,0.18965421212697925,0.2477786257956056,0.285796857849429,0.3552187891708501,0.4061441472275222
merged_test,median,103,0.11991287962216,0.20870334920751799,0.266728943829745,0.415869070292435,0.5430121223393755,0.6452265752892219,0.9340631451958452
merged_test,p10,103,-3.73450049750904,-2.775248391416566,-2.1794233582949065,-1.59207350771855,-1.155221507581094,-0.8070969096552457,-0.552965848546008
merged_test,p90,103,1.1738122540056206,1.652835393137168,1.9693545426906511,2.4628503303730187,3.2304848567856537,3.980793854708227,5.564356497578535
merged_test,max,103,2.05599930793851,4.795630272643929,7.766146077344155,10.632592275429923,13.289496881922965,17.222215105930626,28.06228585413606
merged_test,min,103,-17.565862267618908,-12.66123002387154,-9.58492244450235,-5.85000573028372,-2.938824005487205,-2.0969622587103003,-1.53591682419659
merged_test,tstat,103,0.6468572784702792,1.5651982020496995,1.909967959948462,2.30581754402491,2.8096668981388384,3.112737296172997,4.184241182505343
