ticker,direction,streak_days,n,avg,hit,std
BLPIX,up,2,1741,0.006070510951130585,0.49167145318782307,0.8957276169289812
BLPIX,down,3,509,0.2371580660700465,0.5736738703339882,1.5722302012322698
BLPIX,up,3,854,-0.01439122583671316,0.4648711943793911,0.809117857550578
BLPIX,down,4,197,0.27719655702089596,0.5989847715736041,1.9229042519955755
BLPIX,up,4,396,-0.01773000521044193,0.4494949494949495,0.6741109473753751
BLPIX,down,5,72,0.5398783029217055,0.625,2.389257068360185
BLPIX,up,5,178,0.0005447202280639876,0.449438202247191,0.6584570616236616
BLPSX,down,1,2928,0.09001831690725219,0.542691256830601,1.2969664316748295
BLPSX,up,1,3435,-0.00856989978343821,0.49461426491994176,1.003312749638879
BLPSX,down,2,1222,0.12620750760198,0.5507364975450082,1.4563730250277716
BLPSX,up,2,1697,-0.002336608947620236,0.48850913376546845,0.8955418984822404
BLPSX,down,3,509,0.23600138280260832,0.5697445972495089,1.5606737941249662
BLPSX,up,3,827,-0.02096239459155997,0.4607013301088271,0.8083300462980972
BLPSX,down,4,199,0.2944910834218498,0.5979899497487438,1.9020404279442464
BLPSX,up,4,380,-0.020544771634153945,0.45,0.6748115891211147
BLPSX,down,5,73,0.5761559114516293,0.6301369863013698,2.387184803492688
BLPSX,up,5,171,0.006064249567268541,0.45614035087719296,0.6642469966341003
BMPIX,down,1,2819,0.06920057601804122,0.5214615111741753,2.5723238784108635
BMPIX,up,1,3155,0.07702651810676746,0.4995245641838352,2.0704474595192552
BMPIX,down,2,1252,0.04240648905730693,0.5239616613418531,2.799273068422083
BMPIX,up,2,1574,0.08232706080302475,0.4923761118170267,1.909107360546429
BMPIX,down,3,559,0.06718221349510285,0.5295169946332737,3.0704106156611495
BMPIX,up,3,774,-0.021245432779885286,0.4702842377260982,1.847932272566691
BMPIX,down,4,247,0.06634823296866588,0.5141700404858299,3.4915689934401657
BMPIX,up,4,364,-0.018986592202285907,0.46703296703296704,1.6599018733917301
BMPIX,down,5,117,0.2871037499096611,0.49572649572649574,3.686632032624423
BMPIX,up,5,170,0.11313110842013245,0.48823529411764705,1.6604630847811324
BMPSX,down,1,2817,0.0632045424344617,0.5204117855875044,2.5711920901858702
BMPSX,up,1,3148,0.07348870068398075,0.49809402795425667,2.0645755157170775
BMPSX,down,2,1248,0.04032884888264469,0.5232371794871795,2.8038923560857176
BMPSX,up,2,1566,0.08315043935908188,0.49169859514687103,1.9113401128020533
BMPSX,down,3,557,0.06009983756556283,0.5278276481149012,3.0759976255258374
BMPSX,up,3,769,-0.01986053774859814,0.4694408322496749,1.850846592846628
BMPSX,down,4,247,0.05781266709178094,0.5101214574898786,3.4905245407621126
BMPSX,up,4,361,-0.023801974866851327,0.4598337950138504,1.6543783781624752
BMPSX,down,5,117,0.26192125740587185,0.48717948717948717,3.680198327756865
BMPSX,up,5,166,0.11277535152681631,0.4879518072289157,1.680877166000277
BRPIX,down,1,3398,0.008624104144072595,0.4429075927015892,1.0413244130726
BRPIX,up,1,2900,-0.09416364887107075,0.40379310344827585,1.3065343656902764
BRPIX,down,2,1637,0.008582575826336957,0.44105070250458156,0.9490125874790245
BRPIX,up,2,1171,-0.11747499686855371,0.40563620836891545,1.4833782180299897
BRPIX,down,3,767,0.011747844153027069,0.4471968709256845,0.8373814124137062
BRPIX,up,3,475,-0.24436980993895,0.3705263157894737,1.6144234635947803
BRPIX,down,4,342,0.015122120450589647,0.4590643274853801,0.7217234187200232
BRPIX,up,4,176,-0.32435164616419937,0.3465909090909091,2.006529952850856
BRPIX,down,5,144,-0.00010205843951049953,0.4791666666666667,0.6714137605808465
BRPIX,up,5,61,-0.5717767981951708,0.3442622950819672,2.5517236468126074
BRPSX,down,1,3288,0.0035512833317553195,0.4406934306569343,1.027680860648682
BRPSX,up,1,2753,-0.10430504586891465,0.4028332727933164,1.3010460178281817
BRPSX,down,2,1588,-0.0035190787980623893,0.4345088161209068,0.9335918724053953
BRPSX,up,2,1109,-0.15889578623941233,0.39945897204688907,1.4720303321506103
BRPSX,down,3,750,-0.009956021730922188,0.444,0.8500080345529035
BRPSX,up,3,443,-0.2654102557459484,0.3747178329571106,1.6133842700604681
BRPSX,down,4,342,-0.015296494774107985,0.4473684210526316,0.7390049187703924
BRPSX,up,4,166,-0.373599830517943,0.3493975903614458,1.994391186162915
BRPSX,down,5,148,-0.03996611629857603,0.4594594594594595,0.6722585966690644
BRPSX,up,5,58,-0.5912722301762192,0.3275862068965517,2.473514438999013
BTCFX,down,1,636,0.23251411217664458,0.5235849056603774,3.55419365348077
BTCFX,up,1,613,-0.08419510234517823,0.45024469820554647,3.34803824084161
BTCFX,down,2,297,0.3137951503308709,0.5286195286195287,4.08730115084269
BTCFX,up,2,275,0.10300003699211123,0.46545454545454545,3.4606529420368184
