ticker,n_strategies,full_trades,full_avg,full_hit,full_std,full_ann_vol,full_downside_std,full_avg_std,full_median,full_p10,full_p90,full_max,full_min,full_tstat,train_trades,train_avg,train_hit,train_std,train_ann_vol,train_downside_std,train_avg_std,train_median,train_p10,train_p90,train_max,train_min,train_tstat,test_trades,test_avg,test_hit,test_std,test_ann_vol,test_downside_std,test_avg_std,test_median,test_p10,test_p90,test_max,test_min,test_tstat
SPPIX,1,423,0.2866728234755039,0.5791962174940898,2.175989445323616,34.542761566966014,1.364463787959474,0.13174366451619873,0.36627812854135,-2.2492376029911076,2.618062252285702,12.781954887218049,-6.508693820384639,2.709567179142509,367,0.27111917458601725,0.5803814713896458,2.015518505365151,31.99536436826876,1.3234158650768433,0.13451584486290719,0.33178155351275995,-2.132846491422136,2.5827975649465547,8.42838321439116,-6.508693820384639,2.576952870065669,56,0.38860477244767555,0.5714285714285714,3.047092875224841,48.37109981737018,1.6077404216965232,0.12753295956527116,0.481912439556695,-2.925297986978955,3.07254568221287,12.781954887218049,-6.23052959501557,0.9543692804290785
SPPSX,1,423,0.28939703277508283,0.5791962174940898,2.180035750750844,34.606994674300346,1.3678090480929994,0.13274875546211076,0.37453183520599,-2.2658898627901243,2.58916494704986,12.5,-6.50918904147024,2.730238848243999,367,0.27332362678114014,0.5803814713896458,2.0188178545942246,32.047739913559646,1.324312058654863,0.13538795793743227,0.35505483856477,-2.151077739853882,2.5796970774919323,8.44496136150267,-6.50918904147024,2.593660153082846,56,0.39473524705681395,0.5714285714285714,3.0546043791066744,48.490341244830745,1.6242904060732597,0.12922630824364076,0.377546352297115,-2.9754451422577803,2.9984327377736903,12.5,-6.30914826498422,0.9670411416106893
SVPIX,3,515,0.22698371717522084,0.537864077669903,1.6556346555256078,26.282385363005094,0.9710930635786292,0.13709770837284221,0.11273033099239,-1.544603773900042,2.010692933443798,8.93631867965172,-9.05138285229332,3.1112421225547062,431,0.1907799982515286,0.5266821345707656,1.6643707550684654,26.42106664391973,1.0111693537907758,0.11462590151295989,0.10063921560661,-1.5710469234114701,1.97089185091012,8.93631867965172,-9.05138285229332,2.3796955551689662,83,0.4241706698692492,0.6024096385542169,1.6132417187135728,25.609418354103173,0.7337593892305707,0.26293063522278004,0.2315410342166,-1.257306954590602,2.248469759733686,8.595412627098591,-3.34677419354839,2.395412088119356
SVPSX,3,531,0.2321159756926032,0.544256120527307,1.6606712036516997,26.36233808585218,0.9934402463736941,0.13977238551628787,0.16132014908205,-1.51333703711324,1.99135558971974,8.91268943053524,-9.05581176470587,3.22083619403366,455,0.19362015569001037,0.5362637362637362,1.6629788149891982,26.398970280181864,1.0321484984396876,0.11642971873413073,0.15729120161385,-1.5561169053272879,1.935204359964284,8.91268943053524,-9.05581176470587,2.483530778760654,75,0.47604831737965514,0.6,1.6455041091248,26.121567924474665,0.7214019906243591,0.28930241786685823,0.23866348448688,-1.109921146115122,2.283944480375052,8.60443903922163,-3.34804048793148,2.505432432489603
TEPIX,3,1121,0.443516731113518,0.6092774308652988,2.55207504698058,40.51293540890458,1.5449576356816428,0.17378671196924755,0.40235418066885004,-2.49815887940846,3.08594417139496,20.36189480573014,-11.03195655565985,5.818611658221329,943,0.4070466038654513,0.6044538706256628,2.4744521509598574,39.28071013541184,1.5374962840809636,0.16449968681251526,0.35449679180403,-2.4296238449952683,3.0140362631912887,13.77089010973164,-11.03195655565985,5.051506565829141,177,0.6421782569486711,0.6384180790960452,2.9368714032501995,46.621388193463915,1.588176154965871,0.21866066598557238,0.6168251204035899,-2.783097970426448,3.365386487313064,20.36189480573014,-9.86987570216326,2.9090909529126048
TEPSX,3,1121,0.4277609030640376,0.6048171275646744,2.536711094045598,40.269040217179395,1.5463733070360544,0.16862815165200223,0.38129342262021,-2.49337189684261,3.08982510958477,20.349135425334268,-11.04774489689467,5.645896156204851,943,0.38906670337988714,0.5991516436903499,2.455184647361365,38.97484799797192,1.5386298521745683,0.15846739014029954,0.34820783159084,-2.434492877115092,3.0107760806802863,13.78102845935398,-11.04774489689467,4.866264959372728,177,0.6381700892192773,0.6384180790960452,2.9377670904368745,46.635606786754614,1.5910533178822865,0.2172296405990358,0.60960461694279,-2.784685646239256,3.3745618649076183,20.349135425334268,-9.8800505050505,2.890052398417227
UAPIX,3,2090,0.32680616465354856,0.5550239234449761,3.1690592690093697,50.3072562949376,2.082679695119352,0.10312403048104125,0.33999380514189503,-2.931971389973176,3.4789718963981215,18.8039710979263,-32.34797276346632,4.714471575367527,1982,0.2979694973075946,0.5504540867810293,3.1717862035445266,50.35054503866707,2.106056551504095,0.09394375225373276,0.32166591214639506,-2.9823999328483017,3.472380179585773,18.8039710979263,-32.34797276346632,4.182343775976127,108,0.8560124116876302,0.6388888888888888,3.085221041444166,48.97636569194979,1.593910542665689,0.27745578037641605,0.682440725233685,-1.9680835379558057,4.157746379025165,17.22282210720978,-8.762026805596399,2.883405050793747
UAPSX,3,1955,0.3453936292903662,0.5641943734015346,3.2226632052637916,51.158192402677756,2.112414121802629,0.10717645850370329,0.36881307398212665,-2.915400288484934,3.548447214254677,18.79041483176169,-32.37111049045135,4.73884804759651,1800,0.31685633146562786,0.5566666666666666,3.253373238151126,51.64569906132476,2.156326822743115,0.09739316957242065,0.34795349167631,-3.001243626499724,3.5214357528365485,18.79041483176169,-32.37111049045135,4.1320422387545985,155,0.6767945072550704,0.6516129032258065,2.8301354552147675,44.92700754674912,1.5117645753015623,0.23913855642775628,0.55506865322818,-1.9575462959894,3.6975822217878918,17.21978710081402,-8.74403815580286,2.977251017533529
UBPIX,3,1068,0.46446749738442583,0.5720973782771536,3.873195634970457,61.48507457539642,2.6953856875480877,0.11991841909322212,0.483143522297085,-3.4409770626243175,4.482641589310863,22.44002827090176,-40.49853508812723,3.9189662272070245,907,0.4609831803083956,0.5700110253583242,4.0339693328327355,64.03727790681937,2.838932806820845,0.11427533088970802,0.48298300241491,-3.75450046658497,4.5383144200087,22.44002827090176,-40.49853508812723,3.4415662253844106,160,0.46957535022397445,0.58125,2.812812673859124,44.65201691785125,1.6754267499351352,0.1669415651415301,0.440401780497805,-2.2227442984537182,3.8018723368527074,12.94271929223631,-12.60616797802574,2.11166232800242
UBPSX,3,1068,0.4597776411916945,0.5702247191011236,3.872938411096602,61.48099127298749,2.697029828612872,0.11871545384619502,0.497846080375055,-3.445252315282579,4.480965933902881,22.51483989632974,-40.458642753724725,3.879652999003623,907,0.45650243367539545,0.5689084895259096,4.0336845093372595,64.03275647399991,2.840273875646217,0.1131725678145313,0.49510338531659004,-3.717822179136768,4.537714290070281,22.51483989632974,-40.458642753724725,3.4083549266326947,160,0.4635725855925538,0.575,2.8126595049639573,44.649585437020036,1.6801964910267164,0.16481646099515848,0.45717063423497756,-2.209893384509217,3.8643901397552227,12.88797680307114,-12.67499553533299,2.084781650532011
