ticker,condition,full_std,full_avg_std,std,avg_std,std_ratio,avgstd_ratio,std_ratio_band
IDPSX,GDX_up_SPY_down_XLK_down,2.0881381906195418,0.1934284657691367,1.9391288638076376,0.0296838263062287,1.0768434370675666,6.5162915243358865,1.0-1.5x
IDPSX,QQQ_down_SLV_up_TLT_down,1.9391688834285288,0.1755344188375132,1.9391288638076376,0.0296838263062287,1.0000206379378072,5.913470083898179,1.0-1.5x
IDPSX,combo_SPY_down__ext_usd_gold_ratio_le-1,2.763274166166096,0.0898367013779089,1.9391288638076376,0.0296838263062287,1.4250080114532366,3.0264528720496537,1.0-1.5x
INPIX,GLD_up_XLF_down_XLK_down,2.879241058010487,0.1691117254430776,3.0042546027055144,0.0206161033432599,0.9583878328479734,8.202894728812364,0.5-1.0x
INPIX,combo_XLK_big_up__ext_vix_5dchg_down,2.30840391118494,0.1301634215138259,3.0042546027055144,0.0206161033432599,0.7683782556598504,6.3136771943074645,0.5-1.0x
INPIX,GLD_down_TIP_up_XLF_up,1.4589381782701565,0.2433367541354917,3.0042546027055144,0.0206161033432599,0.48562401367590274,11.803237017389453,<0.5x
INPSX,combo_IWM_down__ext_usd_gold_ratio_le-1,2.907960269203347,0.2127371678184677,2.862519242141299,0.0203133078080482,1.0158744878962127,10.472797922856293,1.0-1.5x
INPSX,FXY_up_IWM_up_TIP_up,2.333279792444704,0.1359431484596821,2.862519242141299,0.0203133078080482,0.8151140988311056,6.692319623386053,0.5-1.0x
INPSX,GLD_up_LQD_down_XLK_down,1.591610392193555,0.1941708771834219,2.862519242141299,0.0203133078080482,0.5560173600799817,9.558801501865233,0.5-1.0x
LGPIX,combo_XLV_down__ext_usd_gold_ratio_le-1,1.815364183933124,0.2492789181550436,1.3669310000409651,0.0269367674933894,1.3280583905688874,9.254225408309278,1.0-1.5x
LGPSX,combo_XLV_down__ext_usd_gold_ratio_le-1,1.815048685991134,0.2469334245016701,1.365534458967018,0.0247343017274508,1.3291855610616803,9.98344029367187,1.0-1.5x
LVPIX,combo_XLV_down__ext_usd_gold_ratio_le-1,1.686546295358776,0.2639237563620041,1.1723215355314658,0.0306341240028513,1.4386379881643896,8.615351832402295,1.0-1.5x
LVPSX,combo_XLV_down__ext_usd_gold_ratio_le-1,1.694142760572363,0.2589460326780211,1.1758432857267462,0.0278892116026215,1.440789585769735,9.284810068050865,1.0-1.5x
MDPIX,GDX_up_SPY_down_XLF_down,1.5850233386609918,0.1849404604538212,1.3162256231166027,0.0307291804727704,1.2042185707553092,6.018398720971416,1.0-1.5x
MDPSX,GDX_up_IWM_down_XLF_down,1.6450259051035934,0.1705606530640587,1.3151190607021983,0.0276510071163155,1.2508570168736233,6.168334207379349,1.0-1.5x
MGPIX,GDX_up_XLF_down_XLK_down,1.44411351778175,0.1910482671683689,1.314158359273301,0.0310070392439266,1.098888507303116,6.161448233268187,1.0-1.5x
MGPSX,GDX_up_XLF_down_XLK_down,1.4439789224280395,0.1878648709780805,1.3070600120026366,0.0278198698758653,1.1047533465702313,6.752902577055537,1.0-1.5x
MLPIX,GDX_up_SPY_down_XLF_down,1.5542527191141855,0.2703627879288595,1.3610350630227073,0.0298907870785245,1.1419637607736302,9.045020702151595,1.0-1.5x
MLPSX,GDX_up_SPY_down_XLF_down,1.545223040451815,0.26988223487539,1.3440959452030274,0.0272648792589138,1.1496374540572005,9.898530351538472,1.0-1.5x
OEPIX,combo_XLU_big_down__ext_vix_close_up,2.2685449861713085,0.1399481006282824,3.618476839554393,0.0085913733703558,0.6269336758973632,16.289374771112602,0.5-1.0x
OEPIX,TLT_down_XLE_up_XLU_down,2.214431343689544,0.1266447834711744,3.618476839554393,0.0085913733703558,0.6119788634496957,14.740924181942471,0.5-1.0x
OEPIX,GLD_down_SPY_up_XLC_up,2.593535094428482,0.1380232731990022,3.618476839554393,0.0085913733703558,0.7167477392912842,16.065332892555475,0.5-1.0x
OEPSX,combo_XLU_big_down__ext_vix_20dvol_up,2.2166926088759995,0.1386937345706272,3.618348668557775,0.0074180039041823,0.6126254852491988,18.69690773449595,0.5-1.0x
OEPSX,TLT_down_XLE_up_XLU_down,2.2130604956352857,0.125291229518768,3.618348668557775,0.0074180039041823,0.6116216811458863,16.890154162378956,0.5-1.0x
OEPSX,GLD_down_SPY_up_XLC_up,2.593445373483231,0.1358922797193374,3.618348668557775,0.0074180039041823,0.7167483321934653,18.319251576926348,0.5-1.0x
OTPIX,combo_XLF_big_down__self_down,1.793862483812464,0.1430358608069731,1.8574877926840088,0.0194024832515206,0.9657465803424697,7.372038875269388,0.5-1.0x
OTPIX,GDX_up_SPY_down_XLC_down,1.7202448493008375,0.1786961072625277,1.8574877926840088,0.0194024832515206,0.9261136768038407,9.209960650192702,0.5-1.0x
OTPIX,GLD_down_QQQ_down_XLF_up,0.8208019214740535,0.3588336977280689,1.8574877926840088,0.0194024832515206,0.4418881915170068,18.494215048475642,<0.5x
OTPSX,combo_IWM_down__ext_usd_gold_ratio_le-1,1.818262822839463,0.1912146564647591,1.9651158648592968,0.0127442908628445,0.9252700338713369,15.003946357049823,0.5-1.0x
PHPIX,FXY_up_GDX_up_QQQ_down,1.765353778711765,0.1985215233360471,1.685717343854878,0.0194793186226993,1.0472418671773143,10.191399770252202,1.0-1.5x
PHPIX,combo_GLD_big_up__self_down,1.1044158681007723,0.2318312804712541,1.685717343854878,0.0194793186226993,0.6551607670923094,11.901406048212616,0.5-1.0x
PHPIX,FXY_up_QQQ_down_XLE_up,1.0834859119080422,0.2491632057289146,1.685717343854878,0.0194793186226993,0.6427447139093555,12.791166393190164,0.5-1.0x
PHPSX,FXY_up_GDX_up_QQQ_down,1.7718243400988505,0.1938916239658598,1.670745773789171,0.0163177289206367,1.0604990704722468,11.882267741355172,1.0-1.5x
PHPSX,IWM_up_LQD_up_SLV_down,1.662200413255265,0.178244133948086,1.670745773789171,0.0163177289206367,0.994885301720964,10.923342017446085,0.5-1.0x
PHPSX,IWM_down_XLC_up,1.9597753713352648,0.1521794969883076,1.670745773789171,0.0163177289206367,1.1729943610095679,9.326021882607039,1.0-1.5x
PMPIX,combo_ext_sect_rotation_up__self_big_down,4.637091102138066,0.1235558867705349,3.529654552993033,0.0208982446861769,1.3137521059124504,5.912261466258967,1.0-1.5x
PMPIX,EEM_up_GLD_down_TLT_down,2.52681947213103,0.1377666634605875,3.529654552993033,0.0208982446861769,0.7158829381726234,6.592260045252172,0.5-1.0x
PMPIX,combo_TIP_up__ext_vix_5dchg_ge10,2.0278796719436056,0.1917575613483154,3.529654552993033,0.0208982446861769,0.5745263853721971,9.175773574665486,0.5-1.0x
PMPSX,combo_ext_sect_rotation_up__self_big_down,4.627522928715568,0.1259237714566545,3.5859115155706336,0.0222826409090672,1.2904732614349468,5.651204988247776,1.0-1.5x
PMPSX,EEM_up_GLD_down_TLT_down,2.526605495135658,0.1359923371605215,3.5859115155706336,0.0222826409090672,0.7045922589457966,6.1030619178171035,0.5-1.0x
PMPSX,combo_TIP_up__ext_vix_5dchg_ge10,2.189823093672191,0.1916342034555226,3.5859115155706336,0.0222826409090672,0.610674045961148,8.60015669765352,0.5-1.0x
REPIX,GLD_up_XLK_down_XLV_down,1.634060468624724,0.1838488035475836,2.529667095127944,0.018308972040595,0.6459587001672555,10.041459626458032,0.5-1.0x
REPIX,combo_GDX_up__ext_vix_5dchg_up,3.84046508908864,0.1187154754416006,2.529667095127944,0.018308972040595,1.518170156257023,6.4840055016951474,1.5-2.0x
REPIX,GDX_up_SLV_up_XLV_down,2.598014261280732,0.1538363114034431,2.529667095127944,0.018308972040595,1.027018245319482,8.402236404225988,1.0-1.5x
REPSX,FXY_up_XLF_down_XLU_down,3.852527347162804,0.1073857255282013,2.518776691612584,0.0199560290999585,1.5295231848029844,5.381116904085123,1.5-2.0x
REPSX,JNK_up_QQQ_down_XLK_down,1.9787606857532944,0.185926971850786,2.518776691612584,0.0199560290999585,0.7856038577546318,9.316832067115628,0.5-1.0x
REPSX,GDX_up_SLV_up_XLV_down,2.6972552929999143,0.1721967814109893,2.518776691612584,0.0199560290999585,1.0708592397180965,8.6288098974233,1.0-1.5x
RRPIX,combo_XLV_big_down__ext_sect_rotation_up,1.5669611573110702,0.1882870357494908,1.2052301884672971,-0.013756934694109,1.3001343413939788,-13.686699830749298,1.0-1.5x
RRPSX,combo_XLV_big_down__ext_sect_rotation_up,1.5937603499620403,0.1846084529781751,1.2041403020576509,-0.0163722984368089,1.3235669857064012,-11.275658924169774,1.0-1.5x
