ticker,condition,horizon,source,full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit,pass
IE00BQXX3M08,GDX_big_down,1,single_scan,0.10966731659256121,125,0.488,0.5109487286441416,16,0.625,False
IE00BSQXBG17,GDX_big_down,1,single_scan,-0.26937093088792624,350,0.30857142857142855,-0.14796241024018672,101,0.39603960396039606,False
IE00BVVHP563,GDX_big_down,1,single_scan,-0.967968550027706,5,0.0,,0,,False
IE00BVYPNW00,GDX_big_down,1,single_scan,-0.013618041489424712,146,0.4931506849315068,,0,,False
IE00BVYPNX17,GDX_big_down,1,single_scan,-0.014264001860577684,157,0.4968152866242038,,0,,False
IE00BVYPP248,GDX_big_down,1,single_scan,-0.01633735363878154,146,0.4931506849315068,,0,,False
IE00BYM2RB15,GDX_big_down,1,single_scan,-0.10761753867743218,270,0.45925925925925926,-0.06708452956481196,101,0.5148514851485149,False
IE00BYM85152,GDX_big_down,1,single_scan,-0.36831170951012865,408,0.38235294117647056,-0.19656012951405352,101,0.5148514851485149,False
IE00BYPZP462,GDX_big_down,1,single_scan,-0.1336634992398808,390,0.43333333333333335,-0.07832647904901867,101,0.4752475247524752,False
IE00BYQG5606,GDX_big_down,1,single_scan,-0.5206419498247433,362,0.430939226519337,-0.42484686891271306,97,0.4536082474226804,False
IE00BYV6MS67,GDX_big_down,1,single_scan,0.16063532811738365,129,0.5193798449612403,,0,,False
IE00BYW8MG91,GDX_big_down,1,single_scan,-0.06164768075127726,58,0.4827586206896552,,0,,False
IE00BYZ09279,GDX_big_down,1,single_scan,0.08222159596516246,100,0.5,,0,,False
IE00BZ199B46,GDX_big_down,1,single_scan,-0.04670738165603865,207,0.4975845410628019,-0.23037284025462001,1,0.0,False
IE00BZ60K206,GDX_big_down,1,single_scan,-0.072837433176445,106,0.4339622641509434,0.10967942786598722,24,0.4583333333333333,False
LU0050427557,GDX_big_down,1,single_scan,-0.06972518544233923,210,0.45714285714285713,-0.08056714282354786,108,0.4722222222222222,False
LU0061474960,GDX_big_down,1,single_scan,-0.30730308945473456,358,0.3687150837988827,-0.11267946300071033,100,0.49,False
LU0070992663,GDX_big_down,1,single_scan,-0.20433756056429675,124,0.532258064516129,-0.11135338488508406,88,0.5227272727272727,False
LU0094547139,GDX_big_down,1,single_scan,-0.34896418525977213,191,0.31413612565445026,-0.2819680644172305,102,0.35294117647058826,False
LU0100122521,GDX_big_down,1,single_scan,-0.25981653542155264,15,0.5333333333333333,,0,,False
LU0100598878,GDX_big_down,1,single_scan,-0.34720026010412564,196,0.4744897959183674,-0.3594817710772008,102,0.49019607843137253,False
LU0106255481,GDX_big_down,1,single_scan,-0.1005684301839813,15,0.5333333333333333,-0.23111309506862002,1,0.0,False
LU0112528004,GDX_big_down,1,single_scan,0.1468872362377744,70,0.5,0.11867311986359001,5,0.6,False
LU0128525689,GDX_big_down,1,single_scan,-0.0038871540441513482,118,0.4830508474576271,0.09110702469791106,19,0.5263157894736842,False
LU0129459060,GDX_big_down,1,single_scan,-0.10310171228377896,162,0.46296296296296297,-0.149464341842054,105,0.44761904761904764,False
LU0130103749,GDX_big_down,1,single_scan,-0.10212708481381154,197,0.4873096446700508,-0.07280324362141044,102,0.5392156862745098,False
LU0133082254,GDX_big_down,1,single_scan,-0.04120144498413836,189,0.42328042328042326,-0.01376207038165411,102,0.49019607843137253,False
LU0157308031,GDX_big_down,1,single_scan,-0.034835117433257436,39,0.5128205128205128,,0,,False
LU0176160306,GDX_big_down,1,single_scan,-0.10915776551096451,176,0.4602272727272727,-0.10117347932187085,102,0.4803921568627451,False
LU0189893018,GDX_big_down,1,single_scan,-0.03454566444643714,198,0.4494949494949495,-0.015483217999660756,106,0.49056603773584906,False
LU0209137388,GDX_big_down,1,single_scan,-0.2735069438453282,192,0.359375,-0.1878498645761728,102,0.4215686274509804,False
LU0209137628,GDX_big_down,1,single_scan,-0.27055304296110627,192,0.3645833333333333,-0.18556076751738118,102,0.4215686274509804,False
LU0209158467,GDX_big_down,1,single_scan,-0.20433756056429675,124,0.532258064516129,-0.11135338488508406,88,0.5227272727272727,False
