
02/01/2021,-0.383877,-0.370645,0.623300,0.607659,,1.477224,1.472004,1.603675,1.583195,2.061243,2.071223,-1.599643,-1.636504,,2.572541,2.565479,2.599716,2.599795,1.103247,1.028985,,-0.538545,-0.588933,2.392283,2.373596,0.332749,0.336850,0.098966,0.093056,0.491094,0.486855,2.414967,2.407078,4.000706,3.990322,2.235679,2.232440,0.854118,0.843469,2.072257,2.048334,2.173093,2.161320,1.928637,1.930717,0.000000,0.000000,1.500390,1.496422,2.491057,2.468190,1.405699,1.432826,5.201992,5.190444,0.520049,0.506755,3.615980,3.598854,-0.117565,-0.132873,-0.161263,-0.173847,2.113216,2.106780,-2.547534,-2.536421,2.519146,2.504706,5.054645,5.037022,-0.757006,-0.762397,-2.499765,-2.473707,-3.493148,-3.443897,-2.459677,-2.465193,1.477967,1.452856,3.884731,3.874339,5.011212,5.003038,5.423316,5.385188,-5.058649,-5.110657,1.500314,1.504550,1.788720,1.705395,-5.443620,-5.506428,5.876116,5.863491,-6.010270,-6.013960,-4.161932,-4.105635,3.700624,3.684032,-3.737475,-3.751066,3.232682,3.214685,4.150265,4.148275,2.379910,2.377952,4.982358,4.963326,-3.239016,-3.244943,-5.035043,-5.062541,0.825578,0.824466,7.439503,7.422082,-7.525189,-7.519481,-1.548087,-1.527615,-2.436200,-2.434269,2.695494,2.683807
01/29/2021,0.032000,0.037078,0.069329,0.076015,,-3.166040,-3.181535,-1.946948,-1.923497,-3.305236,-3.314126,1.892955,1.897677,,-3.573947,-3.578974,-2.941213,-2.946735,-4.828496,-4.816248,,-0.059874,-0.065992,-2.742258,-2.750355,-0.060567,-0.061371,-0.868600,-0.877004,-0.916505,-0.923374,-2.970811,-2.991985,-1.848778,-1.867379,-2.047083,-2.059604,-1.787591,-1.781872,-2.020408,-2.007220,-1.929076,-1.933330,-2.096619,-2.101818,0.000000,0.000000,-2.747764,-2.762547,-2.091753,-2.084434,-2.461258,-2.506083,-0.344555,-0.348373,0.074102,0.042327,-1.507479,-1.518938,0.868199,0.848361,0.242039,0.261452,-1.555960,-1.558056,1.552928,1.627756,-1.563335,-1.570880,-2.085514,-2.082328,3.170374,3.170457,2.065549,2.046569,0.246065,0.187793,0.954903,0.973189,-1.434848,-1.432050,-3.326886,-3.322568,-3.119324,-3.117083,-7.738419,-7.729751,3.107201,3.114264,-4.083874,-4.081275,-2.003425,-1.975157,7.643161,7.664414,-4.188864,-4.176222,4.209014,4.176766,3.919825,4.123036,-4.407439,-4.418538,4.296373,4.266667,-3.889516,-3.902410,-4.002847,-4.005623,-4.232306,-4.246096,-4.184802,-4.183626,3.858784,3.846184,4.187473,4.160695,-0.837284,-0.837463,-5.500792,-5.495917,5.492092,5.451230,4.081347,4.034230,4.282956,4.270998,-2.795322,-2.795120
01/28/2021,-0.063959,-0.074102,1.064696,1.056721,,2.747130,2.745970,0.983043,0.959242,3.075184,3.081892,-0.989262,-0.968373,,-0.047060,-0.052580,2.523558,2.510839,1.998654,1.997991,,0.119892,0.131484,2.512906,2.517287,0.030102,0.030875,-0.805969,-0.808967,2.220657,2.211579,2.224246,2.238407,1.838939,1.861182,0.783675,0.787001,1.380143,1.362456,0.887949,0.874963,1.184831,1.182133,0.591905,0.577948,0.000000,0.000000,3.470526,3.469343,0.674894,0.669064,1.066288,1.079714,5.362905,5.352503,-0.148413,-0.168547,0.814757,0.835459,0.794839,0.810051,0.323467,0.262138,-1.810181,-1.809022,0.129228,0.000000,-0.107747,-0.108921,2.959067,2.962329,-1.359608,-1.357547,-0.663949,-0.677567,-3.611777,-3.568687,-0.570090,-0.537628,-1.827930,-1.830283,0.719480,0.701714,-0.314477,-0.312146,3.307523,3.278264,0.222263,0.239942,1.962989,1.954007,-0.332345,-0.303311,-3.384971,-3.354684,-1.028490,-1.051747,0.932784,0.936273,-1.726237,-1.799143,1.500892,1.541776,-1.412479,-1.402279,1.909405,1.913268,1.709220,1.691259,1.542713,1.562129,1.294572,1.291029,-2.003619,-2.010041,-1.361800,-1.336540,1.857192,1.847757,2.560996,2.553420,-2.625583,-2.626922,-1.999660,-1.996805,-1.571917,-1.547112,0.674833,0.665929
01/27/2021,0.320821,0.334572,-5.205176,-5.207384,,-4.947325,-4.946604,-2.578146,-2.553542,-4.612962,-4.630573,2.562804,2.570578,,-3.306379,-3.306169,-4.904977,-4.901286,-2.096249,-2.118919,,-0.535980,-0.521850,-4.124129,-4.104034,-0.271324,-0.305297,0.446582,0.444640,-4.685275,-4.685822,-3.686861,-3.688600,-4.448546,-4.474292,-2.722671,-2.727279,-2.394924,-2.381694,-2.527800,-2.521911,-3.049368,-3.052868,-1.958869,-1.953515,0.000000,0.000000,-2.764527,-2.758328,-2.813089,-2.817521,-3.827732,-3.833735,-6.553607,-6.554630,0.522376,0.551394,-2.575083,-2.599461,-0.474554,-0.447961,-0.242233,-0.174453,-0.446426,-0.452770,1.846882,1.936700,-1.910379,-1.913186,-7.408438,-7.418096,1.378348,1.376230,2.474224,2.500552,4.388186,4.355417,1.740029,1.641659,-0.182459,-0.185307,-3.453343,-3.448276,-3.783533,-3.790595,-4.789334,-4.751809,3.810220,3.866119,-4.088947,-4.100397,-1.232268,-1.197168,4.703474,4.681804,-4.889299,-4.894414,4.892083,4.914189,5.020461,4.873471,-3.712021,-3.744787,3.912463,3.916211,-5.081450,-5.090138,-5.051114,-5.044164,-4.724414,-4.704866,-5.595586,-5.594447,5.130601,5.132049,5.507476,5.488236,-3.809835,-3.789863,-6.113014,-6.119653,6.086104,6.086068,4.090294,4.116424,4.713653,4.692853,-4.872763,-4.871521
01/26/2021,0.192864,0.148920,-1.889146,-1.894003,,-1.378021,-1.372766,-0.147154,-0.159257,-2.155631,-2.156775,0.160393,0.116686,,0.159286,0.152757,0.515708,0.505282,-3.311129,-3.233588,,0.239068,0.196246,-0.568220,-0.624098,-0.180556,-0.152594,-0.181016,-0.183624,-0.852564,-0.851970,-1.661076,-1.649058,-0.527015,-0.505510,0.031146,0.028790,-0.366057,-0.369665,-1.041446,-1.048863,-1.321016,-1.321067,-0.756043,-0.754732,0.000000,0.000000,-3.246556,-3.243687,0.047365,0.049314,-0.170741,-0.159519,-0.292046,-0.288057,-0.223498,-0.253807,1.150419,1.166222,0.197943,0.179322,0.081400,0.000000,-0.107368,-0.113128,0.664166,0.556170,-0.629872,-0.637260,-1.958983,-1.959071,2.159133,2.159000,-0.062131,-0.070111,0.185859,0.126831,-0.767065,-0.761037,0.161247,0.159107,0.069444,0.072694,-1.287026,-1.285017,2.833194,2.863159,1.287274,1.134865,-0.151915,-0.154053,0.081686,0.000000,-2.817629,-2.843124,-1.461118,-1.478413,1.433383,1.496888,2.137468,2.087570,-0.786890,-0.803381,0.821910,0.826446,-0.308812,-0.299244,-2.053933,-2.060171,0.421495,0.418297,0.143967,0.140685,0.306861,0.302799,-0.143422,-0.150561,-1.525649,-1.538778,-1.674958,-1.676749,1.678057,1.677621,0.146296,0.124896,-0.409817,-0.413605,1.986329,1.983656
01/25/2021,-0.032134,0.000000,2.101798,2.097392,,-1.271135,-1.282819,0.350663,0.342512,-0.791478,-0.794008,-0.372644,-0.349481,,1.819185,1.815342,-0.407920,-0.413274,-1.595600,-1.629304,,-0.178980,-0.130883,-0.605283,-0.572335,0.000000,-0.030367,1.729191,1.712063,1.194531,1.185345,-1.081949,-1.095042,0.013836,0.000000,0.752624,0.742547,-0.121919,-0.123236,-0.368451,-0.384285,-0.511182,-0.517586,-0.215460,-0.236248,0.000000,0.000000,-4.777934,-4.807504,0.853147,0.844903,1.418766,1.415227,-0.853652,-0.856948,0.111874,0.126826,1.008693,0.993078,-1.752799,-1.806870,-0.563073,-0.521535,0.240022,0.237054,0.266547,0.277978,-0.261738,-0.264795,-0.154919,-0.153278,1.019333,1.014630,-0.918567,-0.893931,0.497858,0.572284,-0.761226,-0.646322,-0.096743,-0.106004,1.206059,1.188397,-0.434810,-0.449776,-2.499932,-2.518899,0.469598,0.506648,-0.246335,-0.263430,-0.327442,-0.298785,2.438034,2.476783,2.615754,2.600155,-2.578682,-2.671217,0.571808,0.808228,1.483271,1.494883,-1.537351,-1.537071,0.714089,0.703431,-0.744656,-0.747565,-0.315256,-0.357175,1.708547,1.703129,-0.744189,-0.751512,-1.738293,-1.729544,2.558809,2.564694,1.316890,1.310425,-1.396287,-1.369468,0.256892,0.250417,0.298976,0.290239,0.794848,0.788705
01/22/2021,0.257732,0.223881,0.293436,0.292603,,-0.311241,-0.337645,-0.312869,-0.318858,-0.563947,-0.575386,0.320614,0.292193,,-0.415330,-0.426090,-0.660258,-0.660382,-0.726128,-0.692843,,-0.178021,-0.194937,-0.919861,-0.945056,-0.210080,-0.212827,0.384138,0.390633,-0.231710,-0.228464,-0.478590,-0.487068,0.417973,0.409999,0.023541,0.019268,-0.685796,-0.687692,0.369813,0.373632,0.464589,0.460023,0.276131,0.281240,0.000000,0.000000,2.336903,2.360472,-0.294130,-0.297290,1.013488,0.979741,-1.663982,-1.667495,0.186950,0.170026,0.329923,0.324390,-0.426858,-0.395292,-0.160745,-0.173243,1.214885,1.220125,-1.314367,-1.238880,1.272434,1.276586,-3.050769,-3.061108,0.476499,0.458678,0.307361,0.207321,1.132692,1.092245,-0.190721,-0.215729,1.327720,1.328698,-0.050176,-0.048857,2.497928,2.507287,-4.642202,-4.610611,-2.631020,-2.592853,-1.179334,-1.171671,0.081484,0.149616,4.630529,4.649555,0.901182,0.910841,-0.957591,-0.961029,-0.710450,-0.801748,-0.397429,-0.372141,0.405827,0.362976,-0.629456,-0.627636,0.750242,0.730797,-1.091355,-1.119667,-0.582295,-0.585439,0.578347,0.604682,0.566911,0.546727,0.203073,0.177953,-2.221018,-2.220956,2.220093,2.156452,1.112271,1.139721,1.057278,1.047667,0.112591,0.110090
01/21/2021,0.032227,0.037327,-0.872843,-0.870170,,-2.068358,-2.055319,0.036920,0.022839,-2.974999,-2.972837,-0.053196,-0.058275,,-0.356523,-0.347310,0.543187,0.538246,-4.896658,-4.978239,,0.417977,0.392075,-1.302193,-1.259910,-0.060149,-0.060567,-0.944279,-0.959467,-0.733950,-0.733725,-0.850156,-0.850511,0.391548,0.391865,0.583639,0.582063,-0.575004,-0.577496,-0.638292,-0.646717,-0.219486,-0.219613,-1.057399,-1.069228,0.000000,0.000000,-6.535531,-6.560748,0.809424,0.809115,-1.480709,-1.488080,-1.476874,-1.486995,-0.446332,-0.422792,-0.438153,-0.438393,0.939925,0.930477,0.241259,0.173544,-0.888477,-0.899177,0.794543,0.832209,-0.893235,-0.903623,3.037151,3.026092,3.271835,3.262292,-0.852996,-0.752388,0.952784,0.973375,0.285860,0.216195,-1.342065,-1.337388,1.872640,1.871157,-1.773985,-1.783186,-3.158883,-3.204792,1.746514,1.758974,-0.037371,-0.043331,0.000000,-0.075139,3.185891,3.144032,1.139312,1.142700,-1.156176,-1.187027,1.296319,1.300846,-0.311670,-0.337716,0.326266,0.272975,0.091559,0.085602,-1.287101,-1.289830,0.312791,0.354427,1.615088,1.607661,-0.068238,-0.112996,-1.627426,-1.613193,-1.058657,-1.056048,0.503722,0.505624,-0.525952,-0.521655,0.074206,0.042230,-0.338603,-0.334117,0.573834,0.572559
01/20/2021,-0.096587,-0.074599,1.476063,1.472233,,-1.900987,-1.900346,1.399424,1.408952,0.056951,0.064962,-1.422115,-1.439730,,1.245714,1.237376,3.855268,3.839083,0.378036,0.441101,,0.059839,0.065276,0.635527,0.610087,0.090115,0.090934,0.070464,0.077340,0.962176,0.942634,0.978436,0.975016,3.803791,3.803869,2.291430,2.282161,0.402809,0.396705,1.016065,1.016270,1.143297,1.140607,0.874847,0.886642,0.000000,0.000000,-2.185792,-2.175901,2.312225,2.299510,-0.547993,-0.520199,4.797977,4.802342,-0.037037,-0.042309,3.023711,3.018160,-0.078549,-0.088431,-0.080062,0.000000,0.584640,0.582147,-0.395699,-0.413512,0.439760,0.437738,0.164633,0.166076,-0.294543,-0.288753,-2.320206,-2.338596,-3.197912,-3.203325,-2.051601,-2.008718,0.312366,0.305561,3.571853,3.565989,0.883264,0.885146,-0.843963,-0.810648,-0.809451,-0.871819,1.654928,1.653398,0.082438,0.075196,0.767070,0.793087,4.632050,4.628156,-4.709497,-4.643995,-2.114840,-2.070932,-0.084977,-0.067046,0.000000,0.091075,2.802663,2.788279,2.032868,2.029874,1.213940,1.196963,4.630993,4.625719,-2.776536,-2.789170,-4.654086,-4.659422,0.828194,0.828217,2.849807,2.845102,-2.859966,-2.871758,-1.678107,-1.701951,-1.263271,-1.278511,4.728380,4.728666
01/19/2021,-0.352903,-0.371609,2.602269,2.585487,,0.042925,0.023328,0.790032,0.767955,0.990541,0.970685,-0.835123,-0.799575,,0.928132,0.920199,0.046915,0.056025,2.918375,2.874205,,0.299444,0.262465,0.398398,0.377060,0.271079,0.274623,0.538899,0.529475,1.220280,1.226827,0.744006,0.724767,2.606920,2.587605,1.192096,1.184741,0.363788,0.336753,0.807541,0.792607,1.055712,1.040336,0.554381,0.534800,0.000000,0.000000,0.412528,0.403892,1.472709,1.472489,1.636113,1.626547,1.000624,0.988393,-0.296277,-0.336857,-0.538651,-0.543550,-0.544734,-0.572186,-0.079998,-0.173243,1.491911,1.476861,-1.302382,-1.364724,1.291868,1.286939,4.389198,4.392636,-1.971599,-1.979865,-1.465214,-1.513069,-0.672094,-0.686067,0.374042,0.318234,0.519576,0.507246,2.587735,2.570820,2.587013,2.562674,-0.539208,-0.558277,-2.696569,-2.666232,0.766708,0.755215,1.163072,1.133664,0.490892,0.477445,8.299550,8.312345,-8.272248,-8.402160,-1.665195,-1.720663,2.703318,2.664346,-2.696274,-2.745793,1.591172,1.595388,1.664073,1.655480,1.553772,1.519084,2.948349,2.943800,-1.658124,-1.624395,-3.009503,-3.027860,-0.676441,-0.685516,6.023864,6.011455,-6.091451,-6.081573,-0.832284,-0.782537,-1.572856,-1.582497,2.679252,2.660580
01/15/2021,0.225080,0.223464,0.498249,0.493376,,-4.800762,-4.789362,-0.728304,-0.739386,-2.787994,-2.792379,0.683134,0.690354,,-1.356032,-1.361506,-1.054933,-1.070004,-5.860927,-5.839982,,-0.713791,-0.651553,-1.492282,-1.531486,-0.210269,-0.213022,0.599235,0.594999,0.438447,0.438116,-1.641775,-1.655519,-1.235994,-1.236667,-0.544053,-0.549112,-0.921149,-0.910132,-1.004154,-1.001956,-1.036550,-1.039527,-0.954877,-0.956381,0.000000,0.000000,-6.812205,-6.809239,-0.735108,-0.751312,-0.381678,-0.404884,-4.550922,-4.559020,0.633904,0.635561,1.758444,1.755609,-0.656937,-0.612153,-0.320718,-0.345290,-1.757211,-1.761656,1.453095,1.523543,-1.491991,-1.501874,-3.541161,-3.553912,3.897147,3.872801,0.708794,0.728950,3.020985,3.020228,-1.202532,-1.153762,-1.629368,-1.628433,-1.160679,-1.152792,-2.995274,-2.983377,-8.346851,-8.352326,3.010274,2.995630,-1.174493,-1.163505,-2.113708,-2.072921,8.441620,8.369622,-2.831730,-2.840879,2.739364,2.771591,1.980440,2.075876,-3.641198,-3.634751,3.615672,3.577982,-1.450182,-1.454508,-2.024660,-2.021992,-3.165364,-3.119479,-1.504344,-1.517633,1.451067,1.427991,1.483540,1.467242,1.502802,1.510797,-3.615179,-3.618742,3.576939,3.559695,1.171222,1.124531,3.130671,3.139051,0.489460,0.488835
01/14/2021,-0.032144,-0.037230,1.516956,1.521432,,2.374135,2.349208,-0.371915,-0.368195,-0.301426,-0.305040,0.369731,0.346052,,-0.679174,-0.682441,-0.891659,-0.877616,4.397639,4.386541,,0.178445,0.130212,-0.117685,-0.046323,0.000000,0.000000,-1.406524,-1.405099,-0.246719,-0.259457,-0.059513,-0.068922,-1.134420,-1.140967,-0.980970,-0.978837,0.321499,0.304411,0.934774,0.925956,0.687509,0.680742,1.171334,1.176031,0.000000,0.000000,5.175550,5.163728,-0.582898,-0.583209,0.945364,0.981344,0.299309,0.297893,-0.186323,-0.168974,0.666611,0.677998,1.411117,1.374698,0.240678,0.346486,2.195783,2.202912,-1.942619,-2.035123,2.041887,2.043455,2.030427,2.023117,-2.934097,-2.929815,0.593609,0.533178,-0.250763,-0.256544,-0.460306,-0.520811,2.365702,2.352248,-0.968401,-0.972837,4.080358,4.065541,6.491347,6.472863,-4.106983,-4.071736,-0.414845,-0.437214,1.736948,1.655350,-6.539299,-6.532944,2.048255,2.071164,-2.035357,-1.984918,-1.805352,-2.033659,2.881463,2.881482,-2.873671,-2.852050,-0.725706,-0.729399,1.880267,1.878707,1.635016,1.614544,-1.137935,-1.146526,0.730836,0.700736,1.147318,1.159829,-0.626761,-0.632125,5.094500,5.099017,-5.136687,-5.093288,0.441146,0.418235,-1.668920,-1.687032,-0.873400,-0.870174
