ticker,strategy_no,source,condition,horizon,full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit
BMPIX,3,triple_scan,GDX_up_down_down_JNK_XLF,1,0.5934086616038332,210,0.5714285714285714,0.7666512221988119,58,0.603448275862069
BMPSX,1,condition_expansion,combo_XLV_down__ext_usd_gold_ratio_le-1,1,0.6828396307517393,174,0.5804597701149425,0.735338985677243,48,0.5625
BMPSX,2,triple_scan,GDX_up_down_down_JNK_XLF,1,0.590684872767363,210,0.5714285714285714,0.7623844485004209,58,0.603448275862069
BMPSX,3,triple_scan,GDX_up_down_down_XLK_XLV,1,0.38762730563450404,487,0.5605749486652978,1.5056989698871979,36,0.7222222222222222
BTCFX,1,triple_scan,XLC_down_down_down_XLK_XLV,1,0.8695616967160064,175,0.5828571428571429,0.6772969749975712,59,0.559322033898305
BTCFX,2,triple_scan,QQQ_down_down_down_XLK_XLV,1,0.6809279333297967,223,0.5695067264573991,0.6157319945786784,74,0.5540540540540541
BTCFX,3,triple_scan,QQQ_down_down_down_XLF_XLV,1,0.6996624554639056,176,0.5681818181818182,0.753280787992598,72,0.5694444444444444
CNPIX,1,condition_expansion,combo_XLV_down__ext_usd_gold_ratio_le-1,1,0.5433056963237041,177,0.6384180790960452,0.30620791650245044,48,0.6666666666666666
CNPIX,2,triple_scan,GDX_up_up_down_TIP_XLK,1,0.3011078547607187,509,0.5854616895874263,0.4300947416849534,41,0.5609756097560976
CNPIX,3,triple_scan,FXY_up_up_down_GDX_XLK,1,0.301104452587243,505,0.5900990099009901,0.637917753391038,38,0.6578947368421053
CNPSX,1,triple_scan,GDX_up_up_down_TIP_XLK,1,0.29938468928051826,509,0.5834970530451866,0.42298689296338243,41,0.5609756097560976
CNPSX,2,triple_scan,FXY_up_up_down_GDX_XLK,1,0.29623998329809076,499,0.5851703406813628,0.6314455498004908,38,0.6578947368421053
CNPSX,3,triple_scan,FXY_up_up_down_GDX_QQQ,1,0.2919713914262783,508,0.5866141732283464,0.6003608763990732,41,0.6585365853658537
CYPIX,1,triple_scan,GDX_up_down_down_XLK_XLV,1,0.3723066558393966,482,0.6016597510373444,1.5451313331059588,36,0.7222222222222222
CYPIX,2,triple_scan,EEM_down_up_up_GDX_GLD,1,0.4422950555025714,333,0.6366366366366366,0.7330849644196292,58,0.6896551724137931
CYPIX,3,pair_scan,EEM_down_GDX_up,1,0.38284232686214675,427,0.6323185011709602,0.5316883494789348,72,0.6805555555555556
CYPSX,1,condition_expansion,combo_EEM_down__ext_usd_gold_ratio_le-1,1,0.8142654682439411,125,0.64,0.950352193435835,30,0.7
CYPSX,2,condition_expansion,combo_XLK_down__ext_usd_gold_ratio_le-1,1,0.6869728477923184,153,0.6405228758169934,1.005529036361345,39,0.6923076923076923
CYPSX,3,condition_expansion,combo_SPY_down__ext_usd_gold_ratio_le-1,1,0.644763189110873,161,0.6211180124223602,0.7376442401878831,42,0.6190476190476191
ENPIX,1,triple_scan,FXY_up_down_down_SPY_XLV,1,0.46168941333365127,407,0.5577395577395577,1.0739656438566672,37,0.7027027027027027
ENPIX,2,condition_expansion,combo_XLC_down__ext_sect_rotation_down,1,0.4086478966451907,403,0.598014888337469,0.819924135757216,91,0.7032967032967034
ENPIX,3,triple_scan,EEM_up_down_down_GLD_LQD,1,0.3549378542613669,507,0.5522682445759369,0.20689925124974326,40,0.575
ENPSX,1,triple_scan,FXY_up_down_down_SPY_XLV,1,0.4216188705418592,382,0.5549738219895288,1.071274216965042,37,0.7027027027027027
ENPSX,2,condition_expansion,combo_XLC_down__ext_sect_rotation_down,1,0.4045923402862987,403,0.598014888337469,0.8116885010513318,91,0.7032967032967034
ENPSX,3,triple_scan,GDX_up_down_down_LQD_XLE,1,0.6835891062664996,134,0.5746268656716418,0.8229494988966738,38,0.631578947368421
FNPIX,1,triple_scan,GDX_up_down_down_XLF_XLK,1,0.4858276671458093,335,0.6268656716417911,0.770104770695214,49,0.7142857142857143
FNPIX,2,pair_scan,GDX_up_QQQ_down,1,0.3844684294723921,479,0.5949895615866388,0.5042600345443056,80,0.65
FNPIX,3,triple_scan,GDX_up_down_down_UUP_XLK,1,0.5327119226915935,249,0.6465863453815262,0.7614100757759222,40,0.725
FNPSX,1,triple_scan,GDX_up_down_down_SPY_XLF,1,0.5863096372384896,282,0.6063829787234043,0.6693797036490506,60,0.6666666666666666
FNPSX,2,triple_scan,GDX_up_down_down_UUP_XLK,1,0.5592935939075754,235,0.6510638297872341,0.7499316323420835,40,0.725
FNPSX,3,pair_scan,EEM_down_GDX_up,1,0.47810347128399855,307,0.5895765472312704,0.3247718867950551,72,0.6111111111111112
GVPSX,1,condition_expansion,combo_TLT_down__self_3down,1,0.2066190604415276,399,0.5789473684210527,0.25211501595078856,35,0.6285714285714286
HCPIX,1,triple_scan,FXY_up_up_down_GDX_QQQ,1,0.3626694194731027,494,0.6133603238866396,0.5303230192260707,41,0.5609756097560976
HCPIX,2,triple_scan,FXY_up_up_down_GDX_XLK,1,0.344182969285231,472,0.6080508474576272,0.590260075471347,38,0.6052631578947368
HCPIX,3,condition_expansion,combo_XLK_down__ext_tnx_chgbp_down,1,0.20307137178362802,1166,0.5728987993138936,0.29142753385170406,72,0.5972222222222222
HCPSX,1,triple_scan,FXY_up_up_down_GDX_QQQ,1,0.36339481518028566,485,0.6144329896907217,0.5241567455208652,41,0.5609756097560976
HCPSX,2,triple_scan,FXY_up_up_down_GDX_XLK,1,0.34947240332701174,466,0.6072961373390557,0.5841026404235136,38,0.6052631578947368
HCPSX,3,triple_scan,GDX_up_up_down_TIP_XLK,1,0.29716331560338455,493,0.5983772819472617,0.5378643384235096,41,0.6097560975609756
IDPIX,1,pair_scan,GDX_up_XLK_down,1,0.37524318808443363,501,0.6227544910179641,0.6787957927303058,75,0.68
IDPIX,2,triple_scan,GDX_up_up_down_TIP_XLK,1,0.45438079611963894,330,0.6545454545454545,0.6133879081616923,41,0.7560975609756098
IDPIX,3,triple_scan,GDX_up_down_down_SPY_XLK,1,0.4010426743653826,400,0.6175,0.8413368336091738,63,0.7301587301587301
IDPSX,1,triple_scan,GDX_up_down_down_SPY_XLK,1,0.40390536652547915,404,0.6188118811881188,0.8373507481224446,63,0.7301587301587301
IDPSX,2,pair_scan,GDX_up_XLK_down,1,0.3473203361018804,527,0.6148007590132827,0.6745503371487782,75,0.68
IDPSX,3,triple_scan,GDX_up_down_down_XLF_XLK,1,0.4223327779688823,334,0.6347305389221557,0.9620089251107586,49,0.7755102040816326
INPIX,1,triple_scan,GLD_up_down_down_XLF_XLK,1,0.4879897632391866,342,0.6345029239766082,0.6735655736854793,54,0.5925925925925926
INPIX,2,condition_expansion,combo_XLK_down__ext_usd_gold_ratio_le-1,1,0.7230066064032009,149,0.6510067114093959,0.8891787096298075,39,0.5897435897435898
INPIX,3,condition_expansion,combo_SPY_down__ext_usd_gold_ratio_le-1,1,0.638789250454234,183,0.644808743169399,0.7296648357820295,42,0.5714285714285714
INPSX,1,condition_expansion,combo_SPY_down__ext_usd_gold_ratio_le-1,1,0.6980740218511322,173,0.6473988439306358,0.7209352790818145,42,0.5714285714285714
INPSX,2,condition_expansion,combo_IWM_down__ext_usd_gold_ratio_le-1,1,0.6211082197446602,206,0.6116504854368932,0.6999440047244079,46,0.5652173913043478
INPSX,3,triple_scan,GLD_up_down_down_XLF_XLK,1,0.4817208681773665,330,0.6272727272727273,0.6679716215945569,54,0.5925925925925926
LGPIX,1,condition_expansion,combo_XLV_down__ext_usd_gold_ratio_le-1,1,0.43304150421272863,191,0.6596858638743456,0.44739605827701506,48,0.625
LGPSX,1,condition_expansion,combo_XLV_down__ext_usd_gold_ratio_le-1,1,0.42871399658942483,191,0.6596858638743456,0.4415697976069033,48,0.625
LVPIX,1,condition_expansion,combo_XLV_down__ext_usd_gold_ratio_le-1,1,0.45123116620288906,184,0.6413043478260869,0.4070751967785502,48,0.6875
LVPIX,2,triple_scan,GDX_up_down_down_XLK_XLV,1,0.2821607805107494,390,0.5897435897435898,0.7114336264616593,36,0.8055555555555556
LVPIX,3,pair_scan,GDX_up_XLK_down,1,0.23253543709138425,517,0.5899419729206963,0.3260076886942812,75,0.6933333333333334
LVPSX,1,condition_expansion,combo_XLV_down__ext_usd_gold_ratio_le-1,1,0.44528940522029814,168,0.6428571428571429,0.40172266784321037,48,0.6875
MDPIX,1,triple_scan,GDX_up_down_down_SPY_XLF,1,0.2931349460820169,393,0.5928753180661578,0.5774339628416361,60,0.6833333333333333
MDPIX,2,triple_scan,GDX_up_down_down_IWM_XLF,1,0.28696449110860406,383,0.5900783289817232,0.5790014474379696,57,0.6666666666666666
MDPIX,3,triple_scan,GDX_up_down_down_SPY_XLK,1,0.27269199794152416,418,0.5956937799043063,0.5734130823543083,63,0.6825396825396826
MDPSX,1,triple_scan,GDX_up_down_down_IWM_XLF,1,0.2805766926817632,387,0.5891472868217055,0.5764150046266961,57,0.6666666666666666
MDPSX,2,triple_scan,GDX_up_down_down_SPY_XLK,1,0.2681138848686525,418,0.5956937799043063,0.5697972916622419,63,0.6825396825396826
MDPSX,3,triple_scan,GDX_up_down_down_SPY_XLF,1,0.28023702292893854,379,0.5910290237467019,0.5743131620600176,60,0.6833333333333333
MGPIX,1,triple_scan,GDX_up_down_down_XLF_XLK,1,0.27589538516662093,400,0.64,0.7139340254663638,49,0.7551020408163265
MGPIX,2,triple_scan,GDX_up_down_down_SPY_XLK,1,0.242495557242006,502,0.6175298804780877,0.6021310180456679,63,0.6825396825396826
