ticker,fund_group,condition,n,up_n,down_n,p_up,p_down,avg_up,avg_down,expected,decision,predicted_return
UAPIX,ultra_long,XLV_bin_gt2,202,88,113,0.43564356435643564,0.5594059405940595,2.5905404446890055,-3.783408343194783,-0.9879088299424653,predict_down,-3.783408343194783
UOPSX,inverse,SPY_bin_lt-2,319,176,135,0.5517241379310345,0.4231974921630094,4.722208327746228,-3.849076038324564,0.9764369921928526,predict_up,4.722208327746228
SMPIX,long,XLU_bin_lt-2,264,146,104,0.553030303030303,0.3939393939393939,4.367717018750884,-3.6598812611462703,0.9737084605243072,predict_up,4.367717018750884
UBPIX,ultra_long,SPY_bin_lt-2,214,119,87,0.5560747663551402,0.40654205607476634,5.408615326333384,-5.00678137799048,0.9721273081705648,predict_up,5.408615326333384
SMPSX,inverse,XLU_bin_lt-2,264,146,106,0.553030303030303,0.4015151515151515,4.372471428333106,-3.6145122322783463,0.9668277724057905,predict_up,4.372471428333106
UBPSX,inverse,SPY_bin_lt-2,214,119,87,0.5560747663551402,0.40654205607476634,5.392296407419474,-5.003161436079454,0.9645244277757256,predict_up,5.392296407419474
UJPSX,inverse,XLV_bin_gt2,202,80,119,0.39603960396039606,0.5891089108910891,2.6481559127656307,-3.407398154984627,-0.9585539971382182,predict_down,-3.407398154984627
UWPSX,inverse,XLU_bin_lt-2,200,78,120,0.39,0.6,3.012315580806556,-3.54728245956094,-0.9535663992220071,predict_down,-3.54728245956094
UWPIX,ultra_long,XLU_bin_lt-2,200,78,121,0.39,0.605,3.011946079050464,-3.516936876454683,-0.9530878394254018,predict_down,-3.516936876454683
UJPIX,ultra_long,XLV_bin_gt2,202,80,119,0.39603960396039606,0.5891089108910891,2.660541022214474,-3.402479184700207,-0.9507511940701322,predict_down,-3.402479184700207
UKPSX,inverse,SPY_bin_lt-2,214,91,123,0.4252336448598131,0.5747663551401869,3.613839653276322,-4.31270725732466,-0.9420728233775131,predict_down,-4.31270725732466
UKPIX,ultra_long,SPY_bin_lt-2,214,91,123,0.4252336448598131,0.5747663551401869,3.6221190300886974,-4.307759492034506,-0.9357083447765093,predict_down,-4.307759492034506
UCPIX,ultra_long,SPY_bin_lt-2,214,92,118,0.42990654205607476,0.5514018691588785,3.8073770283969353,-4.642366945196492,-0.922993518320878,predict_down,-4.642366945196492
UCPSX,inverse,SPY_bin_lt-2,214,91,117,0.4252336448598131,0.5467289719626168,3.8515898034636225,-4.682171078071269,-0.9220530094352746,no_trade,
UJPIX,ultra_long,XLU_bin_lt-2,273,150,118,0.5494505494505495,0.43223443223443225,4.057673294523756,-3.1261570059484463,0.8782581226250799,no_trade,
UJPSX,inverse,XLU_bin_lt-2,273,151,118,0.5531135531135531,0.43223443223443225,4.0239700126953615,-3.1295701205423194,0.8730043871538677,predict_up,4.0239700126953615
UJPIX,ultra_long,XLV_bin_lt-2,221,122,95,0.5520361990950227,0.4298642533936652,4.247860650190109,-3.440846160632327,0.8658760817335851,predict_up,4.247860650190109
UJPSX,inverse,XLV_bin_lt-2,221,123,95,0.5565610859728507,0.4298642533936652,4.211563628584676,-3.4412534904272145,0.8647205643680075,predict_up,4.211563628584676
USPSX,inverse,XLU_bin_lt-2,288,124,162,0.4305555555555556,0.5625,3.6684803809989406,-4.318017234065332,-0.8494000856760945,predict_down,-4.318017234065332
USPIX,ultra_long,XLU_bin_lt-2,288,124,161,0.4305555555555556,0.5590277777777778,3.6731561157664503,-4.339810931987173,-0.8445770892183855,predict_down,-4.339810931987173
UOPSX,inverse,XLU_bin_lt-2,288,157,122,0.5451388888888888,0.4236111111111111,4.439763292282182,-3.7204516883000833,0.8442629545683764,no_trade,
BKPIX,long,FXY_bin_1_2,207,124,83,0.5990338164251208,0.40096618357487923,3.3470281218942453,-2.899144232424981,0.8425242310319467,predict_up,3.3470281218942453
UOPIX,ultra_long,XLU_bin_lt-2,288,157,124,0.5451388888888888,0.4305555555555556,4.442072368111772,-3.6727650949507753,0.8402169792349031,no_trade,
UJPSX,inverse,SPY_bin_gt2,226,91,131,0.4026548672566372,0.5796460176991151,2.4850164872956597,-3.1681579318751747,-0.8358061448307207,predict_down,-3.1681579318751747
BKPSX,inverse,FXY_bin_1_2,207,124,83,0.5990338164251208,0.40096618357487923,3.3431996675862496,-2.9114025065644946,0.8353157040378839,predict_up,3.3431996675862496
UJPIX,ultra_long,SPY_bin_gt2,226,91,131,0.4026548672566372,0.5796460176991151,2.496451983441727,-3.169387754019221,-0.8319144481562861,predict_down,-3.169387754019221
TEPIX,long,XLV_bin_lt-2,213,113,93,0.5305164319248826,0.43661971830985913,4.0680754657507086,-3.038407917051385,0.8315520720377998,no_trade,
UXPSX,inverse,SPY_bin_lt-2,214,94,120,0.4392523364485981,0.5607476635514018,3.42329234851418,-4.163605405271889,-0.8310428405247372,predict_down,-4.163605405271889
UXPIX,ultra_long,SPY_bin_lt-2,214,94,119,0.4392523364485981,0.5560747663551402,3.4272297131246896,-4.199733470502447,-0.829947149327432,predict_down,-4.199733470502447
UNPIX,ultra_long,SPY_bin_lt-2,214,119,94,0.5560747663551402,0.4392523364485981,4.208586827398342,-3.4600073036643275,0.8204726444670846,predict_up,4.208586827398342
UNPSX,inverse,SPY_bin_lt-2,214,119,94,0.5560747663551402,0.4392523364485981,4.1995321972473585,-3.4584347056566425,0.8161283604706125,predict_up,4.1995321972473585
REPSX,inverse,SPY_bin_gt2,215,96,116,0.44651162790697674,0.5395348837209303,2.3109686896105543,-3.410966968690633,-0.8084612751883726,no_trade,
UVPIX,ultra_long,IWM_bin_lt-2,357,140,213,0.39215686274509803,0.5966386554621849,3.8608714228655687,-3.8837278349211704,-0.8031149289552653,predict_down,-3.8837278349211704
REPIX,long,SPY_bin_gt2,215,95,116,0.4418604651162791,0.5395348837209303,2.3374061364965697,-3.4014314548985394,-0.8023835618653784,no_trade,
UVPSX,inverse,IWM_bin_lt-2,357,140,213,0.39215686274509803,0.5966386554621849,3.8828121233220485,-3.8948965217833225,-0.8011744030105347,predict_down,-3.8948965217833225
UUPIX,ultra_long,IWM_bin_lt-2,357,213,142,0.5966386554621849,0.39775910364145656,3.8887852539615277,-3.828180940197285,0.7975057859545966,predict_up,3.8887852539615277
UIPIX,ultra_long,XLU_bin_lt-2,200,86,111,0.43,0.555,3.253963212459264,-3.9573297480461367,-0.7971138288081226,predict_down,-3.9573297480461367
UIPSX,inverse,XLU_bin_lt-2,200,86,110,0.43,0.55,3.255299887174448,-3.988781244446166,-0.7940507329603783,predict_down,-3.988781244446166
UHPSX,inverse,XLK_bin_lt-2,319,140,177,0.438871473354232,0.554858934169279,4.074589851223879,-4.652566873327277,-0.7932970451648427,predict_down,-4.652566873327277
UUPSX,inverse,IWM_bin_lt-2,357,212,143,0.5938375350140056,0.4005602240896359,3.89422267854588,-3.804914107703248,0.788438348599894,predict_up,3.89422267854588
UHPIX,ultra_long,XLK_bin_lt-2,319,140,177,0.438871473354232,0.554858934169279,4.087874606471279,-4.64321585638667,-0.7822782497632019,predict_down,-4.64321585638667
UHPSX,inverse,XLE_bin_lt-2,440,189,247,0.42954545454545456,0.5613636363636364,4.093067398525192,-4.518417665643846,-0.7783168752108375,predict_down,-4.518417665643846
UHPIX,ultra_long,XLE_bin_lt-2,440,190,247,0.4318181818181818,0.5613636363636364,4.07654515005921,-4.516049953588612,-0.7748199091480396,predict_down,-4.516049953588612
UHPSX,inverse,IWM_bin_lt-2,322,130,188,0.40372670807453415,0.5838509316770186,4.4502992612283565,-4.3878228896747595,-0.7651298114881008,predict_down,-4.3878228896747595
UHPIX,ultra_long,IWM_bin_lt-2,322,130,188,0.40372670807453415,0.5838509316770186,4.454905050586619,-4.386416185443874,-0.7624490257366091,predict_down,-4.386416185443874
USPSX,inverse,FXY_bin_1_2,207,80,121,0.3864734299516908,0.5845410628019324,2.6567589854249554,-3.0605479379750435,-0.762249186768038,predict_down,-3.0605479379750435
UGPIX,ultra_long,XLK_bin_lt-2,319,175,141,0.54858934169279,0.44200626959247646,4.658423059680585,-4.057715748336071,0.7620254386480134,no_trade,
USPIX,ultra_long,FXY_bin_1_2,207,79,121,0.38164251207729466,0.5845410628019324,2.6845835837805274,-3.0519265258269614,-0.7594251522048348,predict_down,-3.0519265258269614
UGPSX,inverse,XLK_bin_lt-2,319,176,141,0.5517241379310345,0.44200626959247646,4.631209434033379,-4.063007887481344,0.7592750728997029,predict_up,4.631209434033379
UOPIX,ultra_long,FXY_bin_1_2,207,121,82,0.5845410628019324,0.3961352657004831,3.0690640478293982,-2.6123503333317073,0.7591498669282959,predict_up,3.0690640478293982
OEPIX,long,GLD_bin_lt-2,206,110,84,0.5339805825242718,0.4077669902912621,3.846701637883523,-3.1789948921010893,0.7577748020907574,no_trade,
UOPSX,inverse,FXY_bin_1_2,207,121,82,0.5845410628019324,0.3961352657004831,3.0624893036066085,-2.6154131981187576,0.7540933501964321,predict_up,3.0624893036066085
FNPIX,long,FXY_bin_1_2,207,127,78,0.6135265700483091,0.37681159420289856,2.805583680723924,-2.568048618251617,0.7536296387841173,predict_up,2.805583680723924
FNPSX,inverse,FXY_bin_1_2,207,127,77,0.6135265700483091,0.3719806763285024,2.8085882623111442,-2.6077847327636534,0.7530979946411304,predict_up,2.8085882623111442
UGPIX,ultra_long,XLE_bin_lt-2,440,247,191,0.5613636363636364,0.4340909090909091,4.461479925646579,-4.06683959734718,0.7391344966849858,predict_up,4.461479925646579
UGPSX,inverse,XLE_bin_lt-2,440,245,191,0.5568181818181818,0.4340909090909091,4.502984051895667,-4.073745621126956,0.7389674524527048,predict_up,4.502984051895667
UGPIX,ultra_long,IWM_bin_lt-2,322,188,132,0.5838509316770186,0.40993788819875776,4.336005629715107,-4.378879762779795,0.7365122040357366,predict_up,4.336005629715107
USPSX,inverse,XLF_bin_lt-2,511,213,287,0.41682974559686886,0.5616438356164384,3.64414058617848,-4.014761918860767,-0.7358800897397728,predict_down,-4.014761918860767
UGPSX,inverse,IWM_bin_lt-2,322,188,132,0.5838509316770186,0.40993788819875776,4.333065490538761,-4.378305392770294,0.7350310570671069,predict_up,4.333065490538761
UCPSX,inverse,FXY_bin_1_2,207,79,123,0.38164251207729466,0.5942028985507246,3.1319667998445713,-3.243579898305614,-0.7320529000186924,predict_down,-3.243579898305614
USPIX,ultra_long,XLF_bin_lt-2,511,213,288,0.41682974559686886,0.5636007827788649,3.6491104972059762,-3.992539391991,-0.7291405263963505,predict_down,-3.992539391991
UCPIX,ultra_long,FXY_bin_1_2,207,80,124,0.3864734299516908,0.5990338164251208,3.0941863312799716,-3.2114839663916235,-0.7279666924162488,predict_down,-3.2114839663916235
UDPIX,ultra_long,XLU_bin_lt-2,239,133,105,0.5564853556485355,0.4393305439330544,3.598613014264576,-2.9186792888018096,0.720310483569032,predict_up,3.598613014264576
UOPIX,ultra_long,XLF_bin_lt-2,511,284,212,0.5557729941291585,0.41487279843444225,4.015480897187992,-3.64490523070378,0.7195238080081964,predict_up,4.015480897187992
UDPSX,inverse,XLU_bin_lt-2,239,133,104,0.5564853556485355,0.4351464435146444,3.592868354145884,-2.9473088265318843,0.7168676700505722,predict_up,3.592868354145884
SRPSX,inverse,SPY_bin_lt-2,214,95,115,0.4439252336448598,0.5373831775700935,2.24045916524455,-3.181705237436616,-0.7151985121821426,no_trade,
SRPIX,long,SPY_bin_lt-2,214,95,115,0.4439252336448598,0.5373831775700935,2.246406732395464,-3.182090193923029,-0.7127651061849497,no_trade,
REPSX,inverse,XLV_bin_lt-2,213,115,98,0.539906103286385,0.460093896713615,3.5853127405843797,-2.663146091805209,0.7104349679356492,no_trade,
UHPSX,inverse,XLF_bin_lt-2,354,150,200,0.423728813559322,0.5649717514124294,4.310990715994798,-4.487126288913547,-0.7084086169025131,predict_down,-4.487126288913547
UOPSX,inverse,XLF_bin_lt-2,511,280,210,0.547945205479452,0.410958904109589,4.056861065154567,-3.689863456751781,0.7065553274469755,no_trade,
UHPIX,ultra_long,XLF_bin_lt-2,354,150,200,0.423728813559322,0.5649717514124294,4.3148865250636845,-4.4828557314957935,-0.7043451060440843,predict_down,-4.4828557314957935
