ticker,fund_group,condition,horizon,selection_trades,selection_avg,selected_pre2025,holdout_trades,holdout_hit_rate,holdout_avg
UMPIX,ultra_long,EDV_lt-2,2,24,-0.1177,False,12,0.5,1.467
SMPIX,long,ZROZ_lt-2,2,48,0.3655,False,17,0.5882,1.4654
UJPSX,inverse,XLY_lt-2,2,25,-0.1835,False,29,0.7241,1.4653
INPIX,long,TLH_big_down,2,48,0.1125,False,16,0.6875,1.4652
UGPIX,ultra_long,GOVZ_lt-2,2,5,-0.2498,False,16,0.5,1.4635
UMPSX,inverse,EDV_lt-2,2,24,-0.1201,False,12,0.5,1.4616
SMPSX,inverse,ZROZ_lt-2,2,48,0.3643,False,17,0.5882,1.4609
INPSX,inverse,TLH_big_down,2,48,0.1094,False,16,0.6875,1.4597
UGPSX,inverse,GOVZ_lt-2,2,5,-0.2494,False,16,0.5,1.4573
UVPIX,ultra_long,EDV_gt2,1,12,1.0553,False,12,0.6667,-1.4549
UFPIX,ultra_long,XLY_lt-2,1,1,1.0417,False,14,0.7143,-1.4542
SMPIX,long,SPTL_big_down,3,104,0.0467,False,21,0.7143,1.4473
UKPSX,inverse,EDV_lt-2,2,24,-0.0222,False,12,0.6667,-1.4454
PMPIX,long,EDV_lt-2,2,16,0.0802,False,12,0.6667,1.4445
SMPSX,inverse,SPTL_big_down,3,87,0.0147,False,21,0.7143,1.4443
INPIX,long,VCLT_big_down,2,44,0.0612,False,13,0.6923,1.44
OEPSX,inverse,SPTL_big_down,1,96,-0.0472,False,21,0.619,1.4398
PMPSX,inverse,EDV_lt-2,2,16,0.0765,False,12,0.6667,1.4396
UFPSX,inverse,TLH_big_down,2,48,-0.0982,False,16,0.6875,-1.4393
UKPIX,ultra_long,EDV_lt-2,2,24,-0.0197,False,12,0.6667,-1.4373
INPSX,inverse,VCLT_big_down,2,44,0.0582,False,13,0.6923,1.436
UFPSX,inverse,TLH_big_down,3,24,0.5049,False,14,0.7857,-1.4352
UFPIX,ultra_long,TLH_big_down,2,48,-0.105,False,16,0.6875,-1.4346
UOPIX,ultra_long,TLH_big_up,1,32,0.0061,False,15,0.8,1.4262
UJPIX,ultra_long,XLY_big_down,1,228,-0.0627,False,73,0.7123,1.425
UMPIX,ultra_long,VCLT_big_down,2,44,-0.1597,False,13,0.6923,1.425
UVPSX,inverse,EDV_gt2,1,12,1.0465,False,12,0.6667,-1.4248
UKPIX,ultra_long,XME_lt-2,1,123,-0.0993,False,35,0.6286,-1.4235
UUPIX,ultra_long,EDV_gt2,1,12,-1.0276,False,12,0.6667,1.4233
UOPSX,inverse,TLH_big_up,1,32,0.0016,False,15,0.8,1.4216
UUPSX,inverse,EDV_gt2,1,12,-1.0291,False,12,0.6667,1.4214
UJPSX,inverse,XLY_big_down,1,228,-0.0776,False,73,0.7123,1.4207
UMPSX,inverse,VCLT_big_down,2,44,-0.1646,False,13,0.6923,1.4197
SMPIX,long,FXA_big_down,3,12,0.1676,False,12,0.6667,1.4196
USPSX,inverse,TLH_big_up,1,32,-0.1326,False,15,0.8,-1.4161
USPIX,ultra_long,TLH_big_up,1,32,-0.1609,False,15,0.8,-1.4144
SMPSX,inverse,FXA_big_down,3,12,0.1609,False,12,0.6667,1.4142
SMPIX,long,YCL_big_up,1,152,-0.1117,False,60,0.6333,1.4136
UWPSX,inverse,SPTL_big_down,1,130,0.002,False,19,0.5789,-1.4129
UWPSX,inverse,EDV_lt-2,3,24,-0.1541,False,12,0.8333,-1.4127
SMPSX,inverse,YCL_big_up,1,130,-0.1902,True,60,0.6333,1.4126
UKPSX,inverse,VCLT_big_down,2,47,0.159,False,13,0.6923,-1.4123
UFPIX,ultra_long,TLH_big_down,3,38,0.2279,False,16,0.8125,-1.4099
UWPIX,ultra_long,EDV_lt-2,3,24,-0.1489,False,12,0.8333,-1.4098
UWPSX,inverse,VCLT_big_down,2,52,-0.056,False,13,0.6154,-1.4074
UKPSX,inverse,XLY_lt-2,2,25,0.2183,False,29,0.6897,-1.4069
UKPIX,ultra_long,VCLT_big_down,2,62,0.0906,False,13,0.6923,-1.4062
UJPIX,ultra_long,FXA_big_down,3,12,-0.101,False,12,0.75,1.403
UMPIX,ultra_long,TLH_big_down,2,48,-0.1813,False,16,0.6875,1.403
UCPIX,ultra_long,EDV_lt-2,2,24,0.1848,False,12,0.5,-1.4021
UCPSX,inverse,EDV_lt-2,2,24,0.1599,False,12,0.5,-1.4018
UWPIX,ultra_long,VCLT_big_down,2,47,0.0611,False,13,0.6154,-1.4011
UMPSX,inverse,TLH_big_down,2,48,-0.1849,False,16,0.6875,1.3991
UKPIX,ultra_long,XLY_lt-2,2,25,0.2203,False,29,0.6897,-1.3989
UJPSX,inverse,FXA_big_down,3,12,-0.1044,False,12,0.75,1.3981
UFPSX,inverse,XLY_lt-2,2,4,-0.7217,False,14,0.6429,-1.3969
UBPIX,ultra_long,XLY_lt-2,1,1,-0.9914,False,17,0.7059,1.3932
UBPSX,inverse,XLY_lt-2,1,1,-1.0156,False,17,0.7059,1.3931
UBPIX,ultra_long,TLH_big_down,2,34,-0.0169,False,16,0.6875,1.3897
OEPIX,long,VCLT_big_up,1,3,0.0958,False,14,0.6429,-1.3884
UJPIX,ultra_long,EDV_lt-2,3,18,-0.1277,False,11,0.7273,1.3875
UDPIX,ultra_long,TLH_big_down,2,48,-0.1511,False,16,0.6875,1.3874
UFPSX,inverse,XLY_lt-2,1,1,1.0327,False,17,0.7059,-1.3874
BKPSX,inverse,LTPZ_big_down,1,149,-0.1506,True,26,0.7308,1.3851
UBPSX,inverse,TLH_big_down,2,34,-0.0222,False,16,0.6875,1.3838
UDPSX,inverse,TLH_big_down,2,48,-0.1544,False,16,0.6875,1.3835
UJPIX,ultra_long,TLH_big_down,2,48,-0.0728,False,16,0.625,1.3834
SMPIX,long,XLB_big_down,1,252,0.446,True,63,0.5873,1.3832
UCPSX,inverse,FXA_big_down,3,12,-0.2149,False,12,0.8333,-1.3815
UCPIX,ultra_long,FXA_big_down,3,12,-0.1955,False,12,0.8333,-1.3798
SMPSX,inverse,XLB_big_down,1,252,0.4424,True,63,0.5873,1.3787
UJPSX,inverse,TLH_big_down,2,48,-0.1005,False,16,0.625,1.3765
OEPIX,long,TBF_big_up,1,109,0.042,False,29,0.6207,1.3744
UHPSX,inverse,LTPZ_big_down,1,149,-0.2353,False,26,0.4615,-1.3726
UOPIX,ultra_long,GOVZ_lt-2,2,5,-0.0982,False,16,0.625,1.3726
UWPIX,ultra_long,SPTL_big_down,1,130,0.0064,False,21,0.619,-1.3714
UBPIX,ultra_long,XLY_lt-2,2,4,0.7292,False,14,0.6429,1.3711
OEPSX,inverse,TBF_big_up,1,149,0.24,True,29,0.6207,1.3703
UOPSX,inverse,GOVZ_lt-2,2,5,-0.1056,False,16,0.625,1.3687
UKPSX,inverse,XLY_big_down,1,228,0.0154,False,73,0.6849,-1.3656
BMPIX,long,EDV_lt-2,2,24,-0.0689,False,12,0.6667,1.3636
USPSX,inverse,GOVZ_lt-2,2,5,0.128,False,16,0.625,-1.3617
BMPSX,inverse,EDV_lt-2,2,24,-0.0727,False,12,0.6667,1.3603
UUPSX,inverse,TMF_lt-2,1,129,-0.2887,True,13,0.4615,1.3595
UKPIX,ultra_long,XLY_big_down,1,227,-0.0189,False,73,0.6849,-1.3583
UAPIX,ultra_long,TLH_big_up,1,32,-0.2507,False,15,0.6667,1.3578
ULPIX,ultra_long,EDV_lt-2,3,24,0.2911,False,12,0.8333,1.3567
USPIX,ultra_long,GOVZ_lt-2,2,5,0.1241,False,16,0.625,-1.3562
ULPSX,inverse,EDV_lt-2,3,24,0.3048,False,12,0.8333,1.3522
UFPSX,inverse,ZROZ_lt-2,2,32,0.0829,False,16,0.6875,-1.3516
UMPIX,ultra_long,FXA_big_down,3,12,0.1934,False,12,0.8333,1.3494
UAPSX,inverse,TLH_big_up,1,32,-0.2388,False,15,0.6667,1.3472
UWPIX,ultra_long,LTPZ_big_down,1,149,0.0681,False,26,0.5769,-1.3471
UAPIX,ultra_long,FXA_big_down,3,12,0.2205,False,12,0.8333,1.3457
UMPSX,inverse,FXA_big_down,3,12,0.191,False,12,0.8333,1.3452
UFPIX,ultra_long,ZROZ_lt-2,2,32,0.0751,False,16,0.6875,-1.3451
UHPIX,ultra_long,EDV_gt2,2,12,0.303,False,12,0.6667,-1.3447
