ticker,fund_group,source,condition,horizon,full_history_avg,pass
UCPSX,inverse,main,XLV_big_down,1,-0.3361,True
UCPSX,inverse,main,XLK_bin_-1_-0.5,1,-0.2167,True
UDPIX,ultra_long,main,XLV_big_down,1,0.4039,True
UDPIX,ultra_long,main,XLF_big_down,1,0.2685,True
UDPIX,ultra_long,main,EEM_bin_lt-2,1,0.2474,True
UDPIX,ultra_long,main,XLK_big_down,1,0.2378,True
UDPIX,ultra_long,main,IWM_bin_lt-2,1,0.2209,True
UDPIX,ultra_long,main,XLF_bin_-2_-1,1,0.2092,True
UDPIX,ultra_long,main,TLT_bin_-2_-1,1,0.2083,True
UDPSX,inverse,main,XLV_big_down,1,0.3852,True
UDPSX,inverse,main,XLF_big_down,1,0.2719,True
UDPSX,inverse,main,EEM_bin_lt-2,1,0.2524,True
UDPSX,inverse,main,XLF_bin_-2_-1,1,0.2075,True
UEPIX,ultra_long,sparse_outputs_full_history,EEM_down_SPY_down,1,0.075,False
UEPSX,inverse,sparse_outputs_full_history,EEM_down_SPY_down,1,0.0778,False
UEPSX,inverse,sparse_outputs_full_history,EEM_bin_lt-2,1,0.0133,False
UFPIX,ultra_long,sparse_outputs_multi_day_full_history,UUP_down_SPY_down,5,-0.2748,True
UFPIX,ultra_long,sparse_outputs_multi_day_full_history,UUP_up_SPY_down,5,-0.1144,False
UFPSX,inverse,sparse_outputs_multi_day_full_history,UUP_down_SPY_down,5,-0.2795,True
UFPSX,inverse,sparse_outputs_multi_day_full_history,UUP_up_SPY_down,5,-0.1153,False
UGPIX,ultra_long,main,SPY_bin_lt-2,1,1.17,True
UGPIX,ultra_long,main,XLF_bin_lt-2,1,0.8235,True
UGPIX,ultra_long,main,XLE_bin_lt-2,1,0.6133,True
UGPIX,ultra_long,main,XLK_bin_gt2,1,-0.5132,True
UGPIX,ultra_long,main,IWM_bin_lt-2,1,0.502,True
UGPIX,ultra_long,main,XLF_big_down,1,0.3399,True
UGPSX,inverse,main,SPY_bin_lt-2,1,1.1383,True
UGPSX,inverse,main,XLF_bin_lt-2,1,0.8176,True
UGPSX,inverse,main,XLE_bin_lt-2,1,0.7117,True
UGPSX,inverse,main,XLK_bin_gt2,1,-0.5085,True
UGPSX,inverse,main,IWM_bin_lt-2,1,0.5032,True
UGPSX,inverse,main,XLK_bin_lt-2,1,0.3623,True
UGPSX,inverse,main,XLV_big_down,1,0.3201,True
UGPSX,inverse,main,XLF_big_down,1,0.2709,True
UGPSX,inverse,main,EEM_bin_lt-2,1,0.226,True
UHPIX,ultra_long,main,SPY_bin_lt-2,1,-1.1674,True
UHPIX,ultra_long,main,XLF_bin_lt-2,1,-0.734,True
UHPIX,ultra_long,main,XLE_bin_lt-2,1,-0.6549,True
UHPIX,ultra_long,main,IWM_bin_lt-2,1,-0.5334,True
UHPIX,ultra_long,main,XLK_bin_lt-2,1,-0.3895,True
UHPIX,ultra_long,main,XLV_big_down,1,-0.3822,True
UHPIX,ultra_long,main,XLF_big_down,1,-0.3505,True
UHPIX,ultra_long,main,EEM_bin_lt-2,1,-0.3227,True
UHPIX,ultra_long,main,XLF_bin_-2_-1,1,-0.2423,True
UHPIX,ultra_long,main,XLV_bin_-2_-1,1,-0.2166,True
UHPIX,ultra_long,main,TIP_bin_-1_-0.5,1,-0.2114,True
UHPSX,inverse,main,SPY_bin_lt-2,1,-1.1695,True
UHPSX,inverse,main,XLF_bin_lt-2,1,-0.7398,True
UHPSX,inverse,main,XLE_bin_lt-2,1,-0.6586,True
UHPSX,inverse,main,IWM_bin_lt-2,1,-0.5332,True
UHPSX,inverse,main,XLK_bin_lt-2,1,-0.4025,True
UHPSX,inverse,main,XLV_big_down,1,-0.3853,True
UHPSX,inverse,main,XLF_big_down,1,-0.3525,True
UHPSX,inverse,main,EEM_bin_lt-2,1,-0.3141,True
UHPSX,inverse,main,XLF_bin_-2_-1,1,-0.2428,True
UHPSX,inverse,main,XLV_bin_-2_-1,1,-0.2186,True
UHPSX,inverse,main,TIP_bin_-1_-0.5,1,-0.21,True
UIPIX,ultra_long,main,FXY_bin_1_2,1,-0.3722,True
UIPIX,ultra_long,main,FXY_big_up,1,-0.3477,True
UIPIX,ultra_long,main,SPY_bin_-1_-0.5,1,-0.2619,True
UIPIX,ultra_long,main,XLF_bin_-2_-1,1,-0.208,True
UIPIX,ultra_long,main,XLF_big_down,1,-0.2003,True
UIPSX,inverse,main,FXY_bin_1_2,1,-0.3809,True
UIPSX,inverse,main,FXY_big_up,1,-0.3529,True
UIPSX,inverse,main,XLF_bin_-2_-1,1,-0.3185,True
UIPSX,inverse,main,XLF_big_down,1,-0.2826,True
UIPSX,inverse,main,SPY_bin_-1_-0.5,1,-0.2688,True
UIPSX,inverse,main,SLV_bin_0.5_1,1,-0.2124,True
UJPIX,ultra_long,main,XLV_bin_gt2,1,-1.0554,True
UJPIX,ultra_long,main,SPY_bin_gt2,1,-0.9754,True
UJPIX,ultra_long,main,XLK_bin_gt2,1,-0.6707,True
UJPIX,ultra_long,main,IWM_bin_-1_-0.5,1,0.3992,True
UJPIX,ultra_long,main,XLK_bin_-1_-0.5,1,0.3927,True
UJPIX,ultra_long,main,XLE_bin_-2_-1,1,-0.2903,True
UJPIX,ultra_long,main,XLU_bin_-0.5_0,1,0.2232,True
UJPIX,ultra_long,main,XLV_big_down,1,0.223,True
