ticker,strategy_no,source,condition,horizon,full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit,density_full,density_frozen
OEPSX,3,triple_scan,GLD_down_up_up_SPY_XLC,2,0.3438672938010836,278,0.5863309352517986,0.2519264604735385,70,0.6142857142857143,200,40
OTPIX,1,triple_scan,FXY_up_up_down_GDX_QQQ,1,0.29368328158275425,508,0.6279527559055118,0.5733377404985666,41,0.6097560975609756,160,35
OTPIX,2,triple_scan,EEM_down_up_up_TIP_XLV,1,0.2611949120227689,218,0.6467889908256881,0.41193090162531926,45,0.6666666666666666,160,35
OTPIX,3,condition_expansion,combo_QQQ_big_down__ext_usd_gold_ratio_down,2,0.2559975039375266,254,0.6299212598425197,0.3614592032355366,35,0.6,160,35
OTPSX,1,condition_expansion,combo_IWM_down__ext_usd_gold_ratio_le-1,1,0.33768677693687293,300,0.61,0.4287793440004389,46,0.6086956521739131,120,30
OTPSX,2,triple_scan,EEM_down_up_up_TIP_XLV,1,0.25450696915013865,216,0.6342592592592593,0.4069098282090097,45,0.6666666666666666,120,30
OTPSX,3,condition_expansion,combo_QQQ_big_up__ext_jnk_spread_down,1,0.20914545946760021,157,0.6178343949044586,0.40509614757055884,35,0.6,120,30
PHPIX,1,triple_scan,FXY_up_up_down_GDX_QQQ,1,0.35046072137690665,468,0.5811965811965812,0.7123919504602448,41,0.6097560975609756,200,40
PHPIX,2,condition_expansion,combo_SLV_big_up__self_down,2,0.24125401141551892,389,0.609254498714653,0.3722557037565198,61,0.5737704918032787,200,40
PHPIX,3,condition_expansion,combo_GDX_big_down__self_up,2,0.2769170310700383,207,0.5845410628019324,0.494397201431504,53,0.6037735849056604,200,40
PHPSX,1,triple_scan,FXY_up_up_down_GDX_QQQ,1,0.34354189868400403,462,0.5800865800865801,0.7102204140851796,41,0.6097560975609756,200,40
PHPSX,2,condition_expansion,combo_SLV_big_up__self_down,3,0.24038484489501685,438,0.6232876712328768,0.4422080142315794,61,0.7213114754098361,200,40
PHPSX,3,condition_expansion,combo_XLV_up__ext_vix_chg_up,2,0.2682725770523747,220,0.6045454545454545,0.3598296139762962,66,0.5909090909090909,200,40
PMPIX,1,condition_expansion,combo_ext_sect_rotation_up__self_big_down,1,0.5729399031604261,521,0.5527831094049904,0.3892610369323368,42,0.6190476190476191,200,40
PMPIX,2,triple_scan,LQD_up_up_up_TIP_UUP,2,0.25463783360692127,701,0.5649072753209701,0.8759626488766334,63,0.6507936507936508,200,40
PMPIX,3,condition_expansion,combo_XLU_big_up__ext_vix_chg_down,2,0.3808174404188083,477,0.5681341719077568,1.2098433342139592,43,0.6511627906976745,200,40
PMPSX,1,condition_expansion,combo_ext_sect_rotation_up__self_big_down,1,0.5827151396860079,525,0.5542857142857143,0.38540613692417336,42,0.6190476190476191,200,40
PMPSX,2,triple_scan,IWM_up_down_up_SLV_SPY,2,0.23806330565041947,794,0.5541561712846348,0.30587419450957243,57,0.631578947368421,200,40
PMPSX,3,condition_expansion,combo_QQQ_big_down__ext_vix_close_up,5,0.3153612962118398,697,0.5566714490674318,0.7453301536361938,68,0.6617647058823529,200,40
REPIX,1,condition_expansion,combo_XLF_big_down__ext_tnx_yield_ge1,1,0.4895611858251699,696,0.5689655172413793,0.39377136784710365,44,0.7272727272727273,200,40
REPIX,2,pair_scan,GDX_up_XLF_down,1,0.31094247993982177,619,0.567043618739903,0.4318572417974346,93,0.5698924731182796,200,40
REPIX,3,triple_scan,GLD_up_up_down_TLT_XLV,2,0.2713143892976507,700,0.5957142857142858,0.33871145723577795,43,0.627906976744186,200,40
REPSX,1,condition_expansion,combo_XLF_big_down__ext_tnx_yield_ge1,1,0.49033578288370294,696,0.5704022988505747,0.38938811234976467,44,0.7272727272727273,200,40
REPSX,2,pair_scan,GDX_up_XLF_down,1,0.36019881245599983,494,0.5647773279352226,0.42870386057476617,93,0.5698924731182796,200,40
REPSX,3,triple_scan,GLD_up_down_down_XLK_XLU,3,0.33638082790771434,531,0.6101694915254238,0.27294128171730886,41,0.5853658536585366,200,40
RRPIX,1,condition_expansion,combo_XLV_big_down__ext_sect_rotation_up,1,0.2924330411360788,209,0.5645933014354066,0.23577310294234333,33,0.5757575757575758,120,30
RRPSX,1,condition_expansion,combo_XLV_big_down__ext_sect_rotation_up,1,0.29149180272618985,196,0.5510204081632653,0.23215453645208514,33,0.5757575757575758,120,30
SGPIX,1,triple_scan,GDX_up_down_down_SPY_XLF,1,0.33284217252921583,326,0.5736196319018405,0.5860335267258415,60,0.6833333333333333,160,35
SGPIX,2,triple_scan,GDX_up_down_up_SPY_TIP,1,0.3450222315181941,281,0.597864768683274,0.531093851467151,39,0.717948717948718,160,35
SGPIX,3,condition_expansion,combo_XLK_down__ext_usd_gold_ratio_le-1,1,0.4110533606471299,170,0.5941176470588235,0.574305141018179,39,0.6153846153846154,160,35
SGPSX,1,triple_scan,GDX_up_down_down_SPY_XLK,1,0.3083561336376136,390,0.5846153846153846,0.5621973528759366,63,0.6666666666666666,200,40
SGPSX,2,triple_scan,GDX_up_down_down_SPY_XLF,1,0.3281627652878936,272,0.5735294117647058,0.5830966906873126,60,0.6833333333333333,200,40
SGPSX,3,triple_scan,GDX_up_down_down_IWM_XLU,1,0.21885640057142033,222,0.5585585585585585,0.3400453585510443,48,0.6041666666666666,200,40
SLPIX,1,triple_scan,GDX_up_down_down_XLF_XLK,1,0.32072459112924045,366,0.5956284153005464,0.7132760435953878,49,0.673469387755102,160,35
SLPIX,2,triple_scan,GDX_up_down_down_JNK_XLF,1,0.43407317191806494,174,0.5862068965517241,0.5174665581869781,58,0.5689655172413793,160,35
SLPIX,3,condition_expansion,combo_SPY_down__ext_usd_gold_ratio_le-1,1,0.3538280947422153,170,0.6058823529411764,0.46128328376724165,42,0.5952380952380952,160,35
SLPSX,1,triple_scan,GDX_up_down_down_XLF_XLK,1,0.3314921801370492,331,0.595166163141994,0.709705756110671,49,0.673469387755102,160,35
SLPSX,2,condition_expansion,combo_SLV_big_up__self_down,2,0.28339630605441274,174,0.603448275862069,0.2873183336410991,56,0.6071428571428571,160,35
